,district,name,streetAddress,city,postalCode,address,lat,lon
262,35,Whytecliff Agile Learning Centre-Langley,20561 Logan Ave,Langley,V3A7R3,"20561 Logan Ave, Langley, BC, Canada",49.1060645,-122.6528907
263,35,Langley Fundamental Elementary,21789 50 Ave,Langley,V3A3T2,"21789 50 Ave, Langley, BC, Canada",49.0930478,-122.6194149
264,35,Donna Gabriel Robins Elementary,7844 204B St,Langley,V2Y3N9,"7844 204B St, Langley, BC, Canada",49.174698,-122.6552689
265,35,Murrayville Academy,21488 Old Yale Road,Langley,V3A4M8,"21488 Old Yale Road, Langley, BC, Canada",49.0845626,-122.6035447
267,35,Dorothy Peacock Elementary,20292 91A Ave,Langley,V1M2G2,"20292 91A Ave, Langley, BC, Canada",49.1690717,-122.6681377
268,35,H D Stafford Middle,20441 Grade Cres,Langley,V3A4J8,"20441 Grade Cres, Langley, BC, Canada",49.0890798,-122.656944
270,35,Yorkson Creek Middle School,20686 84 Ave,Langley,V2Y2B5,"20686 84 Ave, Langley, BC, Canada",49.1554377,-122.647155
271,35,Langley Equestrian Academy,20902 37A Ave,Langley,V3A5N2,"20902 37A Ave, Langley, BC, Canada",49.0701156,-122.6111565
272,35,Peter Ewart Middle School,7755 202A St,Langley,V2Y1W4,"7755 202A St, Langley, BC, Canada",49.144026800000006,-122.6623950016147
274,35,Khalsa School of the Fraser Valley,26345 62 Ave,Langley,V4W1L8,"26345 62 Ave, Langley, BC, Canada",49.1152896,-122.6475578
275,35,D.W. Poppy Secondary,23752 52 Ave,Langley,V2Z2P3,"23752 52 Ave, Langley, BC, Canada",49.0967169,-122.5619774
276,35,James Kennedy Elementary,9060 212 St,Langley,V1M2B7,"9060 212 St, Langley, BC, Canada",49.0575855,-122.6362586
277,35,Dogwood School,23328 44 Ave,Langley,V2Z2V2,"23328 44 Ave, Langley, BC, Canada",49.0821715,-122.621786
278,35,COMPASS Christian Langley (Glover Rd.),6866 Glover Rd,Langley,V2Y0W9,"6866 Glover Rd, Langley, BC, Canada",49.1270372,-122.62258539958658
279,35,Riverside Christian Academy,8-20178 96 Ave,Langley,V1H0B2,"8-20178 96 Ave, Langley, BC, Canada",49.1684567,-122.5802015
280,35,James Hill Elementary,22144 Old Yale Rd,Langley,V2Z1B5,"22144 Old Yale Rd, Langley, BC, Canada",49.0991649,-122.6411376
281,35,R E Mountain Secondary,7633 202A St,Langley,V2Y1W4,"7633 202A St, Langley, BC, Canada",49.1416809,-122.66286744307989
282,35,SKY Secondary School,20317 67 Ave,Langley,V2Y1P6,"20317 67 Ave, Langley, BC, Canada",49.1243295,-122.6513591
283,40,Ecole Glenbrook Middle School,701 Park Cres,New Westminster,V3L5V4,"701 Park Cres, New Westminster, BC, Canada",49.2200782,-122.9114692
284,40,Queensborough Middle School,833 Salter St,New Westminster,V3M6G8,"833 Salter St, New Westminster, BC, Canada",49.1791472,-122.9554474
285,40,Al-Hidayah School,7 - 6Th St,New Westminster,V3L2Y7,"7 - 6Th St, New Westminster, BC, Canada",49.2189552,-122.927614
286,40,Urban Academy Senior,466 Rousseau St,New Westminster,V3L3R3,"466 Rousseau St, New Westminster, BC, Canada",49.2311499,-122.88594680809798
287,40,Urban Academy Junior,466 Rousseau St,New Westminster,V3L3R3,"466 Rousseau St, New Westminster, BC, Canada",49.2311499,-122.88594680809798
288,40,Lord Kelvin Elementary,1010 Hamilton St,New Westminster,V3M2M9,"1010 Hamilton St, New Westminster, BC, Canada",49.21088435,-122.92987459244976
289,40,Herbert Spencer Elementary,605 Second St,New Westminster,V3L5R9,"605 Second St, New Westminster, BC, Canada",49.2165421,-122.9142055
290,40,Lord Tweedsmuir Elementary,1714 Eighth Ave,New Westminster,V3M2S7,"1714 Eighth Ave, New Westminster, BC, Canada",49.20545145,-122.94231649628148
291,40,New Westminster Secondary,820 6Th St,New Westminster,V3M3S9,"820 6Th St, New Westminster, BC, Canada",49.2189552,-122.927614
292,40,F W Howay Elementary,91 Courtney Cres,New Westminster,V3L4M1,"91 Courtney Cres, New Westminster, BC, Canada",49.2256341,-122.9103613
293,40,Connaught Heights Elementary,2201 London St,New Westminster,V3M3G1,"2201 London St, New Westminster, BC, Canada",49.20269945,-122.9550539322753
294,40,Queen Elizabeth Elementary,921 Salter St,New Westminster,V3M6G8,"921 Salter St, New Westminster, BC, Canada",49.1791472,-122.9554474
295,40,Skwo:wech,331 Richmond St,New Westminster,V3L4B7,"331 Richmond St, New Westminster, BC, Canada",49.2266488,-122.90014926080246
296,40,Purpose Independent Secondary School,40 Begbie St,New Westminster,V3M3L9,"40 Begbie St, New Westminster, BC, Canada",49.2021658,-122.9111566
297,40,Ecole Qayqayt Elementary,85 Merivale St,New Westminster,V3L0G2,"85 Merivale St, New Westminster, BC, Canada",49.208416650000004,-122.90503021982433
298,40,Fraser River Middle,800 Queens Ave,New Westminster,V3M0J2,"800 Queens Ave, New Westminster, BC, Canada",49.2047293,-122.9167344
300,40,Compass Christian New West,101-4644 240 St,Langley,V2Z2M7,"101-4644 240 St, Langley, BC, Canada",49.152905,-122.5587032
301,40,PALS Autism Society (School Program),101 Third St,New Westminster,V3L2P9,"101 Third St, New Westminster, BC, Canada",49.20856045,-122.90712758644307
302,42,Samuel Robertson Technical Secondary,10445 245 St,Maple Ridge,V2W2G4,"10445 245 St, Maple Ridge, BC, Canada",49.1928543,-122.5441141251306
303,42,Blue Mountain Elementary,12453 248 St,Maple Ridge,V4R1J3,"12453 248 St, Maple Ridge, BC, Canada",49.186845,-122.534721
304,42,Hammond Elementary,11520 203 St,Maple Ridge,V2X4T6,"11520 203 St, Maple Ridge, BC, Canada",49.212581,-122.6585872
305,42,Maple Ridge Secondary,21911 122 Ave,Maple Ridge,V2X3X2,"21911 122 Ave, Maple Ridge, BC, Canada",49.2241635,-122.6068774
306,42,Garibaldi Secondary,24789 Dewdney Trunk Rd,Maple Ridge,V4R1X2,"24789 Dewdney Trunk Rd, Maple Ridge, BC, Canada",49.2214986,-122.5363863
307,42,Westview Secondary,20905 Wicklund Ave,Maple Ridge,V2X8E8,"20905 Wicklund Ave, Maple Ridge, BC, Canada",49.224875350000005,-122.6419239695217
309,42,Eric Langton Elementary,12138 Edge St,Maple Ridge,V2X6G8,"12138 Edge St, Maple Ridge, BC, Canada",49.2234893,-122.5962548065097
310,42,Fairview Elementary,12209 206 St,Maple Ridge,V2X1T8,"12209 206 St, Maple Ridge, BC, Canada",49.2233535,-122.65148005066416
311,42,Glenwood Elementary,21410 Glenwood Ave,Maple Ridge,V2X3P6,"21410 Glenwood Ave, Maple Ridge, BC, Canada",49.2219351,-122.6227149
312,42,Golden Ears Elementary,23124 118 Ave,Maple Ridge,V2X2N1,"23124 118 Ave, Maple Ridge, BC, Canada",49.21671,-122.5753517
313,42,Pitt Meadows Secondary,19438 116B Ave,Pitt Meadows,V3Y1G1,"19438 116B Ave, Pitt Meadows, BC, Canada",49.213671649999995,-122.68310372407112
314,42,Maple Ridge Elementary,20820 River Rd,Maple Ridge,V2X1Z7,"20820 River Rd, Maple Ridge, BC, Canada",49.21236725,-122.64425247468085
315,42,Pitt Meadows Elementary,11941 Harris Rd,Pitt Meadows,V3Y2B5,"11941 Harris Rd, Pitt Meadows, BC, Canada",49.2310176,-122.6895213
316,42,Davie Jones Elementary,12030 Blakely Rd,Pitt Meadows,V3Y1J6,"12030 Blakely Rd, Pitt Meadows, BC, Canada",49.2218399,-122.6825556
317,42,Highland Park Elementary,18961 Advent Rd,Pitt Meadows,V3Y2G4,"18961 Advent Rd, Pitt Meadows, BC, Canada",49.2261121,-122.6962337
318,42,Alouette Elementary,22155 Isaac Cres,Maple Ridge,V2X0V9,"22155 Isaac Cres, Maple Ridge, BC, Canada",49.2286121,-122.6103815
320,42,Harry Hooge Elementary,12280 230 St,Maple Ridge,V2X0P6,"12280 230 St, Maple Ridge, BC, Canada",49.22538315,-122.58360010621115
321,42,St Patrick's,22589 121 Ave,Maple Ridge,V2X3T5,"22589 121 Ave, Maple Ridge, BC, Canada",49.222681699999995,-122.59538241455834
322,42,Meadowridge School,12224 240 St,Maple Ridge,V4R1N1,"12224 240 St, Maple Ridge, BC, Canada",49.1978779,-122.5567132
323,42,Laity View Elementary,21023 123 Ave,Maple Ridge,V2X4B5,"21023 123 Ave, Maple Ridge, BC, Canada",49.2270499,-122.63763945358073
324,42,Meadow Montessori,11391 Dartford St,Maple Ridge,V2X1V6,"11391 Dartford St, Maple Ridge, BC, Canada",49.208667,-122.6496282
325,42,Canyon Springs Montessori Academy,18477 Old Dewdney Trunk Rd,Pitt Meadows,V3Y1Z1,"18477 Old Dewdney Trunk Rd, Pitt Meadows, BC, Canada",49.245512149999996,-122.70945402259895
326,42,Thomas Haney Secondary,23000 116 Ave,Maple Ridge,V2X0T8,"23000 116 Ave, Maple Ridge, BC, Canada",49.21174725,-122.58169472669522
327,42,Yennadon Elementary,23347 128 Ave,Maple Ridge,V2X4R9,"23347 128 Ave, Maple Ridge, BC, Canada",49.235456,-122.57598655299523
328,42,Kanaka Creek Elementary,11120 234A St,Maple Ridge,V2W1C8,"11120 234A St, Maple Ridge, BC, Canada",49.20412305,-122.57157204264755
329,42,Whonnock Elementary,27471 112 Ave,Maple Ridge,V2W1P9,"27471 112 Ave, Maple Ridge, BC, Canada",49.2056273,-122.4436042
330,42,Environmental School Project,23125,Maple Ridge,V2X0G8,"23125, Maple Ridge, BC, Canada",49.2197345,-122.599707
331,42,Odyssey K-9 SD 42,12209,Maple Ridge,V2X1T8,"12209, Maple Ridge, BC, Canada",49.2197345,-122.599707
332,42,c'usqunela Elementary,24093 104 Ave,Maple Ridge,V2W1J2,"24093 104 Ave, Maple Ridge, BC, Canada",49.19215785,-122.55420776103853
333,42,Webster's Corners Elementary,25554 Dewdney Trunk Rd,Maple Ridge,V4R1X9,"25554 Dewdney Trunk Rd, Maple Ridge, BC, Canada",49.2204908,-122.6045091
334,42,Edith McDermott Elementary,12178 Bonson Rd,Pitt Meadows,V3Y2L5,"12178 Bonson Rd, Pitt Meadows, BC, Canada",49.2237963,-122.6798653
335,42,Maple Ridge Christian School,12140 204B St,Maple Ridge,V2X2Z5,"12140 204B St, Maple Ridge, BC, Canada",49.2286302,-122.6543879
336,42,Alexander Robinson Elementary,11849 238B St,Maple Ridge,V4R2T8,"11849 238B St, Maple Ridge, BC, Canada",49.2185795,-122.561192
337,38,Spul'u'kwuks Elementary,5999 Blanshard Dr,Richmond,V7C5V4,"5999 Blanshard Dr, Richmond, BC, Canada",49.170876050000004,-123.18550840610989
339,38,A.R. MacNeill Secondary,6611 No. 4 Rd,Richmond,V6Y2T2,"6611 No. 4 Rd, Richmond, BC, Canada",49.16412625,-123.11605714599165
340,38,Az-Zahraa Islamic Academy,8580 No. 5 Rd,Richmond,V6Y2V4,"8580 No. 5 Rd, Richmond, BC, Canada",49.1508667,-123.09049474569522
341,38,Ark Elementary Montessori Reggio School,11371 No 3 Rd.,Richmond,V7A1X3,"11371 No 3 Rd., Richmond, BC, Canada",49.1648052,-123.136493
342,38,Cornerstone Christian Academy,7890 No. 5 Rd,Richmond,V6Y2V2,"7890 No. 5 Rd, Richmond, BC, Canada",49.1722926,-123.091979
343,38,W D Ferris Elementary,7520 Sunnymede Cres,Richmond,V6Y2V8,"7520 Sunnymede Cres, Richmond, BC, Canada",49.1540701,-123.14490722911492
344,38,Lord Byng Elementary,3711 Georgia St,Richmond,V7E6M3,"3711 Georgia St, Richmond, BC, Canada",49.1302335,-123.187019
345,38,Hamilton Elementary,5180 Smith Dr,Richmond,V6V2W5,"5180 Smith Dr, Richmond, BC, Canada",49.17603775,-122.96522974250885
346,38,Garden City Elementary,8311 Garden City Rd,Richmond,V6Y2P1,"8311 Garden City Rd, Richmond, BC, Canada",49.152179450000006,-123.12596112314286
347,38,R M Grauer Elementary,4440 Blundell Rd,Richmond,V7C1G9,"4440 Blundell Rd, Richmond, BC, Canada",49.15516495,-123.17476265750744
348,38,James Thompson Elementary,6211 Forsyth Cres,Richmond,V7C2C4,"6211 Forsyth Cres, Richmond, BC, Canada",49.167972500000005,-123.1788910420057
349,38,Blundell Elementary,6480 Blundell Rd,Richmond,V7C1H8,"6480 Blundell Rd, Richmond, BC, Canada",49.15477825,-123.15193646744892
350,38,William Cook Elementary,8600 Cook Rd,Richmond,V6Y1V7,"8600 Cook Rd, Richmond, BC, Canada",49.165383,-123.12811512860536
351,38,James Whiteside Elementary,9282 Williams Rd,Richmond,V7A1H1,"9282 Williams Rd, Richmond, BC, Canada",49.13973085,-123.12057425513458
352,38,Robert J Tait Elementary,10071 Finlayson Dr,Richmond,V6X1W7,"10071 Finlayson Dr, Richmond, BC, Canada",49.1953585,-123.1079632
353,38,Thomas Kidd Elementary,10851 Shell Rd,Richmond,V7A3W6,"10851 Shell Rd, Richmond, BC, Canada",49.1702984,-123.1029925
354,38,Alfred B Dixon Elementary,9331 Diamond Rd,Richmond,V7E1P5,"9331 Diamond Rd, Richmond, BC, Canada",49.1447635,-123.1838759
355,38,John T Errington Elementary,9831 Herbert Rd,Richmond,V7A1T6,"9831 Herbert Rd, Richmond, BC, Canada",49.1430149,-123.14225104146593
356,38,Tomsett Elementary,9671 Odlin Rd,Richmond,V6X1E1,"9671 Odlin Rd, Richmond, BC, Canada",49.1817701,-123.1138301
357,38,James Gilmore Elementary,8380 Elsmore Rd,Richmond,V7C2A1,"8380 Elsmore Rd, Richmond, BC, Canada",49.15161845,-123.18747261910971
358,38,Walter Lee Elementary,9491 Ash St,Richmond,V7A2T7,"9491 Ash St, Richmond, BC, Canada",49.1488563,-123.1197589
359,38,R.C. Palmer Secondary,8160 St. Albans Rd,Richmond,V6Y2K9,"8160 St. Albans Rd, Richmond, BC, Canada",49.15434435,-123.12923638519462
360,38,Mitchell Elementary,3800 No.5 Rd,Richmond,V6X2T7,"3800 No.5 Rd, Richmond, BC, Canada",49.1722926,-123.091979
361,38,Daniel Woodward Elementary,10300 Seacote Rd,Richmond,V7A4B2,"10300 Seacote Rd, Richmond, BC, Canada",49.1378858,-123.09683249182771
362,38,Hugh Boyd Secondary,9200 No. 1 Rd,Richmond,V7E6L5,"9200 No. 1 Rd, Richmond, BC, Canada",49.145490699999996,-123.17815078186351
363,38,Samuel Brighouse Elementary,6800 Azure Rd,Richmond,V7C2S8,"6800 Azure Rd, Richmond, BC, Canada",49.1665823,-123.15064074498486
364,38,Howard De Beck Elementary,8600 Ash St,Richmond,V6Y2S3,"8600 Ash St, Richmond, BC, Canada",49.1488563,-123.1197589
366,38,William Bridge Elementary,10400 Leonard Rd,Richmond,V7A2N5,"10400 Leonard Rd, Richmond, BC, Canada",49.13680345,-123.13310412053781
367,38,Steveston-London Secondary,6600 Williams Rd,Richmond,V7E1K5,"6600 Williams Rd, Richmond, BC, Canada",49.139621500000004,-123.14991998420977
368,38,Maple Lane Elementary,7671 Alouette Dr,Richmond,V7A4P2,"7671 Alouette Dr, Richmond, BC, Canada",49.13785155,-123.14148845976715
369,38,Quilchena Elementary,3760 Moresby Dr,Richmond,V7C4G6,"3760 Moresby Dr, Richmond, BC, Canada",49.1597776,-123.1852948
370,38,Kingswood Elementary,11511 King Rd,Richmond,V7A3B5,"11511 King Rd, Richmond, BC, Canada",49.14542505,-123.09540352862459
371,38,John G Diefenbaker Elementary,4511 Hermitage Dr,Richmond,V7E4T1,"4511 Hermitage Dr, Richmond, BC, Canada",49.137557150000006,-123.17600755714753
372,38,Westwind Elementary,11371 Kingfisher Dr,Richmond,V7E4Y6,"11371 Kingfisher Dr, Richmond, BC, Canada",49.13043625,-123.164093208769
373,38,Donald E McKay Elementary,7360 Lombard Rd,Richmond,V7C3N1,"7360 Lombard Rd, Richmond, BC, Canada",49.15969265,-123.16544637031535
374,38,Matthew McNair Secondary,9500 No. 4 Rd,Richmond,V7A2Y9,"9500 No. 4 Rd, Richmond, BC, Canada",49.1427203,-123.11295864181264
375,38,BC Muslim School,12300 Blundell Rd,Richmond,V6W1B3,"12300 Blundell Rd, Richmond, BC, Canada",49.1531858,-123.087719
376,38,St Joseph the Worker,4451 Williams Rd,Richmond,V7E1J7,"4451 Williams Rd, Richmond, BC, Canada",49.14164685,-123.17432420525853
377,38,St Paul School,8251 St. Albans Rd,Richmond,V6Y2L2,"8251 St. Albans Rd, Richmond, BC, Canada",49.15345085,-123.131616300101
378,38,J.N. Burnett Secondary,5011 Granville Ave,Richmond,V7C1E6,"5011 Granville Ave, Richmond, BC, Canada",49.163634349999995,-123.16899226594639
379,38,Hugh McRoberts Secondary,8980 Williams Rd,Richmond,V7A1G6,"8980 Williams Rd, Richmond, BC, Canada",49.139910099999994,-123.12638784057987
380,38,Richmond Secondary,7171 Minoru Blvd,Richmond,V6Y1Z3,"7171 Minoru Blvd, Richmond, BC, Canada",49.1613292,-123.14277577429138
381,38,Sea Island Elementary,1891 Wellington Cres,Richmond,V7B1G6,"1891 Wellington Cres, Richmond, BC, Canada",49.1860623,-123.1501289
382,38,Tomekichi Homma Elementary,5100 Brunswick Dr,Richmond,V7E6K9,"5100 Brunswick Dr, Richmond, BC, Canada",49.1231171,-123.16833368177214
383,38,Kathleen McNeely Elementary,12440 Woodhead Rd,Richmond,V6V1G3,"12440 Woodhead Rd, Richmond, BC, Canada",49.182101849999995,-123.08490208752303
384,38,R. C. Talmey Elementary,9500 Kilby Dr,Richmond,V6X3N2,"9500 Kilby Dr, Richmond, BC, Canada",49.1883748,-123.1200234
385,38,Choice School For Gifted Children,20451 Westminster Hwy,Richmond,V6V1B3,"20451 Westminster Hwy, Richmond, BC, Canada",49.17040385,-122.99500846260217
386,38,Richmond Jewish Day School,8760 No. 5 Rd,Richmond,V6Y2V4,"8760 No. 5 Rd, Richmond, BC, Canada",49.1722926,-123.091979
387,38,Jessie Wowk Elementary,5380 Woodwards Rd,Richmond,V7E1H1,"5380 Woodwards Rd, Richmond, BC, Canada",49.14333105,-123.16390555224112
388,38,General Currie Elementary,8220 General Currie Rd,Richmond,V6Y1M1,"8220 General Currie Rd, Richmond, BC, Canada",49.1591585,-123.1156389
389,38,Cambie Secondary,4151 Jacombs Rd,Richmond,V6V1N7,"4151 Jacombs Rd, Richmond, BC, Canada",49.183307549999995,-123.08121730884778
390,38,Henry Anderson Elementary,9460 Alberta Rd,Richmond,V6Y1T6,"9460 Alberta Rd, Richmond, BC, Canada",49.16473565,-123.11895440382904
391,38,Archibald Blair Elementary,6551 Lynas Lane,Richmond,V7C3K8,"6551 Lynas Lane, Richmond, BC, Canada",49.165250400000005,-123.16619076836835
392,38,Robert A. McMath Secondary,4251 Garry St,Richmond,V7E2T9,"4251 Garry St, Richmond, BC, Canada",49.130209,-123.1786102
393,38,Pythagoras Academy,8671 Odlin Cres,Richmond,V6X1G1,"8671 Odlin Cres, Richmond, BC, Canada",49.181462249999996,-123.1285077609274
394,38,Canada Star Secondary School,11295 Mellis Dr,Richmond,V6X1L8,"11295 Mellis Dr, Richmond, BC, Canada",49.1858124,-123.0990044
395,38,Mia Montessori Academy,3128 Regent St,Richmond,V7E2M4,"3128 Regent St, Richmond, BC, Canada",49.1320334,-123.1813054
396,38,Maple Hill School,120-6411 Buswell St,Richmond,V6Y2G5,"120-6411 Buswell St, Richmond, BC, Canada",49.1627868,-123.1337633
397,38,Windsor Hall,11295 Mellis Dr,Richmond,V6X1L8,"11295 Mellis Dr, Richmond, BC, Canada",49.1858124,-123.0990044
398,38,James McKinney Elementary,10451 Lassam Rd,Richmond,V7E2C2,"10451 Lassam Rd, Richmond, BC, Canada",49.136622700000004,-123.16457518268555
399,38,Richmond Christian School,10260 No. 5 Rd,Richmond,V7A4E5,"10260 No. 5 Rd, Richmond, BC, Canada",49.137322999999995,-123.09102210175318
400,38,Chaoyin Bilingual School,10111 Bird Rd,Richmond,V6X1N4,"10111 Bird Rd, Richmond, BC, Canada",49.190212,-123.11156266235295
401,36,G.A.D. Elementary School,13479 77 Ave,Surrey,V3W6Y1,"13479 77 Ave, Surrey, BC, Canada",49.14320135,-122.84837174391066
402,36,Hillcrest Elementary,18599 65 Ave,Surrey,V3S8T2,"18599 65 Ave, Surrey, BC, Canada",49.1212586,-122.70640112183679
403,36,Sullivan Heights Secondary,6248 144 St,Surrey,V3X1A1,"6248 144 St, Surrey, BC, Canada",49.11639625,-122.82158090357143
404,36,Forsyth Road Elementary,10730 139 St,Surrey,V3T4L9,"10730 139 St, Surrey, BC, Canada",49.1972221,-122.8368587
405,36,Pacific Heights Elementary,17148 26 Ave,Surrey,V3S0A4,"17148 26 Ave, Surrey, BC, Canada",49.04877785,-122.74815082701056
406,36,Cambridge Elementary,6115 150 St,Surrey,V3S3H7,"6115 150 St, Surrey, BC, Canada",49.1137628,-122.8068411
407,36,Ecole Panorama Ridge Secondary,13220 64 Ave,Surrey,V3W1X9,"13220 64 Ave, Surrey, BC, Canada",49.1187911,-122.8549873
408,36,Katzie Elementary,6887 194A St,Surrey,V4N1N2,"6887 194A St, Surrey, BC, Canada",49.12893205,-122.68508632767518
409,36,Goldstone Park Elementary,6287 146 St,Surrey,V3S3A3,"6287 146 St, Surrey, BC, Canada",49.1167632,-122.81854681016388
410,36,Princess Margaret Secondary,12870 72 Ave,Surrey,V3W2M9,"12870 72 Ave, Surrey, BC, Canada",49.1335804,-122.8653873
411,36,A J McLellan Elementary,16545 61 Ave,Surrey,V3S5V4,"16545 61 Ave, Surrey, BC, Canada",49.1140878,-122.76370760774753
412,36,Morgan Elementary,3366 156A St,Surrey,V3Z9Y7,"3366 156A St, Surrey, BC, Canada",49.0633261,-122.78750977132424
413,36,Kwantlen Park Secondary,10441 132 St,Surrey,V3T3V3,"10441 132 St, Surrey, BC, Canada",49.1853489,-122.8565206
414,36,Honour Secondary School,10453 Whalley Blvd,Surrey,V3T5B1,"10453 Whalley Blvd, Surrey, BC, Canada",49.1925767,-122.8423475
415,36,Coast Meridian Elementary,8222 168A St,Surrey,V4N4T8,"8222 168A St, Surrey, BC, Canada",49.1520731,-122.7549983
416,36,Chimney Hill Elementary,14755 74 Ave,Surrey,V3S8Y8,"14755 74 Ave, Surrey, BC, Canada",49.1381952,-122.81391106696944
417,36,Enver Creek Secondary,14505 84 Ave,Surrey,V3S8X2,"14505 84 Ave, Surrey, BC, Canada",49.1568312,-122.82029212514433
418,36,Hjorth Road Elementary,14781 104 Ave,Surrey,V3R5X4,"14781 104 Ave, Surrey, BC, Canada",49.1916985,-122.7809027
419,36,Port Kells Elementary,19076 88 Ave,Surrey,V4N5T2,"19076 88 Ave, Surrey, BC, Canada",49.1626644,-122.6939993
420,36,Cloverdale Traditional,17857 56 Ave,Surrey,V3S1E2,"17857 56 Ave, Surrey, BC, Canada",49.1044397,-122.7279471
421,36,White Rock Elementary,1273 Fir St,White Rock,V4B5A6,"1273 Fir St, White Rock, BC, Canada",49.02519095,-122.79956775317396
422,36,Colebrook Elementary,5404 125A St,Surrey,V3X1W6,"5404 125A St, Surrey, BC, Canada",49.1013829,-122.8742978
423,36,East Kensington Elementary,2795 184 St,Surrey,V3S9V2,"2795 184 St, Surrey, BC, Canada",49.053177149999996,-122.71473934671302
424,36,Sullivan Elementary,6016 152 St,Surrey,V3S3K6,"6016 152 St, Surrey, BC, Canada",49.1119016,-122.8000113
425,36,Queen Elizabeth Secondary,9457 King George Blvd,Surrey,V3V5W4,"9457 King George Blvd, Surrey, BC, Canada",49.17324855,-122.84730283762357
426,36,North Surrey Secondary,15945 96 Ave,Surrey,V4N2R8,"15945 96 Ave, Surrey, BC, Canada",49.1770662,-122.78034
427,36,Harold Bishop Elementary,15670 104 Ave,Surrey,V4N2J3,"15670 104 Ave, Surrey, BC, Canada",49.1914236,-122.7877057
428,36,Crescent Park Elementary,2440 128 St,Surrey,V4A3W3,"2440 128 St, Surrey, BC, Canada",49.046411500000005,-122.86667963492755
429,36,Bridgeview Elementary,12834 115A Ave,Surrey,V3R2X4,"12834 115A Ave, Surrey, BC, Canada",49.2117964,-122.8658972
430,36,J T Brown Elementary,12530 60 Ave,Surrey,V3X2K8,"12530 60 Ave, Surrey, BC, Canada",49.1115269,-122.8759395
431,36,Latimer Road Elementary,19233 60 Ave,Surrey,V3S2T5,"19233 60 Ave, Surrey, BC, Canada",49.1114656,-122.6901933
432,36,Ray Shepherd Elementary,1650 136 St,Surrey,V4A4E4,"1650 136 St, Surrey, BC, Canada",49.031943749999996,-122.84427845819238
433,36,Dr F D Sinclair Elementary,7480 128 St,Surrey,V3W4E5,"7480 128 St, Surrey, BC, Canada",49.1390294,-122.86743934940083
434,36,Sunnyside Elementary,2828 159 St,Surrey,V3S0E5,"2828 159 St, Surrey, BC, Canada",49.1764394,-122.7820879
435,36,Surrey Centre Elementary,16670 Old Mclellan Rd,Surrey,V3S1K3,"16670 Old Mclellan Rd, Surrey, BC, Canada",49.10969335,-122.75888218505854
436,36,K B Woodward Elementary,13130 106 Ave,Surrey,V3T2C3,"13130 106 Ave, Surrey, BC, Canada",49.1946496,-122.8591379
437,36,Lord Tweedsmuir Secondary,6151 180 St,Surrey,V3S4L5,"6151 180 St, Surrey, BC, Canada",49.1137825,-122.72475471946913
438,36,Green Timbers Elementary,8824 144 St,Surrey,V3V5Z7,"8824 144 St, Surrey, BC, Canada",49.1635887,-122.8228634
439,36,Prince Charles Elementary,12405 100 Ave,Surrey,V3V2X2,"12405 100 Ave, Surrey, BC, Canada",49.1846922,-122.8775969
440,36,Johnston Heights Secondary,15350 99 Ave,Surrey,V3R0R9,"15350 99 Ave, Surrey, BC, Canada",49.1823889,-122.7967188
441,36,Guildford Park Secondary,10707 146 St,Surrey,V3R1T5,"10707 146 St, Surrey, BC, Canada",49.1968765,-122.8182802
442,36,Semiahmoo Secondary,1785 148 St,Surrey,V4A4M5,"1785 148 St, Surrey, BC, Canada",49.0345997,-122.8124734
443,36,Mountainview Montessori,15225 98 Ave,Surrey,V3R1J2,"15225 98 Ave, Surrey, BC, Canada",49.1815116,-122.79937
444,36,A H P Matthew Elementary,13367 97 Ave,Surrey,V3T1A4,"13367 97 Ave, Surrey, BC, Canada",49.1793846,-122.876218
445,36,T E Scott Elementary,7079 148 St,Surrey,V3S3E5,"7079 148 St, Surrey, BC, Canada",49.131509,-122.8124506
446,36,Mary Jane Shannon Elementary,10682 144 St,Surrey,V3T4W1,"10682 144 St, Surrey, BC, Canada",49.1964931,-122.822712
447,36,Lena Shaw Elementary,14250 100A Ave,Surrey,V3T1K8,"14250 100A Ave, Surrey, BC, Canada",49.184685099999996,-122.82895325705199
448,36,H T Thrift Elementary,1739 148 St,Surrey,V4A4M6,"1739 148 St, Surrey, BC, Canada",49.0336789,-122.8124653
449,36,William Watson Elementary,16450 80 Ave,Surrey,V4N0H3,"16450 80 Ave, Surrey, BC, Canada",49.14742475,-122.76612743678258
450,36,David Brankin Elementary,9160 128 St,Surrey,V3V5M8,"9160 128 St, Surrey, BC, Canada",49.169539900000004,-122.86607832772404
451,36,Ecole Riverdale Elementary,14835 108A Ave,Surrey,V3R1W9,"14835 108A Ave, Surrey, BC, Canada",49.2000424,-122.8114112
452,36,Senator Reid Elementary,9341 126 St,Surrey,V3V5C4,"9341 126 St, Surrey, BC, Canada",49.1727336,-122.8747286
453,36,Martha Currie Elementary,5811 184 St,Surrey,V3S4N2,"5811 184 St, Surrey, BC, Canada",49.10721065,-122.7141207396535
454,36,James Ardiel Elementary,13751 112 Ave,Surrey,V3R2G4,"13751 112 Ave, Surrey, BC, Canada",49.2068405,-122.84093536232857
455,36,Old Yale Road Elementary,10135 132 St,Surrey,V3T3T6,"10135 132 St, Surrey, BC, Canada",49.186937150000006,-122.8580886051119
456,36,Erma Stephenson Elementary,10929 160 St,Surrey,V4N1P3,"10929 160 St, Surrey, BC, Canada",49.2009449,-122.7789257
