,district,name,streetAddress,city,postalCode,address,lat,lon
84,41,Stride Avenue Community Elementary,7014 Stride Ave,Burnaby,V3N1T4,"7014 Stride Ave, Burnaby, BC, Canada",49.2102162,-122.9535351
85,41,Suncrest Elementary,3883 Rumble St,Burnaby,V5J1Z5,"3883 Rumble St, Burnaby, BC, Canada",49.2153423,-123.01736376535182
86,41,Twelfth Avenue Elementary,7622 12Th Ave,Burnaby,V3N2K1,"7622 12Th Ave, Burnaby, BC, Canada",49.2166785,-122.93388298653636
87,41,Westridge Elementary,510 Duncan Ave,Burnaby,V5B4L9,"510 Duncan Ave, Burnaby, BC, Canada",49.27893115,-122.96097786546808
88,41,Windsor Elementary,6166 Imperial St,Burnaby,V5J1G5,"6166 Imperial St, Burnaby, BC, Canada",49.22163645,-122.9723558655389
89,41,Montecito Elementary,2176 Duthie Ave,Burnaby,V5A2S2,"2176 Duthie Ave, Burnaby, BC, Canada",49.2644174,-122.95216990575454
90,41,Stoney Creek Community Elementary,2740 Beaverbrook Cres,Burnaby,V3J7B6,"2740 Beaverbrook Cres, Burnaby, BC, Canada",49.25905565,-122.90320432328937
91,41,Forest Grove Elementary,8525 Forest Grove Dr,Burnaby,V5A4H5,"8525 Forest Grove Dr, Burnaby, BC, Canada",49.265081300000006,-122.9179960098098
92,41,École Marlborough Elementary,6060 Marlborough Ave,Burnaby,V5H3L7,"6060 Marlborough Ave, Burnaby, BC, Canada",49.228893049999996,-122.99116151939012
93,41,St. Michaels,9387 Holmes St,Burnaby,V3N4C3,"9387 Holmes St, Burnaby, BC, Canada",49.23632455,-122.89771387366122
94,41,Holy Cross Elementary School,1450 Delta Ave,Burnaby,V5B3G2,"1450 Delta Ave, Burnaby, BC, Canada",49.270406,-122.99156229832195
95,41,Confederation Park Elementary,4715 Pandora St,Burnaby,V5C2C2,"4715 Pandora St, Burnaby, BC, Canada",49.282906,-122.9964572
96,41,Maywood Community Elementary,4567 Imperial St,Burnaby,V5J1B7,"4567 Imperial St, Burnaby, BC, Canada",49.22274575,-122.99978901169197
97,41,Our Lady of Mercy,7481 10Th Ave,Burnaby,V3N2S1,"7481 10Th Ave, Burnaby, BC, Canada",49.1990838,-122.9642879
98,41,St. Thomas More Collegiate,7450 12Th Ave,Burnaby,V3N2K1,"7450 12Th Ave, Burnaby, BC, Canada",49.2150448,-122.9379227491072
99,41,St. Helen's,3871 Pandora St.,Burnaby,V5C2A6,"3871 Pandora St., Burnaby, BC, Canada",49.2827526,-122.994795
100,41,Deer Lake SDA School,5550 Gilpin St,Burnaby,V5G2H6,"5550 Gilpin St, Burnaby, BC, Canada",49.24106645,-122.98333935115014
101,41,St. Francis de Sales,6656 Balmoral St,Burnaby,V5E1J1,"6656 Balmoral St, Burnaby, BC, Canada",49.21979915,-122.96632954847516
102,41,Fawkes Academy,103-4181 Hastings St,Burnaby,V5C2J3,"103-4181 Hastings St, Burnaby, BC, Canada",49.2803335,-122.9495132
103,41,South Slope Elementary,4446 Watling St,Burnaby,V5J5H3,"4446 Watling St, Burnaby, BC, Canada",49.21639725,-123.00371557209944
104,41,Burnaby South Secondary,5455 Rumble St,Burnaby,V5J2B7,"5455 Rumble St, Burnaby, BC, Canada",49.21648185,-122.98473188847976
105,41,Glenwood Elementary,5787 Marine Dr,Burnaby,V5J3H1,"5787 Marine Dr, Burnaby, BC, Canada",49.20610415,-122.9788783707317
106,41,Burnaby Montessori School,5489 Kingsway,Burnaby,V5H2G1,"5489 Kingsway, Burnaby, BC, Canada",49.2219768,-122.9793948
107,41,University Highlands Elementary,9388 Tower Rd,Burnaby,V5A4X6,"9388 Tower Rd, Burnaby, BC, Canada",49.2780675,-122.90795955179695
108,41,École Inman Elementary,3963 Brandon St,Burnaby,V5G2P6,"3963 Brandon St, Burnaby, BC, Canada",49.239500750000005,-123.0169577245467
109,41,Cariboo Hill Secondary,8580 16Th Ave,Burnaby,V3N1S6,"8580 16Th Ave, Burnaby, BC, Canada",49.23189035,-122.91386615386057
110,41,John Knox Christian - Elementary Campus,8260 13Th Ave,Burnaby,V3N2G5,"8260 13Th Ave, Burnaby, BC, Canada",49.22614175,-122.92030272017902
111,43,Children of Integrity Montessori,2541 Quay Pl,Coquitlam,V3H3S7,"2541 Quay Pl, Coquitlam, BC, Canada",49.2741269,-122.8209684
115,43,Hampton Park Elementary,1760 Paddock Dr,Coquitlam,V3E3N8,"1760 Paddock Dr, Coquitlam, BC, Canada",49.310907,-122.7874433
117,43,Alderson Elementary,825 Gauthier Ave,Coquitlam,V3K7C4,"825 Gauthier Ave, Coquitlam, BC, Canada",49.239219649999995,-122.8749646
119,43,Gleneagle Secondary,1195 Lansdowne Dr,Coquitlam,V3B7Y8,"1195 Lansdowne Dr, Coquitlam, BC, Canada",49.28368935,-122.80680348027157
120,43,Pinetree Secondary,3000 Pinewood Ave,Coquitlam,V3B7Y7,"3000 Pinewood Ave, Coquitlam, BC, Canada",49.2914299,-122.793302
122,43,Baker Drive Elementary,885 Baker Dr,Coquitlam,V3J6W9,"885 Baker Dr, Coquitlam, BC, Canada",49.2690708,-122.8242639
126,43,Cape Horn Elementary,155 Finnigan St,Coquitlam,V3K5J2,"155 Finnigan St, Coquitlam, BC, Canada",49.234698300000005,-122.83547434804899
127,43,Glen Elementary,3064 Glen Dr,Coquitlam,V3B2P9,"3064 Glen Dr, Coquitlam, BC, Canada",49.2822187,-122.78841745450598
129,43,Eagle Ridge Elementary,1215 Falcon Dr,Coquitlam,V3E1X9,"1215 Falcon Dr, Coquitlam, BC, Canada",49.284748300000004,-122.81708817500001
130,43,Harbour View Elementary,960 Lillian St,Coquitlam,V3J5C7,"960 Lillian St, Coquitlam, BC, Canada",49.269132,-122.86162203936892
134,43,Leigh Elementary,1230 Soball St,Coquitlam,V3B3H7,"1230 Soball St, Coquitlam, BC, Canada",49.2870373,-122.75130114449338
135,43,Lord Baden-Powell Elementary,450 Joyce St,Coquitlam,V3K4G4,"450 Joyce St, Coquitlam, BC, Canada",49.2475471,-122.87430761926196
137,43,Meadowbrook Elementary,900 Sharpe St,Coquitlam,V3C3M3,"900 Sharpe St, Coquitlam, BC, Canada",49.2662314,-122.80051845891003
138,43,Miller Park Community School,800 Egmont Ave,Coquitlam,V3J4J8,"800 Egmont Ave, Coquitlam, BC, Canada",49.266476999999995,-122.8772373590175
140,43,Mountain View Elementary,740 Smith Ave,Coquitlam,V3J4E7,"740 Smith Ave, Coquitlam, BC, Canada",49.2591302,-122.87912948229855
142,43,Ecole Nestor Elementary,1266 Nestor St,Coquitlam,V3E2A4,"1266 Nestor St, Coquitlam, BC, Canada",49.29024225,-122.77984070765625
144,43,Ecole Porter Street Elementary,728 Porter St,Coquitlam,V3J5B4,"728 Porter St, Coquitlam, BC, Canada",49.2621979,-122.864236
145,43,Ecole Rochester Elementary,411 Schoolhouse St,Coquitlam,V3K4Y7,"411 Schoolhouse St, Coquitlam, BC, Canada",49.24581575,-122.85125456153783
146,43,Roy Stibbs Elementary,600 Fairview St,Coquitlam,V3J4A7,"600 Fairview St, Coquitlam, BC, Canada",49.2530506,-122.8827351
148,43,Ranch Park Elementary,2701 Spuraway Ave,Coquitlam,V3C2C4,"2701 Spuraway Ave, Coquitlam, BC, Canada",49.26550295,-122.8128783823581
149,43,Mundy Road Elementary,2200 Austin Ave,Coquitlam,V3K3S1,"2200 Austin Ave, Coquitlam, BC, Canada",49.247579349999995,-122.83315734593987
151,43,Parkland Elementary,1563 Regan Ave,Coquitlam,V3J3B7,"1563 Regan Ave, Coquitlam, BC, Canada",49.26219905,-122.8487485298817
152,43,Walton Elementary,2960 Walton Ave,Coquitlam,V3B6V6,"2960 Walton Ave, Coquitlam, BC, Canada",49.288672500000004,-122.7971756135066
154,43,Centennial Secondary,570 Poirier St,Coquitlam,V3J6A8,"570 Poirier St, Coquitlam, BC, Canada",49.2525684,-122.84829002212805
155,43,Como Lake Middle School,1121 King Albert Ave,Coquitlam,V3J1X8,"1121 King Albert Ave, Coquitlam, BC, Canada",49.2531874,-122.86112237503005
157,43,Ecole Montgomery Middle,1900 Edgewood Ave,Coquitlam,V3K2Y1,"1900 Edgewood Ave, Coquitlam, BC, Canada",49.2438855,-122.8411
162,43,Ecole Banting Middle,820 Banting St,Coquitlam,V3J4J4,"820 Banting St, Coquitlam, BC, Canada",49.2652321,-122.87716725044679
163,43,Our Lady of Fatima,315 Walker St,Coquitlam,V3K4C7,"315 Walker St, Coquitlam, BC, Canada",49.2462985,-122.8770619
164,43,Ecole Maillard Middle,1300 Rochester Ave,Coquitlam,V3K2X5,"1300 Rochester Ave, Coquitlam, BC, Canada",49.2440778,-122.8555321
165,43,Queen of All Saints Elementary,1405 Como Lake Ave,Coquitlam,V3J3P4,"1405 Como Lake Ave, Coquitlam, BC, Canada",49.2630619,-122.8905293
167,43,Ecole Panorama Heights Elementary,1455 Johnson St,Coquitlam,V3E2T1,"1455 Johnson St, Coquitlam, BC, Canada",49.2998154,-122.79891942239598
