mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice,lat,lon,addressDetails
R2764842,1550000.0,6.0,3.0,"13538 Foreman Dr, Maple Ridge, BC, Canada",3329.0,4.0,2582.0,465.0,2023.0,SingleFamily,01/06/2023,2023-04-02,1550000.0,49.2481089,-122.5951752,"Foreman Drive, Yennadon, Maple Ridge, Metro Vancouver Regional District, British Columbia, V4R 2P6, Canada"
R2779954,1699000.0,5.0,2.0,"9404 Spilsbury St, Maple Ridge, BC, Canada",2548.0,12.0,5088.0,666.0,1958.0,SingleFamily,01/06/2023,2023-05-22,1699000.0,49.1777639,-122.5076456,"Spilsbury Street, Maple Ridge, Metro Vancouver Regional District, British Columbia, V1M 2M8, Canada"
R2782386,1268000.0,4.0,3.0,"20141 Ashley Cres, Maple Ridge, BC, Canada",2124.0,5.0,5508.0,596.0,1991.0,SingleFamily,01/06/2023,2023-05-28,1268000.0,49.2168317,-122.66227,"Ashley Crescent, Port Hammond, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 2P6, Canada"
R2784049,1210000.0,5.0,3.0,"22738 124 Ave, Maple Ridge, BC, Canada",2547.0,6.0,5646.0,443.0,1973.0,SingleFamily,01/06/2023,2023-05-31,1129900.0,49.2277421,-122.5349178,"124 Avenue, Maple Ridge, Metro Vancouver Regional District, British Columbia, V4R 1X2, Canada"
R2769151,765000.0,2.0,2.0,"22488 116 Ave, Maple Ridge, BC, Canada",1701.0,2.0,3970.0,463.0,1991.0,Townhouse,31/05/2023,2023-04-16,787800.0,49.2130118,-122.5500756,"116 Avenue, Maple Ridge, Metro Vancouver Regional District, British Columbia, V4R 1X2, Canada"
R2782676,372500.0,1.0,1.0,"11671 Fraser St, Maple Ridge, BC, Canada",651.0,1.0,2323.0,576.0,1992.0,Condo,31/05/2023,2023-05-29,375000.0,49.2132178,-122.6004944,"Fraser Street, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 2V1, Canada"
R2763684,525000.0,2.0,2.0,"12040 222St, Maple Ridge, BC, Canada",876.0,1.0,2325.0,602.0,2015.0,Condo,30/05/2023,2023-03-27,528000.0,,,
R2778386,455000.0,1.0,1.0,"22315 122 Ave, Maple Ridge, BC, Canada",604.0,1.0,2059.0,776.0,2019.0,Condo,30/05/2023,2023-05-15,469000.0,49.2241635,-122.6068774,"122 Avenue, Haney, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 7X0, Canada"
R2779670,540000.0,2.0,2.0,"11665 Haney Bypass, Maple Ridge, BC, Canada",885.0,1.0,2089.0,620.0,2007.0,Condo,30/05/2023,2023-05-21,549000.0,49.2111725,-122.6005261,"Haney Bypass, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 0S4, Canada"
R2782792,807000.0,3.0,2.0,"22206 124 Ave, Maple Ridge, BC, Canada",1337.0,2.0,3198.0,598.0,2008.0,Townhouse,30/05/2023,2023-05-29,799900.0,49.2277421,-122.5349178,"124 Avenue, Maple Ridge, Metro Vancouver Regional District, British Columbia, V4R 1X2, Canada"
