mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice,lat,lon,addressDetails
R2894932,1600008.0,5.0,4.0,"5023 223 Street, Langley, BC, Canada",4343.0,4.0,6231.0,368.0,2010.0,SingleFamily,21/06/2024,2024-06-13,1599000.0,49.0974288,-122.6078439,"223 Street, Murrayville, Township of Langley, Metro Vancouver Regional District, British Columbia, V2Y 2V0, Canada"
R2890975,665000.0,2.0,2.0,"8327 201 Street, Langley, BC, Canada",948.0,2.0,3262.0,712.0,2021.0,Condo,21/06/2024,2024-06-04,675000.0,49.1741491,-122.6655268,"201 Street, Walnut Grove, Township of Langley, Metro Vancouver Regional District, British Columbia, V1M 3E7, Canada"
R2888012,520000.0,1.0,1.0,"20487 65 Ave Avenue, Langley, BC, Canada",672.0,1.0,2637.0,781.0,2022.0,Condo,21/06/2024,2024-05-27,525000.0,,,
R2896845,1540000.0,5.0,3.0,"8849 213 A Place, Langley, BC, Canada",2543.0,6.0,5889.0,609.0,1991.0,SingleFamily,21/06/2024,2024-06-18,1549000.0,,,
R2897137,549900.0,2.0,2.0,"20696 Eastleigh Crescent, Langley, BC, Canada",761.0,1.0,1909.0,722.0,2020.0,Condo,21/06/2024,2024-06-17,549900.0,49.1055943,-122.6488682,"Eastleigh Crescent, City of Langley, Metro Vancouver Regional District, British Columbia, V3A 4S9, Canada"
R2895714,3998000.0,5.0,3.0,"23866 36 A Avenue, Langley, BC, Canada",6211.0,10.0,12248.0,643.0,2022.0,SingleFamily,20/06/2024,2024-06-16,3998000.0,,,
R2883003,600000.0,3.0,1.0,"27125 31 A Avenue, Langley, BC, Canada",1358.0,2.0,3210.0,463.0,1985.0,Townhouse,20/06/2024,2024-05-15,629000.0,,,
R2870927,430000.0,1.0,1.0,"19825 54 Avenue, Langley, BC, Canada",506.0,1.0,1451.0,908.0,2023.0,Condo,19/06/2024,2024-04-14,459900.0,49.1005651,-122.6539893,"54 Avenue, City of Langley, Metro Vancouver Regional District, British Columbia, V3A 5N0, Canada"
R2892945,549900.0,1.0,1.0,"22087 49 Avenue, Langley, BC, Canada",705.0,1.0,2769.0,780.0,2017.0,Condo,19/06/2024,2024-06-09,549900.0,49.0914273,-122.6599832,"49 Avenue, City of Langley, Metro Vancouver Regional District, British Columbia, V3A 0C7, Canada"
R2881064,620000.0,2.0,2.0,"20829 77 A Avenue, Langley, BC, Canada",870.0,2.0,3179.0,729.0,2018.0,Condo,19/06/2024,2024-05-08,635000.0,,,
