mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice,lat,lon,addressDetails
R2887755,1285000.0,3.0,2.0,"19452 Fraser Way, Pitt Meadows, BC, Canada",1768.0,4.0,5687.0,729.0,2006.0,Townhouse,27/05/2024,2024-05-27,1289900.0,49.2028045,-122.6784937,"Fraser Way, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 0B9, Canada"
R2885846,575000.0,2.0,2.0,"19236 Ford Rd, Pitt Meadows, BC, Canada",1249.0,3.0,2837.0,464.0,1990.0,Condo,26/05/2024,2024-05-21,579900.0,49.2223963,-122.6890432,"Ford Road, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2E9, Canada"
R2885148,615000.0,2.0,2.0,"12464 191b St, Pitt Meadows, BC, Canada",1075.0,1.0,2700.0,558.0,1994.0,Condo,25/05/2024,2024-05-20,599900.0,49.2237903,-122.6908249,"191B Street, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2B6, Canada"
R2878532,460000.0,1.0,1.0,"12409 Harris Rd, Pitt Meadows, BC, Canada",565.0,1.0,2820.0,831.0,2015.0,Condo,25/05/2024,2024-05-02,469999.0,49.2310176,-122.6895213,"Harris Road, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2B0, Canada"
R2847989,850000.0,3.0,2.0,"12069 Harris Rd, Pitt Meadows, BC, Canada",1295.0,1.0,3780.0,656.0,2010.0,Condo,24/05/2024,2024-02-06,850000.0,49.2310176,-122.6895213,"Harris Road, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2B0, Canada"
R2885000,560000.0,1.0,1.0,"12155 191b St, Pitt Meadows, BC, Canada",929.0,2.0,2442.0,608.0,1995.0,Condo,24/05/2024,2024-05-20,565000.0,49.2237903,-122.6908249,"191B Street, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2B6, Canada"
R2883218,1097000.0,4.0,2.0,"19559 120b Ave, Pitt Meadows, BC, Canada",1406.0,2.0,4443.0,807.0,1976.0,SingleFamily,23/05/2024,2024-05-14,1134900.0,49.2216748,-122.6992418,"120B Avenue, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 1J5, Canada"
R2885282,1599900.0,5.0,2.0,"19863 Silverthorne Pl, Pitt Meadows, BC, Canada",2921.0,6.0,5947.0,547.0,2006.0,SingleFamily,23/05/2024,2024-05-20,1599900.0,49.2077424,-122.6725684,"Silverthorne Place, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2S3, Canada"
R2883022,1367500.0,4.0,2.0,"19497 115a Ave, Pitt Meadows, BC, Canada",2008.0,3.0,4649.0,684.0,1982.0,SingleFamily,21/05/2024,2024-05-13,1374888.0,49.2122439,-122.6748671,"115A Avenue, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2S3, Canada"
R2881478,1420000.0,4.0,3.0,"11264 Southgate Rd, Pitt Meadows, BC, Canada",2985.0,2.0,5914.0,485.0,2005.0,SingleFamily,18/05/2024,2024-05-09,1449000.0,49.2081232,-122.6730878,"Southgate Road, Pitt Meadows, Metro Vancouver Regional District, British Columbia, V3Y 2S3, Canada"
