,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
1497,"12076 Dover St, Maple Ridge, BC",4,3,2336 sqft,,8,"$5,924",1997,R2779017,Residential,Yes,,$636,28/05/2023,"$1,445,000",17/05/2023,"$1,488,000",Single Family Residence
1498,"6 - 22810 113 Ave, Maple Ridge, BC",3,2,1334 sqft,,2,"$3,150",2017,R2782381,Residential,Yes,,$568,28/05/2023,"$785,000",28/05/2023,"$758,500",Townhouse
1499,"67 - 11305 240 St, Maple Ridge, BC",3,2,1438 sqft,,2,"$3,268",2016,R2779959,Residential,Yes,,$556,28/05/2023,"$830,000",22/05/2023,"$799,900",Townhouse
1500,"2 - 11767 225 St, Maple Ridge, BC",1,1,678 sqft,,1,"$1,711",1992,R2776835,Residential,No,,$588,28/05/2023,"$378,000",09/05/2023,"$399,000",Apartment/Condominium
1501,"45 - 23085 118 Ave, Maple Ridge, BC",3,2,1567 sqft,,2,"$3,272",1997,R2780533,Residential,No,,$497,28/05/2023,"$840,000",21/05/2023,"$778,800",Townhouse
1502,"301 - 11665 Haney Bypass, Maple Ridge, BC",2,2,1070 sqft,,2,"$2,398",2007,R2771283,Residential,Yes,,$509,28/05/2023,"$537,500",23/04/2023,"$545,000",Apartment/Condominium
1503,"24466 112b Ave, Maple Ridge, BC",4,3,3416 sqft,,4,"$7,318",2015,R2778989,Residential,Yes,,$468,28/05/2023,"$1,600,000",17/05/2023,"$1,599,900",Single Family Residence
1504,"11674 232a St, Maple Ridge, BC",5,3,2616 sqft,,4,"$5,715",1992,R2780333,Residential,Yes,,$472,28/05/2023,"$1,315,000",22/05/2023,"$1,236,000",Single Family Residence
1505,"309 - 12310 222 St, Maple Ridge, BC",1,1,716 sqft,,1,"$2,081",2017,R2780393,Residential,Yes,,$670,28/05/2023,"$475,000",22/05/2023,"$479,900",Apartment/Condominium
1506,"69 - 24185 106b Ave, Maple Ridge, BC",3,2,2362 sqft,,4,"$4,283",2009,R2760299,Residential,Yes,,$490,28/05/2023,"$1,155,000",14/03/2023,"$1,159,000",Townhouse
1507,"7 - 23785 Dewdney Trunk Rd, Maple Ridge, BC",3,2,1368 sqft,,2,,2023,R2779981,Residential,Yes,,$584,28/05/2023,"$852,000",22/05/2023,"$799,999",Townhouse
1508,"11170 280 St, Maple Ridge, BC",4,3,3490 sqft,,61,"$7,896",1980,R2762036,Residential,Yes,,$659,27/05/2023,"$2,275,000",20/03/2023,"$2,299,999",Single Family Residence
1509,"401 - 22638 119 Ave, Maple Ridge, BC",2,2,1212 sqft,,2,"$3,133",2020,R2781344,Residential,Yes,,$643,27/05/2023,"$770,000",23/05/2023,"$779,900",Apartment/Condominium
1510,"23091 - 134 Loop, Maple Ridge, BC",5,4,2931 sqft,,0,"$6,259",2019,R2780948,Residential,No,,$494,27/05/2023,"$1,424,800",23/05/2023,"$1,449,000",Single Family Residence
1511,"133 - 23925 116 Ave, Maple Ridge, BC",3,3,2949 sqft,,4,"$4,861",2007,R2779626,Residential,Yes,,$406,27/05/2023,"$1,260,000",18/05/2023,"$1,199,000",Single Family Residence
1512,"24017 102 Ave, Maple Ridge, BC",3,1,1489 sqft,,6,"$3,879",1958,R2773438,Residential,No,,$711,27/05/2023,"$985,000",01/05/2023,"$1,060,000",Single Family Residence
1513,"22995 Reid Ave, Maple Ridge, BC",3,2,1668 sqft,,4,"$5,090",1988,R2770840,Residential,Yes,,$719,27/05/2023,"$1,192,500",23/04/2023,"$1,199,900",Single Family Residence
1514,"11679 202a St, Maple Ridge, BC",3,2,1311 sqft,,3,"$4,953",1988,R2781319,Residential,Yes,,$838,27/05/2023,"$1,110,500",23/05/2023,"$1,098,900",Single Family Residence
1515,"11734 Furukawa Pl, Maple Ridge, BC",3,2,1517 sqft,,5,"$4,785",1983,R2777417,Residential,No,,$649,26/05/2023,"$1,030,000",15/05/2023,"$985,000",Single Family Residence
1516,"103 - 22265 Dewdney Trunk Rd, Maple Ridge, BC",3,2,1428 sqft,,2,,2022,R2774666,Residential,Yes,,$560,26/05/2023,"$795,000",03/05/2023,"$799,900",Townhouse
1517,"315 - 22255 122 Ave, Maple Ridge, BC",2,2,996 sqft,,2,"$2,405",2006,R2774871,Residential,Yes,,$560,26/05/2023,"$550,000",04/05/2023,"$558,000",Apartment/Condominium
1518,"21191 Wicklund Ave, Maple Ridge, BC",3,1,1605 sqft,,4,"$5,433",1988,R2780083,Residential,Yes,,$747,26/05/2023,"$1,188,000",20/05/2023,"$1,199,000",Single Family Residence
1519,"12169 Cherrywood Dr, Maple Ridge, BC",3,1,1326 sqft,,9,"$5,227",1988,R2780791,Residential,Yes,,$896,26/05/2023,"$1,189,000",23/05/2023,"$1,189,000",Single Family Residence
1520,"309 - 11609 227 St, Maple Ridge, BC",2,2,1213 sqft,,1,"$2,230",1996,R2776323,Residential,Yes,,$428,26/05/2023,"$500,000",09/05/2023,"$519,999",Apartment/Condominium
1521,"18 - 11252 Cottonwood Dr, Maple Ridge, BC",3,2,1515 sqft,,2,"$3,352",2011,R2780284,Residential,Yes,,$560,25/05/2023,"$840,000",22/05/2023,"$849,900",Townhouse
1522,"12031 209 St, Maple Ridge, BC",5,2,1608 sqft,,4,"$5,280",1974,R2768787,Residential,Yes,,"$1,056",25/05/2023,"$1,585,000",16/04/2023,"$1,699,000",Single Family Residence
1523,"45 - 10151 240 St, Maple Ridge, BC",3,3,1500 sqft,,2,"$3,425",2015,R2775598,Residential,Yes,,$532,25/05/2023,"$790,000",14/05/2023,"$799,000",Townhouse
1524,"28 - 11438 Best St, Maple Ridge, BC",3,2,1800 sqft,,2,"$3,977",1991,R2780676,Residential,Yes,,$582,25/05/2023,"$1,040,000",22/05/2023,"$1,048,888",Townhouse
1525,"10120 240 St, Maple Ridge, BC",4,3,3459 sqft,,2,"$5,566",2012,R2771876,Residential,Yes,,$367,24/05/2023,"$1,257,000",25/04/2023,"$1,269,800",Single Family Residence
1526,"9955 286 St, Maple Ridge, BC",3,2,2395 sqft,,10,"$4,280",1992,R2740342,Residential,Yes,,$582,24/05/2023,"$1,300,000",23/11/2022,"$1,395,000",Single Family Residence
1527,"9497 Byrnes Rd, Maple Ridge, BC",4,2,2940 sqft,,10,"$5,553",2020,R2778986,Residential,Yes,,$637,24/05/2023,"$1,860,000",17/05/2023,"$1,874,999",Single Family Residence
