,address,beds,bath,area,maintenance,type,parking,taxes,built,mlsNumber,levels,garage,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice
150,"9 - 32917 Amicus Pl, Abbotsford, BC",4.0,3.0,2121 sqft,,Townhouse,2.0,"$2,190",1983.0,R2796061,Residential,No,$282,14/07/2023,"$665,000",09/07/2023,"$600,000"
151,"86 - 34959 Old Clayburn Rd, Abbotsford, BC",2.0,3.0,1372 sqft,,Townhouse,1.0,"$1,733",1988.0,R2796704,Residential,No,$429,13/07/2023,"$577,000",09/07/2023,"$589,900"
152,"4 - 33900 Mayfair Ave, Abbotsford, BC",1.0,1.0,575 sqft,,Townhouse,1.0,"$1,113",1971.0,R2792178,Residential,No,$600,12/07/2023,"$340,000",25/06/2023,"$345,000"
153,"3525 Cariboo Crt, Abbotsford, BC",3.0,2.0,1498 sqft,,Single Family Residence,4.0,"$4,196",1977.0,R2794550,Residential,Yes,$667,12/07/2023,"$970,000",03/07/2023,"$999,900"
154,"34602 Semlin Pl, Abbotsford, BC",6.0,3.0,3302 sqft,,Single Family Residence,0.0,"$4,904",1984.0,R2790213,Residential,Yes,$302,,,,
155,"21 - 30703 Blueridge Dr, Abbotsford, BC",3.0,3.0,3299 sqft,,Townhouse,2.0,"$2,932",1996.0,R2796748,Residential,Yes,$271,,,,
156,"33273 Terry Fox Ave, Abbotsford, BC",3.0,2.0,1477 sqft,,Single Family Residence,4.0,"$4,136",1986.0,R2795005,Residential,Yes,$643,,,,
157,"206 - 33728 King Rd, Abbotsford, BC",2.0,2.0,947 sqft,,Apartment/Condominium,2.0,"$1,394",1996.0,R2794976,Residential,Yes,$491,12/07/2023,"$465,000",04/07/2023,"$465,000"
158,"32084 Debreen Cres, Abbotsford, BC",2.0,1.0,1132 sqft,,Single Family Residence,6.0,"$4,058",1969.0,R2793424,Residential,Yes,$794,12/07/2023,"$955,000",28/06/2023,"$899,900"
159,"10 - 3380 Gladwin Rd, Abbotsford, BC",2.0,1.0,1312 sqft,,Townhouse,2.0,"$1,628",1992.0,R2796405,Residential,No,$285,12/07/2023,"$370,000",09/07/2023,"$375,000"
160,"1 - 3270 Blue Jay St, Abbotsford, BC",4.0,3.0,2113 sqft,,Townhouse,2.0,"$2,892",1998.0,R2790902,Residential,Yes,$425,12/07/2023,"$885,000",21/06/2023,"$899,900"
161,"104 - 2750 Fairlane St, Abbotsford, BC",2.0,2.0,1017 sqft,,Apartment/Condominium,1.0,"$1,443",1993.0,R2797710,Residential,Yes,$392,12/07/2023,"$400,000",11/07/2023,"$399,000"
162,"35481 Eagle Summit Dr, Abbotsford, BC",5.0,3.0,3748 sqft,,Single Family Residence,4.0,"$6,868",2016.0,R2794828,Residential,Yes,$453,12/07/2023,"$1,680,000",03/07/2023,"$1,699,995"
163,"27725 Quinton Ave, Abbotsford, BC",1.0,1.0,1500 sqft,,Single Family Residence,0.0,"$3,918",1995.0,R2794903,Residential,No,"$1,526",,,,
164,"508 - 3182 Gladwin Rd, Abbotsford, BC",2.0,2.0,890 sqft,,Apartment/Condominium,2.0,,2022.0,R2779919,Residential,Yes,$729,-,-,23/01/2024,"$699,980"
165,"321 - 32445 Simon Ave, Abbotsford, BC",3.0,2.0,1080 sqft,,Apartment/Condominium,2.0,"$2,179",2018.0,R2783720,Residential,Yes,$634,11/07/2023,"$670,000",05/06/2023,"$685,000"
166,"202 - 2038 Sandalwood Cres, Abbotsford, BC",2.0,2.0,1055 sqft,,Apartment/Condominium,2.0,"$1,783",2009.0,R2795282,Residential,Yes,$521,11/07/2023,"$541,000",05/07/2023,"$549,900"
167,"2732 Sandon Dr, Abbotsford, BC",3.0,1.0,1480 sqft,,Multi Family,6.0,"$3,262",1976.0,R2783576,Residential,No,$539,11/07/2023,"$800,000",28/05/2023,"$799,000"
168,"2119 Lonsdale Cres, Abbotsford, BC",5.0,2.0,2364 sqft,,Single Family Residence,6.0,"$4,944",1974.0,R2782103,Residential,Yes,$535,11/07/2023,"$1,217,250",30/05/2023,"$1,267,000"
169,"502 - 3190 Gladwin Rd, Abbotsford, BC",2.0,2.0,1080 sqft,,Apartment/Condominium,1.0,"$1,664",1993.0,R2793474,Residential,Yes,$439,11/07/2023,"$474,800",27/06/2023,"$474,800"
170,"335 - 2451 Gladwin Rd, Abbotsford, BC",2.0,2.0,1449 sqft,,Apartment/Condominium,1.0,"$1,618",1991.0,R2793853,Residential,Yes,$331,11/07/2023,"$485,000",04/07/2023,"$479,900"
171,"39840 Old Yale Rd, Abbotsford, BC",3.0,3.0,1803 sqft,,Single Family Residence,0.0,"$4,889",2016.0,R2788121,Residential,Yes,$887,11/07/2023,"$1,450,000",13/06/2023,"$1,600,000"
172,"12 - 3348 Mount Lehman Rd, Abbotsford, BC",2.0,2.0,1600 sqft,,Townhouse,4.0,"$2,758",2008.0,R2791032,Residential,Yes,$555,11/07/2023,"$865,000",20/06/2023,"$889,000"
173,"38 - 34332 Maclure Rd, Abbotsford, BC",4.0,3.0,2197 sqft,,Townhouse,2.0,"$2,443",1994.0,R2785704,Residential,Yes,$357,10/07/2023,"$745,000",07/06/2023,"$784,900"
174,"40 - 2989 Trafalgar St, Abbotsford, BC",3.0,1.0,1722 sqft,,Townhouse,3.0,"$1,847",1985.0,R2793806,Residential,Yes,$364,10/07/2023,"$627,700",29/06/2023,"$627,700"
175,"23 - 2088 Winfield Dr, Abbotsford, BC",4.0,3.0,2603 sqft,,Townhouse,0.0,"$3,227",2003.0,R2782350,Residential,Yes,$320,10/07/2023,"$830,000",24/05/2023,"$835,000"
176,"25 - 35810 Mckee Rd, Abbotsford, BC",4.0,2.0,1934 sqft,,Townhouse,2.0,,2023.0,R2795455,Residential,Yes,$485,10/07/2023,"$925,000",04/07/2023,"$939,000"
177,"103 - 2990 Boulder St, Abbotsford, BC",1.0,1.0,810 sqft,,Apartment/Condominium,2.0,"$1,411",2006.0,R2789315,Residential,Yes,$555,-,Not Sold Yet,04/06/2024,"$399,999"
178,"3742 Davie St, Abbotsford, BC",4.0,3.0,2292 sqft,,Single Family Residence,5.0,"$4,008",1988.0,R2796758,Residential,Yes,$470,10/07/2023,"$1,065,000",09/07/2023,"$1,079,000"
179,"33971 Car Lin Lane, Abbotsford, BC",4.0,3.0,2082 sqft,,Single Family Residence,4.0,"$3,151",2009.0,R2792749,Residential,Yes,$470,10/07/2023,"$970,000",26/06/2023,"$979,900"
180,"406 - 2960 Trethewey St, Abbotsford, BC",2.0,2.0,909 sqft,,Apartment/Condominium,1.0,"$1,328",1994.0,R2787282,Residential,Yes,$467,10/07/2023,"$405,000",11/06/2023,"$425,000"
181,"1 - 2830 Bourquin Cres W, Abbotsford, BC",4.0,2.0,1766 sqft,,Townhouse,2.0,"$2,030",1979.0,R2791916,Residential,No,$372,09/07/2023,"$622,000",21/06/2023,"$658,000"
182,"121 - 2515 Park Dr, Abbotsford, BC",2.0,2.0,805 sqft,,Apartment/Condominium,2.0,"$1,468",2007.0,R2795508,Residential,Yes,$539,-,-,12/09/2023,"$479,000"
183,"404 - 33280 Bourquin Cres E, Abbotsford, BC",2.0,2.0,1386 sqft,,Apartment/Condominium,1.0,"$1,687",1993.0,R2795580,Residential,Yes,$389,09/07/2023,"$539,900",05/07/2023,"$539,900"
184,,,,,,,,,,,,,,,,,
185,"106 - 2958 Trethewey St, Abbotsford, BC",2.0,2.0,928 sqft,,Apartment/Condominium,1.0,"$1,286",1994.0,R2794237,Residential,Yes,$449,09/07/2023,"$410,000",03/07/2023,"$416,700"
186,"3367 Hedley St, Abbotsford, BC",4.0,2.0,2559 sqft,,Single Family Residence,5.0,"$4,826",1985.0,R2794184,Residential,Yes,$351,-,Not Sold Yet,06/05/2024,"$1,199,900"
187,"103 - 33280 Bourquin Cres E, Abbotsford, BC",2.0,2.0,1115 sqft,,Apartment/Condominium,1.0,"$1,370",1993.0,R2794709,Residential,Yes,$430,09/07/2023,"$500,000",02/07/2023,"$479,900"
188,"5449 Glenmore Rd, Abbotsford, BC",5.0,2.0,2660 sqft,,Single Family Residence,10.0,"$2,282",1986.0,R2757377,Residential,Yes,$936,09/07/2023,"$2,200,000",02/03/2023,"$2,490,000"
189,"3 - 32691 Garibaldi Dr, Abbotsford, BC",2.0,1.0,1166 sqft,,Townhouse,1.0,"$1,382",1989.0,R2783199,Residential,No,$364,09/07/2023,"$405,000",29/05/2023,"$425,000"
190,"438 - 32830 George Ferguson Way, Abbotsford, BC",2.0,2.0,1265 sqft,,Apartment/Condominium,2.0,"$1,495",1993.0,R2793132,Residential,Yes,$346,09/07/2023,"$460,000",03/07/2023,"$437,800"
191,"2170 Holly St, Abbotsford, BC",5.0,3.0,2356 sqft,,Single Family Residence,7.0,"$4,643",1977.0,R2779480,Residential,No,$462,08/07/2023,"$1,085,000",23/05/2023,"$1,089,000"
192,"50 - 4001 Old Clayburn Rd, Abbotsford, BC",2.0,2.0,1707 sqft,,Townhouse,2.0,"$2,459",1993.0,R2793481,Residential,Yes,$468,08/07/2023,"$740,500",28/06/2023,"$799,900"
193,"201 - 3150 Gladwin Rd, Abbotsford, BC",2.0,2.0,1160 sqft,,Apartment/Condominium,1.0,"$1,547",1990.0,R2794557,Residential,Yes,$443,07/07/2023,"$507,500",06/07/2023,"$514,900"
194,"304 - 2565 Ware St, Abbotsford, BC",2.0,2.0,1164 sqft,,Apartment/Condominium,2.0,"$2,135",2019.0,R2791525,Residential,Yes,$575,07/07/2023,"$660,000",21/06/2023,"$669,900"
195,"413 - 2990 Boulder St, Abbotsford, BC",2.0,2.0,950 sqft,,Apartment/Condominium,2.0,"$1,626",2007.0,R2795867,Residential,Yes,$526,07/07/2023,"$498,000",06/07/2023,"$499,800"
196,"2648 Eagle Mountain Dr, Abbotsford, BC",5.0,4.0,4688 sqft,,Single Family Residence,4.0,"$6,847",2015.0,R2795179,Residential,Yes,$383,07/07/2023,"$1,830,000",04/07/2023,"$1,799,800"
197,"103 - 32055 Old Yale Rd, Abbotsford, BC",2.0,1.0,1160 sqft,,Apartment/Condominium,1.0,$920,1979.0,R2781764,Residential,Yes,$245,06/07/2023,"$280,000",19/05/2023,"$284,900"
198,"34250 Fraser St, Abbotsford, BC",5.0,5.0,5512 sqft,,Single Family Residence,15.0,"$4,474",1992.0,R2777136,Residential,Yes,$217,06/07/2023,"$1,025,000",11/05/2023,"$1,199,000"
199,"204 - 2678 Mccallum Rd, Abbotsford, BC",2.0,2.0,1251 sqft,,Apartment/Condominium,2.0,"$1,245",1987.0,R2792807,Residential,Yes,$345,,,,
200,"32636 Pandora Ave, Abbotsford, BC",5.0,2.0,1760 sqft,,Single Family Residence,0.0,"$4,423",1977.0,R2780566,Residential,No,$601,,,,
201,"21 - 32615 Murray Ave, Abbotsford, BC",3.0,3.0,2416 sqft,,Townhouse,2.0,"$2,746",1988.0,R2791435,Residential,Yes,$326,,,,
202,"32995 Brundige Ave, Abbotsford, BC",4.0,2.0,2750 sqft,,Single Family Residence,5.0,"$5,411",1938.0,R2792717,Residential,No,$363,,,,
203,"301 - 30525 Cardinal Ave, Abbotsford, BC",1.0,1.0,550 sqft,,Apartment/Condominium,1.0,"$1,078",2009.0,R2795850,Residential,Yes,$618,06/07/2023,"$341,400",05/07/2023,"$339,900"
204,"417 - 33478 Roberts Ave, Abbotsford, BC",2.0,2.0,958 sqft,,Apartment/Condominium,1.0,"$1,459",1995.0,R2795578,Residential,Yes,$490,06/07/2023,"$470,000",04/07/2023,"$470,000"
205,"304 - 2678 Mccallum Rd, Abbotsford, BC",2.0,2.0,1233 sqft,,Apartment/Condominium,2.0,"$1,252",1988.0,R2796069,Residential,Yes,$308,06/07/2023,"$460,000",06/07/2023,"$380,000"
206,"2461 Aladdin Cres, Abbotsford, BC",4.0,2.0,1798 sqft,,Single Family Residence,5.0,"$4,221",1975.0,R2794387,Residential,Yes,$528,,,,
207,"207 - 32838 Landeau Pl, Abbotsford, BC",2.0,2.0,882 sqft,,Apartment/Condominium,1.0,"$1,996",2021.0,R2773891,Residential,Yes,$622,06/07/2023,"$545,000",02/05/2023,"$549,000"
208,"41 - 2830 Bourquin Cres W, Abbotsford, BC",3.0,1.0,1256 sqft,,Townhouse,1.0,"$1,935",1977.0,R2793000,Residential,No,$477,05/07/2023,"$599,900",26/06/2023,"$599,900"
209,"28285 Myrtle Ave, Abbotsford, BC",3.0,1.0,2872 sqft,,Single Family Residence,2.0,"$1,505",1977.0,R2791569,Residential,Yes,$731,05/07/2023,"$1,980,000",21/06/2023,"$2,100,000"
210,"106 - 32055 Old Yale Rd, Abbotsford, BC",2.0,1.0,1026 sqft,,Apartment/Condominium,1.0,$891,1980.0,R2789815,Residential,Yes,$282,05/07/2023,"$280,000",19/06/2023,"$290,000"
211,"301 - 2943 Nelson Pl, Abbotsford, BC",2.0,2.0,982 sqft,,Apartment/Condominium,2.0,"$1,632",2009.0,R2785360,Residential,Yes,$509,05/07/2023,"$495,000",05/06/2023,"$499,900"
212,"35 - 1419 Mccallum Rd, Abbotsford, BC",2.0,2.0,694 sqft,,Apartment/Condominium,1.0,,2023.0,R2786254,Residential,Yes,$720,05/07/2023,"$499,999",07/06/2023,"$499,900"
213,"5751 Bradner Rd, Abbotsford, BC",4.0,3.0,2762 sqft,,Single Family Residence,9.0,"$4,080",1988.0,R2780585,Residential,Yes,$977,05/07/2023,"$2,650,000",22/05/2023,"$2,699,000"
214,"17 - 33293 Bourquin Cres E, Abbotsford, BC",3.0,2.0,1780 sqft,,Townhouse,1.0,"$2,116",1976.0,R2792251,Residential,Yes,$336,04/07/2023,"$594,000",22/06/2023,"$599,000"
215,"22 - 32691 Garibaldi Dr, Abbotsford, BC",3.0,2.0,1495 sqft,,Townhouse,1.0,"$1,703",1988.0,R2764273,Residential,No,$380,04/07/2023,"$565,200",02/04/2023,"$569,565"
216,"56 - 1973 Winfield Dr, Abbotsford, BC",3.0,3.0,2144 sqft,,Townhouse,2.0,"$2,256",1993.0,R2793447,Residential,Yes,$345,04/07/2023,"$739,900",27/06/2023,"$739,900"
217,"30 - 1450 Mccallum Rd, Abbotsford, BC",2.0,2.0,1951 sqft,,Townhouse,1.0,"$2,340",1989.0,R2788913,Residential,Yes,$358,04/07/2023,"$689,900",11/06/2023,"$699,900"
218,"615 - 31955 Old Yale Rd, Abbotsford, BC",2.0,2.0,1322 sqft,,Apartment/Condominium,0.0,"$1,166",1981.0,R2791235,Residential,Yes,$264,,,,
219,"2680 Marble Hill Dr, Abbotsford, BC",4.0,2.0,2804 sqft,,Single Family Residence,6.0,"$3,960",1980.0,R2791299,Residential,Yes,$356,,,,
220,"304 - 1514 Mccallum Rd, Abbotsford, BC",1.0,1.0,450 sqft,,Apartment/Condominium,1.0,$598,2022.0,R2780807,Residential,Yes,$822,03/07/2023,"$357,000",16/05/2023,"$370,000"
221,"11 - 35287 Old Yale Rd, Abbotsford, BC",3.0,3.0,1881 sqft,,Townhouse,2.0,"$2,387",1999.0,R2792438,Residential,Yes,$393,03/07/2023,"$715,000",26/06/2023,"$739,999"
222,"13 - 32917 Amicus Pl, Abbotsford, BC",3.0,3.0,2223 sqft,,Townhouse,2.0,"$2,127",1983.0,R2792127,Residential,No,$269,03/07/2023,"$635,000",25/06/2023,"$599,900"
223,"3690 Cobblestone Dr, Abbotsford, BC",6.0,3.0,3894 sqft,,Single Family Residence,4.0,"$5,847",1993.0,R2791382,Residential,Yes,$392,03/07/2023,"$1,479,000",22/06/2023,"$1,529,900"
224,"47 - 3115 Trafalgar St, Abbotsford, BC",2.0,2.0,1598 sqft,,Townhouse,1.0,"$1,774",1987.0,R2781932,Residential,Yes,$343,03/07/2023,"$525,000",28/05/2023,"$549,000"
225,"45 - 31406 Upper Maclure Rd, Abbotsford, BC",3.0,3.0,3021 sqft,,Townhouse,2.0,"$2,733",1999.0,R2794278,Residential,Yes,$236,03/07/2023,"$715,000",03/07/2023,"$714,999"
226,"1703 - 3190 Gladwin Rd, Abbotsford, BC",2.0,2.0,1551 sqft,,Apartment/Condominium,2.0,"$2,736",1992.0,R2794529,Residential,Yes,$502,03/07/2023,"$780,000",03/07/2023,"$780,000"
227,"3421 Juniper Cres, Abbotsford, BC",4.0,2.0,1876 sqft,,Single Family Residence,6.0,"$3,889",1979.0,R2779720,Residential,Yes,$479,-,-,15/10/2023,"$1,159,000"
228,"13 - 31517 Spur Ave, Abbotsford, BC",2.0,2.0,1540 sqft,,Townhouse,2.0,"$2,022",2001.0,R2792705,Residential,Yes,$505,02/07/2023,"$779,000",25/06/2023,"$779,000"
229,"36218 Cassandra Dr, Abbotsford, BC",5.0,3.0,2900 sqft,,Single Family Residence,6.0,"$5,211",1996.0,R2792733,Residential,Yes,$344,02/07/2023,"$1,255,000",25/06/2023,"$1,000,000"
230,"34780 Anora Dr, Abbotsford, BC",3.0,2.0,1750 sqft,,Single Family Residence,6.0,"$4,101",1981.0,R2793520,Residential,Yes,$485,02/07/2023,"$850,000",25/06/2023,"$850,000"
231,"519 - 2860 Trethewey St, Abbotsford, BC",2.0,2.0,1069 sqft,,Apartment/Condominium,2.0,"$2,160",2017.0,R2791339,Residential,Yes,$587,02/07/2023,"$628,000",21/06/2023,"$627,900"
232,"31121 Deertrail Dr N, Abbotsford, BC",8.0,6.0,5002 sqft,,Single Family Residence,4.0,"$5,496",2021.0,R2795409,Residential,Yes,$419,02/07/2023,"$2,072,000",01/07/2023,"$2,099,000"
233,"53 - 3030 Trethewey St, Abbotsford, BC",3.0,1.0,1160 sqft,,Townhouse,1.0,"$1,973",1981.0,R2793129,Residential,No,$542,02/07/2023,"$629,000",27/06/2023,"$629,000"
234,"32656 Haida Dr, Abbotsford, BC",3.0,2.0,2135 sqft,,Single Family Residence,5.0,"$3,894",1988.0,R2788365,Residential,Yes,$515,02/07/2023,"$990,000",15/06/2023,"$1,100,000"
235,"217 - 3172 Gladwin Rd, Abbotsford, BC",2.0,2.0,1350 sqft,,Apartment/Condominium,1.0,"$1,640",1995.0,R2790509,Residential,Yes,$362,01/07/2023,"$485,000",21/06/2023,"$489,000"
236,"3705 Dunsmuir Way, Abbotsford, BC",4.0,3.0,2228 sqft,,Single Family Residence,6.0,"$4,057",1983.0,R2792783,Residential,Yes,$511,30/06/2023,"$1,131,000",27/06/2023,"$1,138,800"
237,"7 - 31548 Upper Maclure Rd, Abbotsford, BC",4.0,3.0,1820 sqft,,Townhouse,2.0,"$2,909",2019.0,R2786110,Residential,Yes,$453,,,,
238,"404 - 33546 Holland Ave, Abbotsford, BC",2.0,2.0,1153 sqft,,Apartment/Condominium,1.0,"$1,925",2008.0,R2791417,Residential,Yes,$501,29/06/2023,"$565,000",20/06/2023,"$578,000"
239,"128 - 1909 Salton Rd, Abbotsford, BC",1.0,1.0,620 sqft,,Apartment/Condominium,1.0,,1975.0,R2790995,Residential,No,$417,29/06/2023,"$258,000",25/06/2023,"$259,000"
240,"303 - 2410 Emerson St, Abbotsford, BC",2.0,2.0,1235 sqft,,Apartment/Condominium,1.0,"$1,207",1992.0,R2781237,Residential,Yes,$364,29/06/2023,"$448,000",23/05/2023,"$449,800"
241,"33146 Westbury Ave, Abbotsford, BC",5.0,1.0,2025 sqft,,Single Family Residence,6.0,"$3,582",1974.0,R2786435,Residential,Yes,$493,29/06/2023,"$850,000",07/06/2023,"$999,000"
242,"1424 - 34909 Old Yale Rd, Abbotsford, BC",1.0,1.0,660 sqft,,Apartment/Condominium,1.0,"$1,148",1980.0,R2790139,Residential,No,$530,28/06/2023,"$330,000",14/06/2023,"$349,900"
243,"206 - 2678 Mccallum Rd, Abbotsford, BC",2.0,2.0,1360 sqft,,Apartment/Condominium,2.0,"$1,338",1988.0,R2792694,Residential,Yes,$344,28/06/2023,"$460,000",26/06/2023,"$469,000"
244,"302 - 33464 George Ferguson Way, Abbotsford, BC",2.0,1.0,953 sqft,,Apartment/Condominium,1.0,"$1,045",1976.0,R2790909,Residential,Yes,$292,28/06/2023,"$276,000",19/06/2023,"$279,000"
245,"95 - 34248 King Rd, Abbotsford, BC",3.0,2.0,1737 sqft,,Townhouse,2.0,"$2,641",2009.0,R2790535,Residential,Yes,$413,28/06/2023,"$712,000",20/06/2023,"$719,000"
246,"107 - 32124 Tims Ave, Abbotsford, BC",2.0,2.0,970 sqft,,Apartment/Condominium,1.0,"$1,301",1982.0,R2783626,Residential,Yes,$468,28/06/2023,"$445,000",04/06/2023,"$454,000"
247,"417 - 3172 Gladwin Rd, Abbotsford, BC",2.0,2.0,1349 sqft,,Apartment/Condominium,1.0,"$1,676",1994.0,R2792516,Residential,Yes,$421,28/06/2023,"$559,900",27/06/2023,"$569,000"
248,"321 - 30525 Cardinal Ave, Abbotsford, BC",1.0,1.0,686 sqft,,Apartment/Condominium,1.0,"$1,266",2009.0,R2782898,Residential,Yes,$546,27/06/2023,"$368,000",06/06/2023,"$374,900"
249,"71 - 30930 Westridge Pl, Abbotsford, BC",2.0,2.0,1258 sqft,,Townhouse,4.0,"$2,640",2018.0,R2790203,Residential,Yes,$556,27/06/2023,"$715,000",18/06/2023,"$699,900"
250,"111 - 32725 George Ferguson Way, Abbotsford, BC",2.0,2.0,883 sqft,,Apartment/Condominium,1.0,"$1,352",1992.0,R2791895,Residential,Yes,$447,27/06/2023,"$410,000",26/06/2023,"$395,000"
251,"424 - 31158 Westridge Pl, Abbotsford, BC",2.0,2.0,1148 sqft,,Apartment/Condominium,2.0,"$2,352",2021.0,R2788572,Residential,Yes,$582,27/06/2023,"$655,000",14/06/2023,"$669,000"
252,"116 - 3182 Gladwin Rd, Abbotsford, BC",2.0,2.0,955 sqft,,Apartment/Condominium,1.0,"$2,583",2022.0,R2792854,Residential,Yes,$523,20/09/2023,"$525,000",19/09/2023,"$499,700"
253,"420 - 2565 Campbell Ave, Abbotsford, BC",3.0,2.0,1093 sqft,,Apartment/Condominium,2.0,"$2,039",2015.0,R2769420,Residential,Yes,$526,27/06/2023,"$562,500",20/04/2023,"$575,000"
254,"29497 Sunvalley Cres, Abbotsford, BC",3.0,2.0,2200 sqft,,Single Family Residence,3.0,"$4,404",1971.0,R2765189,Residential,No,$561,-,Not Sold Yet,26/06/2024,"$1,399,999"
255,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,
261,"2569 Magnolia Cres, Abbotsford, BC",3.0,2.0,1692 sqft,,Single Family Residence,0.0,"$4,196",1969.0,R2781758,Residential,Yes,$635,,,,
262,"2412 Parkview St, Abbotsford, BC",6.0,2.0,1229 sqft,,Single Family Residence,4.0,"$3,744",1965.0,R2783970,Residential,No,$813,,,,
263,"35802 Eaglecrest Dr, Abbotsford, BC",4.0,3.0,2685 sqft,,Single Family Residence,0.0,"$4,740",1984.0,R2746185,Residential,Yes,$483,,,,
264,,,,,,,,,,R2792071,Residential,Yes,$606,,,,
265,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,
267,,,2.0,954 sqft,,Apartment/Condominium,1.0,"$1,784",2006.0,R2786706,Residential,Yes,$502,,,,
268,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,
270,"27 - 31445 Ridgeview Dr, Abbotsford, BC",3.0,2.0,2799 sqft,,Townhouse,4.0,"$2,838",1993.0,R2785557,Residential,Yes,$278,25/06/2023,"$780,000",05/06/2023,"$779,900"
271,"35148 Kootenay Dr, Abbotsford, BC",6.0,3.0,2500 sqft,,Single Family Residence,6.0,"$4,403",1997.0,R2791478,Residential,Yes,$439,25/06/2023,"$1,115,000",20/06/2023,"$1,099,000"
272,"103 - 32124 Tims Ave, Abbotsford, BC",2.0,2.0,950 sqft,,Apartment/Condominium,1.0,"$1,260",1982.0,R2789669,Residential,Yes,$477,25/06/2023,"$467,000",18/06/2023,"$454,000"
273,"54 - 32718 Garibaldi Dr, Abbotsford, BC",1.0,1.0,1127 sqft,,Townhouse,1.0,"$1,295",1985.0,R2754216,Residential,No,$323,25/06/2023,"$355,000",19/02/2023,"$364,900"
274,"110 - 2451 Gladwin Rd, Abbotsford, BC",2.0,2.0,1486 sqft,,Apartment/Condominium,1.0,"$1,881",1989.0,R2789197,Residential,Yes,$353,25/06/2023,"$485,000",14/06/2023,"$525,000"
275,"3010 Cassiar Ave, Abbotsford, BC",5.0,3.0,2193 sqft,,Single Family Residence,4.0,"$4,375",1989.0,R2785992,Residential,Yes,$523,24/06/2023,"$1,118,000",06/06/2023,"$1,149,000"
276,"207 - 2678 Mccallum Rd, Abbotsford, BC",2.0,2.0,1106 sqft,,Apartment/Condominium,2.0,"$1,354",1988.0,R2785547,Residential,Yes,$379,24/06/2023,"$440,000",05/06/2023,"$419,900"
277,"408 - 2575 Ware St, Abbotsford, BC",2.0,2.0,1281 sqft,,Apartment/Condominium,1.0,"$1,568",1994.0,R2783648,Residential,Yes,$389,24/06/2023,"$480,000",29/05/2023,"$499,000"
278,"35410 Doneagle Pl, Abbotsford, BC",3.0,3.0,5068 sqft,,Single Family Residence,3.0,"$7,936",1997.0,R2789477,Residential,Yes,$522,24/06/2023,"$2,600,000",18/06/2023,"$2,648,000"
279,"75 - 2838 Livingstone Ave, Abbotsford, BC",3.0,2.0,1661 sqft,,Townhouse,2.0,"$2,932",2020.0,R2788442,Residential,Yes,$517,24/06/2023,"$848,000",13/06/2023,"$859,900"
280,"2167 Bakerview St, Abbotsford, BC",6.0,2.0,2400 sqft,,Single Family Residence,4.0,"$4,263",1974.0,R2788012,Residential,Yes,$499,,,,
281,"3262 Jervis Cres, Abbotsford, BC",3.0,2.0,1703 sqft,,Single Family Residence,4.0,"$2,364",1978.0,R2784764,Residential,No,$528,,,,
282,"241 - 32550 Maclure Rd, Abbotsford, BC",3.0,1.0,1184 sqft,,Townhouse,1.0,"$2,228",1981.0,R2783039,Residential,No,$532,,,,
283,"302 - 32838 Landeau Pl, Abbotsford, BC",1.0,1.0,667 sqft,,Apartment/Condominium,1.0,"$1,455",2021.0,R2778486,Residential,Yes,$656,,,14/05/2023,"$438,000"
284,,,,,,Apartment/Condominium,1.0,"$1,566",1993.0,R2790273,Residential,Yes,$401,,,,
285,"308 - 31930 Old Yale Rd, Abbotsford, BC",2.0,2.0,1125 sqft,,Apartment/Condominium,1.0,"$1,129",1988.0,R2782321,Residential,Yes,$372,23/06/2023,"$380,000",28/05/2023,"$419,000"
286,"309 - 31930 Old Yale Rd, Abbotsford, BC",2.0,2.0,1128 sqft,,Apartment/Condominium,1.0,"$1,040",1988.0,R2779659,Residential,Yes,$318,22/06/2023,"$320,000",20/05/2023,"$359,000"
287,"6 - 27640 Lantern Ave, Abbotsford, BC",4.0,2.0,1486 sqft,,Townhouse,2.0,"$2,834",2021.0,R2791306,Residential,Yes,$545,22/06/2023,"$809,900",18/06/2023,"$809,900"
288,"2696 Stewart Cres, Abbotsford, BC",5.0,2.0,3250 sqft,,Single Family Residence,4.0,"$4,887",1973.0,R2785599,Residential,No,$353,22/06/2023,"$1,120,000",07/06/2023,"$1,149,900"
289,"56 - 3800 Golf Course Dr, Abbotsford, BC",5.0,3.0,3388 sqft,,Single Family Residence,4.0,"$4,429",2007.0,R2789907,Residential,Yes,$382,,,,
290,"109 - 2435 Center St, Abbotsford, BC",2.0,2.0,1009 sqft,,Apartment/Condominium,1.0,"$1,373",1996.0,R2789642,Residential,Yes,$460,22/06/2023,"$473,000",19/06/2023,"$465,000"
291,"2926 Crossley Dr, Abbotsford, BC",3.0,2.0,1502 sqft,,Single Family Residence,4.0,"$4,105",1989.0,R2779232,Residential,Yes,$705,22/06/2023,"$1,020,000",18/05/2023,"$1,059,800"
