,address,beds,bath,area,maintenance,type,parking,taxes,built,mlsNumber,levels,garage,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice
35,"1780 Salton Rd, Abbotsford, BC",2.0,2.0,1674 sqft,,Manufactured On Land,0.0,"$2,802",1980.0,R2804134,Residential,No,$447,08/08/2023,"$715,000",02/08/2023,"$749,900"
36,"1883 Viewgrove Pl, Abbotsford, BC",4.0,2.0,2252 sqft,,Single Family Residence,6.0,"$4,839",1980.0,R2802184,Residential,Yes,$566,08/08/2023,"$1,150,000",25/07/2023,"$1,275,000"
37,"36082 Southridge Pl, Abbotsford, BC",5.0,3.0,3335 sqft,,Single Family Residence,4.0,"$4,855",1985.0,R2759420,Residential,Yes,$382,08/08/2023,"$1,275,000",12/03/2023,"$1,275,000"
38,"37721 Dawson Rd, Abbotsford, BC",4.0,3.0,2288 sqft,,Single Family Residence,10.0,"$5,386",1987.0,R2801061,Residential,Yes,$738,07/08/2023,"$1,690,000",24/07/2023,"$1,690,000"
39,"206 - 33338 Mayfair Ave, Abbotsford, BC",2.0,2.0,1058 sqft,,Apartment/Condominium,2.0,"$1,985",2007.0,R2802916,Residential,Yes,$491,07/08/2023,"$510,000",31/07/2023,"$519,800"
40,"302 - 32669 George Ferguson Way, Abbotsford, BC",2.0,2.0,1238 sqft,,Apartment/Condominium,2.0,"$1,496",1986.0,R2803694,Residential,Yes,$266,07/08/2023,"$380,000",01/08/2023,"$329,900"
41,"105 - 33568 George Ferguson Way, Abbotsford, BC",2.0,2.0,780 sqft,,Apartment/Condominium,1.0,"$1,819",2021.0,R2798993,Residential,Yes,$640,07/08/2023,"$485,000",16/07/2023,"$499,700"
42,"1 - 3070 Townline Rd, Abbotsford, BC",4.0,3.0,1980 sqft,,Townhouse,2.0,"$2,705",1993.0,R2802093,Residential,Yes,$378,07/08/2023,"$770,000",25/07/2023,"$749,900"
43,"34643 2nd Ave, Abbotsford, BC",2.0,1.0,900 sqft,,Single Family Residence,2.0,"$3,701",9999.0,R2789672,Residential,No,$694,07/08/2023,"$550,000",19/06/2023,"$625,000"
44,"203 - 1750 Mckenzie Rd, Abbotsford, BC",2.0,1.0,951 sqft,,Townhouse,2.0,"$1,612",1990.0,R2802222,Residential,No,$419,07/08/2023,"$398,000",25/07/2023,"$399,000"
45,"32993 Malahat Pl, Abbotsford, BC",5.0,3.0,2142 sqft,,Single Family Residence,4.0,"$4,759",1987.0,R2802959,Residential,Yes,$560,06/08/2023,"$1,131,031",30/07/2023,"$1,199,700"
46,"20 - 2838 Livingstone Ave, Abbotsford, BC",2.0,2.0,1307 sqft,,Townhouse,4.0,"$2,698",2019.0,R2804100,Residential,Yes,$512,06/08/2023,"$700,000",02/08/2023,"$669,800"
47,"205 - 2649 James St, Abbotsford, BC",3.0,2.0,1097 sqft,,Apartment/Condominium,2.0,"$2,253",2021.0,R2803842,Residential,Yes,$569,06/08/2023,"$615,000",01/08/2023,"$624,900"
48,"319 - 2700 Mccallum Rd, Abbotsford, BC",2.0,1.0,907 sqft,,Apartment/Condominium,1.0,"$1,584",1989.0,R2803630,Residential,Yes,$429,06/08/2023,"$389,900",02/08/2023,"$389,900"
49,"205 - 32120 Mount Waddington Ave, Abbotsford, BC",2.0,2.0,1233 sqft,,Apartment/Condominium,1.0,"$1,713",1995.0,R2802889,Residential,Yes,$385,06/08/2023,"$478,000",30/07/2023,"$475,000"
50,"404 - 3176 Gladwin Rd, Abbotsford, BC",2.0,2.0,1083 sqft,,Apartment/Condominium,1.0,"$1,692",1997.0,R2803640,Residential,Yes,$447,05/08/2023,"$485,000",02/08/2023,"$484,900"
51,"30524 Robin Dr, Abbotsford, BC",6.0,4.0,2745 sqft,,Single Family Residence,5.0,"$5,083",1994.0,R2787571,Residential,Yes,$480,05/08/2023,"$1,270,000",10/06/2023,"$1,318,000"
52,"416 - 31158 Westridge Pl, Abbotsford, BC",1.0,1.0,662 sqft,,Apartment/Condominium,2.0,"$1,905",2021.0,R2793504,Residential,Yes,$708,05/08/2023,"$457,500",28/06/2023,"$469,000"
53,"194 - 30930 Westridge Pl, Abbotsford, BC",3.0,2.0,2218 sqft,,Townhouse,2.0,"$3,430",2020.0,R2794378,Residential,Yes,$405,,,,
54,"608 - 1750 Mckenzie Rd, Abbotsford, BC",2.0,1.0,961 sqft,,Townhouse,1.0,"$1,567",1990.0,R2802840,Residential,No,$431,04/08/2023,"$407,500",29/07/2023,"$415,000"
55,"35672 Hawksview Pl, Abbotsford, BC",3.0,3.0,2608 sqft,,Single Family Residence,4.0,"$4,793",2001.0,R2797413,Residential,Yes,$465,04/08/2023,"$1,200,000",11/07/2023,"$1,214,900"
56,"101 - 3182 Gladwin Rd, Abbotsford, BC",1.0,1.0,616 sqft,,Apartment/Condominium,1.0,"$1,980",2022.0,R2803995,Residential,Yes,$649,04/08/2023,"$410,000",02/08/2023,"$399,900"
57,"2720 Maple St, Abbotsford, BC",5.0,1.0,2478 sqft,,Single Family Residence,8.0,"$4,518",1956.0,R2793815,Residential,Yes,$484,03/08/2023,"$1,150,000",29/06/2023,"$1,199,900"
58,"413 - 2632 Pauline St, Abbotsford, BC",3.0,2.0,1088 sqft,,Apartment/Condominium,2.0,"$1,915",2008.0,R2793974,Residential,Yes,$565,03/08/2023,"$600,000",29/06/2023,"$615,000"
59,"9 - 3070 Townline Rd, Abbotsford, BC",4.0,3.0,1915 sqft,,Townhouse,2.0,"$2,417",1993.0,R2793881,Residential,No,$365,03/08/2023,"$683,000",04/07/2023,"$699,900"
60,"98 - 1973 Winfield Dr, Abbotsford, BC",3.0,3.0,2333 sqft,,Townhouse,0.0,"$2,256",1993.0,R2799260,Residential,Yes,$321,02/08/2023,"$729,000",23/07/2023,"$749,900"
61,"67 - 34959 Old Clayburn Rd, Abbotsford, BC",2.0,2.0,1575 sqft,,Townhouse,1.0,"$2,461",1988.0,R2802452,Residential,No,$363,02/08/2023,"$570,000",31/07/2023,"$572,000"
62,"204 - 3150 Gladwin Rd, Abbotsford, BC",2.0,2.0,1145 sqft,,Apartment/Condominium,1.0,"$1,890",1990.0,R2799265,Residential,Yes,$414,02/08/2023,"$472,500",13/07/2023,"$475,000"
63,"105 - 32120 Mount Waddington Ave, Abbotsford, BC",2.0,2.0,1233 sqft,,Apartment/Condominium,1.0,"$1,668",1995.0,R2799750,Residential,Yes,$405,02/08/2023,"$488,500",18/07/2023,"$499,900"
64,"14 - 2989 Trafalgar St, Abbotsford, BC",3.0,3.0,2321 sqft,,Townhouse,2.0,"$2,240",1985.0,R2803645,Residential,No,$305,02/08/2023,"$708,300",30/07/2023,"$708,800"
65,,,,,,,3.0,"$2,165",1980.0,R2802944,Residential,Yes,$461,,,,
66,"118 - 2964 Trethewey St, Abbotsford, BC",2.0,2.0,921 sqft,,Apartment/Condominium,1.0,"$1,541",1993.0,R2803496,Residential,Yes,$461,01/08/2023,"$418,000",31/07/2023,"$424,900"
67,"112 - 33490 Cottage Lane, Abbotsford, BC",2.0,1.0,1013 sqft,,Apartment/Condominium,1.0,"$1,018",1981.0,R2790478,Residential,Yes,$330,01/08/2023,"$325,000",19/06/2023,"$334,500"
68,"316 - 2964 Trethewey St, Abbotsford, BC",1.0,1.0,815 sqft,,Apartment/Condominium,1.0,"$1,444",1993.0,R2801800,Residential,Yes,$465,01/08/2023,"$373,000",25/07/2023,"$379,000"
69,"31391 Marshall Rd, Abbotsford, BC",5.0,3.0,2592 sqft,,Single Family Residence,7.0,"$5,441",1997.0,R2800783,Residential,Yes,$470,01/08/2023,"$1,190,000",24/07/2023,"$1,219,999"
70,"2818 Westside Pl, Abbotsford, BC",3.0,3.0,2287 sqft,,Single Family Residence,6.0,"$4,711",1990.0,R2802802,Residential,Yes,$469,01/08/2023,"$1,050,000",27/07/2023,"$1,074,700"
71,"2006 - 2180 Gladwin Rd, Abbotsford, BC",2.0,2.0,1035 sqft,,Apartment/Condominium,1.0,"$3,051",2018.0,R2784599,Residential,Yes,$806,,,,
72,"302 - 31771 Peardonville Rd, Abbotsford, BC",2.0,2.0,900 sqft,,Apartment/Condominium,1.0,"$1,704",1994.0,R2803350,Residential,Yes,$499,31/07/2023,"$455,000",31/07/2023,"$449,900"
73,"106 - 4001 Old Clayburn Rd, Abbotsford, BC",3.0,2.0,2746 sqft,,Townhouse,2.0,"$3,412",1993.0,R2799712,Residential,Yes,$327,31/07/2023,"$850,000",18/07/2023,"$899,000"
74,,,,,,,,,,,,,,,,,
75,"33931 Farmer Rd, Abbotsford, BC",4.0,1.0,2598 sqft,,Single Family Residence,20.0,"$5,479",1967.0,R2800043,Residential,Yes,$730,,,,
76,,,,,,,,,,,,,,,,,
77,"31833 Jervis Crt, Abbotsford, BC",5.0,2.0,2154 sqft,,Single Family Residence,0.0,"$4,814",1988.0,R2800361,Residential,Yes,$487,,"$1,015,000",19/07/2023,"$1,050,000"
78,"35298 Munroe Ave, Abbotsford, BC",4.0,3.0,2224 sqft,,Single Family Residence,4.0,"$4,225",1988.0,R2802366,Residential,Yes,$449,31/07/2023,"$1,045,000",26/07/2023,"$999,900"
79,"2455 Aladdin Cres, Abbotsford, BC",3.0,1.0,1495 sqft,,Single Family Residence,2.0,"$4,174",1976.0,R2795336,Residential,No,$601,31/07/2023,"$870,000",04/07/2023,"$899,900"
80,"2235 Broadway St, Abbotsford, BC",4.0,2.0,2138 sqft,,Single Family Residence,5.0,"$4,933",1970.0,R2799267,Residential,No,$549,31/07/2023,"$1,150,000",18/07/2023,"$1,175,000"
81,"35823 Timberlane Dr, Abbotsford, BC",3.0,3.0,2576 sqft,,Single Family Residence,8.0,"$5,204",1990.0,R2791914,Residential,Yes,$543,31/07/2023,"$1,270,000",26/06/2023,"$1,398,800"
82,"101 - 32033 Old Yale Rd, Abbotsford, BC",2.0,1.0,1080 sqft,,Apartment/Condominium,1.0,"$1,076",1979.0,R2799765,Residential,Yes,$277,,,,
83,"206 - 32733 Broadway St East, Abbotsford, BC",1.0,1.0,665 sqft,,Apartment/Condominium,1.0,$908,1982.0,R2791604,Residential,Yes,$450,30/07/2023,"$295,500",22/06/2023,"$299,750"
84,"113 - 32870 George Ferguson Way, Abbotsford, BC",2.0,1.0,915 sqft,,Apartment/Condominium,1.0,"$1,177",1976.0,R2777148,Residential,Yes,$349,30/07/2023,"$303,000",09/05/2023,"$320,000"
85,"121 - 2120 Gladwin Rd, Abbotsford, BC",1.0,1.0,662 sqft,,Apartment/Condominium,1.0,"$1,802",2021.0,R2799083,Residential,Yes,$702,30/07/2023,"$455,000",19/07/2023,"$464,900"
