,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
826,"8424 Centre St, Delta, BC",7,7,3771 sqft,,6,"$4,125",2022,R2785403,Residential,Yes,,$580,04/08/2023,"$2,047,619",05/06/2023,"$2,188,888",Single Family Residence
827,"820 English Bluff Rd, Delta, BC",3,2,1717 sqft,,5,"$4,129",1988,R2802771,Residential,Yes,,$745,03/08/2023,"$1,280,000",01/08/2023,"$1,280,000",Single Family Residence
828,"5667 Fairlight Cres, Delta, BC",7,5,4688 sqft,,2,"$4,669",2023,R2793584,Residential,Yes,,$533,03/08/2023,"$2,331,875",28/06/2023,"$2,499,000",Single Family Residence
829,"106 - 1441 Garden Pl, Delta, BC",1,1,710 sqft,,1,"$1,163",1982,R2781925,Residential,Yes,,$701,03/08/2023,"$480,000",27/05/2023,"$498,000",Apartment/Condominium
830,"8150 Sheaves Rd, Delta, BC",6,2,3218 sqft,,6,"$4,444",1995,R2797021,Residential,Yes,,$527,02/08/2023,"$1,625,000",10/07/2023,"$1,698,000",Single Family Residence
831,"5121 44b Ave, Delta, BC",5,4,2485 sqft,,3,"$5,310",2010,R2793340,Residential,Yes,,$763,01/08/2023,"$1,898,000",27/06/2023,"$1,898,000",Single Family Residence
832,"11225 82 Ave, Delta, BC",4,2,2735 sqft,,4,"$4,389",1967,R2767308,Residential,Yes,,$821,01/08/2023,"$1,900,000",10/04/2023,"$2,248,000",Single Family Residence
833,"7488 115a St, Delta, BC",4,2,2117 sqft,,0,"$4,390",1970,R2798883,Residential,Yes,,$703,01/08/2023,"$1,275,000",16/07/2023,"$1,489,000",Single Family Residence
834,"7453 113a St, Delta, BC",5,2,2268 sqft,,4,"$4,338",1973,R2791197,Residential,No,,$643,31/07/2023,"$1,450,000",20/06/2023,"$1,459,900",Single Family Residence
835,"20 - 1700 56 St, Delta, BC",3,2,1578 sqft,,2,"$2,951",1997,R2778262,Residential,Yes,,$538,30/07/2023,"$849,900",15/05/2023,"$849,900",Townhouse
836,"2 - 4910 Central Ave, Delta, BC",3,2,1426 sqft,,2,"$2,993",2007,R2802189,Residential,Yes,,$699,30/07/2023,"$998,000",26/07/2023,"$998,000",Townhouse
837,"17 - 8385 Delsom Way, Delta, BC",3,2,1412 sqft,,2,"$2,650",2009,R2802139,Residential,No,,$644,30/07/2023,"$910,000",25/07/2023,"$909,800",Townhouse
