,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
596,"331 - 5311 Cedarbridge Way, Richmond, BC",2,2,889 sqft,,1,"$2,162",2016,R2867452,Residential,Yes,,$842,14/04/2024,"$742,500",07/04/2024,"$749,000",Apartment/Condominium
597,"1507 - 8333 Anderson Rd, Richmond, BC",2,2,845 sqft,,1,"$2,224",2011,R2861540,Residential,No,,$946,14/04/2024,"$780,000",19/03/2024,"$799,900",Apartment/Condominium
598,"223 - 9233 Ferndale Rd, Richmond, BC",2,1,772 sqft,,0,"$1,746",2007,R2848065,Residential,Yes,,$880,14/04/2024,"$630,000",04/02/2024,"$680,000",Apartment/Condominium
599,"105 - 10788 No. 5 Rd, Richmond, BC",1,1,633 sqft,,1,"$1,615",2018,R2855239,Residential,Yes,,$992,14/04/2024,"$622,000",03/03/2024,"$628,000",Apartment/Condominium
600,"4906 Mahood Dr, Richmond, BC",4,3,1849 sqft,,0,"$4,263",1980,R2858330,Residential,Yes,,$858,14/04/2024,"$1,530,000",11/03/2024,"$1,588,000",Single Family Residence
601,"9 - 6511 No. 2 Rd, Richmond, BC",3,2,1450 sqft,,2,"$3,638",2015,R2868574,Residential,Yes,,"$1,005",14/04/2024,"$1,458,000",08/04/2024,"$1,458,000",Townhouse
602,"9251 Pinewell Cres, Richmond, BC",5,5,4009 sqft,,6,"$8,889",2021,R2862903,Residential,Yes,,$843,14/04/2024,"$3,150,000",24/03/2024,"$3,380,000",Single Family Residence
603,"103 - 8060 Colonial Dr, Richmond, BC",2,1,727 sqft,,1,"$1,223",1977,R2866074,Residential,Yes,,$686,14/04/2024,"$523,000",01/04/2024,"$499,000",Apartment/Condominium
604,"4360 Colchester Dr, Richmond, BC",5,5,3433 sqft,,1,"$8,376",2017,R2840859,Residential,Yes,,$928,14/04/2024,"$2,980,000",08/01/2024,"$3,188,000",Single Family Residence
605,"4675 Bonavista Dr, Richmond, BC",4,2,1515 sqft,,0,"$4,342",1980,R2867165,Residential,No,,$924,14/04/2024,"$1,538,000",03/04/2024,"$1,400,000",Single Family Residence
