,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
31,"5733 184 Street, Surrey, BC",5,2,2289 sqft,,8,"$5,613",1983,R2897119,Residential,No,,$655,22/06/2024,"$1,460,000",18/06/2024,"$1,499,999",Single Family Residence
32,"103 - 16222 23 A Avenue, Surrey, BC",3,2,1218 sqft,,2,"$2,806",2012,R2880342,Residential,Yes,,$656,22/06/2024,"$770,000",05/05/2024,"$799,900",Townhouse
33,"24 - 16337 15 Avenue, Surrey, BC",4,3,1663 sqft,,2,"$3,352",2018,R2892020,Residential,Yes,,$600,22/06/2024,"$978,000",04/06/2024,"$998,888",Townhouse
34,"1332 129 Street, Surrey, BC",3,2,1878 sqft,,3,"$5,271",1976,R2896441,Residential,Yes,,$718,21/06/2024,"$1,300,000",18/06/2024,"$1,350,000",Single Family Residence
35,"42 - 3500 144 Street, Surrey, BC",3,2,2352 sqft,,2,"$4,369",2000,R2896156,Residential,Yes,,$595,21/06/2024,"$1,400,000",18/06/2024,"$1,399,900",Townhouse
36,"317 - 12633 72 Avenue, Surrey, BC",2,2,1062 sqft,,1,"$1,893",1994,R2862928,Residential,Yes,,$541,21/06/2024,"$571,500",24/03/2024,"$575,000",Apartment/Condominium
37,"17480 61 B Avenue, Surrey, BC",3,1,1196 sqft,,4,"$4,419",1973,R2891847,Residential,No,,"$1,045",21/06/2024,"$1,240,100",06/06/2024,"$1,250,000",Single Family Residence
38,"3511 - 13750 100 Avenue, Surrey, BC",1,1,462 sqft,,1,"$1,884",2017,R2887360,Residential,Yes,,$969,21/06/2024,"$445,000",26/05/2024,"$448,000",Apartment/Condominium
39,"8632 148 A Street, Surrey, BC",3,2,1813 sqft,,2,"$4,652",1989,R2886140,Residential,Yes,,$744,21/06/2024,"$1,320,000",26/05/2024,"$1,349,900",Single Family Residence
40,"1702 - 13353 108 Avenue, Surrey, BC",2,2,1199 sqft,,2,"$2,548",1994,R2889054,Residential,Yes,,$533,21/06/2024,"$595,000",28/05/2024,"$639,666",Apartment/Condominium
41,"304 - 12739 72 Avenue, Surrey, BC",2,2,1049 sqft,,2,"$2,148",1996,R2893527,Residential,Yes,,$571,21/06/2024,"$570,000",10/06/2024,"$599,000",Apartment/Condominium
42,"415 - 15385 101 A Avenue, Surrey, BC",2,2,1188 sqft,,1,"$2,646",2006,R2877938,Residential,Yes,,$620,21/06/2024,"$700,000",23/04/2024,"$737,000",Apartment/Condominium
43,"410 - 14438 72 Avenue, Surrey, BC",2,1,686 sqft,,1,"$1,706",2022,R2875538,Residential,Yes,,$852,21/06/2024,"$570,000",28/04/2024,"$585,000",Apartment/Condominium
44,"6022 Morgan Drive, Surrey, BC",6,3,2433 sqft,,6,"$5,323",1991,R2894024,Residential,Yes,,$595,21/06/2024,"$1,429,000",11/06/2024,"$1,449,900",Single Family Residence
45,"8870 127 Street, Surrey, BC",8,4,3092 sqft,,0,"$5,666",1979,R2892340,Residential,No,,$516,21/06/2024,"$1,564,000",10/06/2024,"$1,598,000",Single Family Residence
46,"109 - 14153 104 Avenue, Surrey, BC",2,1,1089 sqft,,1,"$2,226",1974,R2880747,Residential,No,,$587,21/06/2024,"$635,000",07/05/2024,"$639,900",Townhouse
47,"16275 28 Avenue, Surrey, BC",4,3,4509 sqft,,8,"$7,029",1977,R2884638,Residential,Yes,,$596,20/06/2024,"$2,370,000",20/05/2024,"$2,688,000",Single Family Residence
48,"323 - 13228 Old Yale Road, Surrey, BC",1,1,626 sqft,,1,"$1,925",2014,R2888083,Residential,Yes,,$782,20/06/2024,"$474,000",25/05/2024,"$489,800",Apartment/Condominium
49,"12838 26 Avenue, Surrey, BC",4,3,2596 sqft,,3,"$4,954",2009,R2888344,Residential,Yes,,$558,20/06/2024,"$1,465,000",28/05/2024,"$1,450,000",Single Family Residence
50,"14993 95 A Avenue, Surrey, BC",5,3,2292 sqft,,6,"$5,133",1988,R2896551,Residential,Yes,,$654,20/06/2024,"$1,475,000",18/06/2024,"$1,499,888",Single Family Residence
51,"9832 130 Street, Surrey, BC",4,2,1750 sqft,,5,"$5,760",1969,R2896368,Residential,No,,$840,20/06/2024,"$1,460,000",18/06/2024,"$1,470,000",Single Family Residence
52,"417 - 6688 120 Street, Surrey, BC",3,2,1039 sqft,,2,"$2,321",2011,R2873249,Residential,Yes,,$709,20/06/2024,"$709,000",21/04/2024,"$737,000",Apartment/Condominium
53,"16732 15a Avenue, Surrey, BC",6,6,2976 sqft,,3,"$4,368",2023,R2888361,Residential,Yes,,$579,20/06/2024,"$1,643,000",28/05/2024,"$1,725,000",Single Family Residence
54,"16732 15a Avenue, Surrey, BC",6,6,2976 sqft,,3,"$4,368",2023,R2888361,Residential,Yes,,$579,20/06/2024,"$1,643,000",28/05/2024,"$1,725,000",Single Family Residence
55,"3209 - 9981 Whalley Boulevard, Surrey, BC",2,2,845 sqft,,1,"$2,281",2011,R2891998,Residential,Yes,,$755,19/06/2024,"$633,000",04/06/2024,"$638,800",Apartment/Condominium
56,"506 - 15858 Fraser Highway, Surrey, BC",1,1,607 sqft,,1,,2023,R2888419,Residential,Yes,,$886,19/06/2024,"$527,500",27/05/2024,"$538,000",Apartment/Condominium
57,"14720 107 Avenue, Surrey, BC",7,4,2564 sqft,,0,"$5,552",1960,R2892804,Residential,No,,$623,19/06/2024,"$1,465,000",09/06/2024,"$1,599,900",Single Family Residence
58,"706 - 13359 Old Yale Road, Surrey, BC",1,1,453 sqft,,1,"$1,814",2023,R2882712,Residential,Yes,,$992,19/06/2024,"$439,500",12/05/2024,"$449,800",Apartment/Condominium
59,"9 - 2168 150 A Street, Surrey, BC",3,2,1986 sqft,,2,"$3,752",1997,R2892862,Residential,Yes,,$703,19/06/2024,"$1,380,000",09/06/2024,"$1,398,000",Townhouse
60,"14318 78 Avenue, Surrey, BC",4,2,2233 sqft,,6,"$5,296",1988,R2889414,Residential,Yes,,$514,19/06/2024,"$1,190,000",02/06/2024,"$1,149,000",Single Family Residence
61,"5659 184 A Street, Surrey, BC",3,2,2113 sqft,,6,"$5,111",1989,R2894983,Residential,Yes,,$662,19/06/2024,"$1,395,000",17/06/2024,"$1,399,000",Single Family Residence
62,"210 - 14550 Winter Crescent, Surrey, BC",2,2,859 sqft,,1,"$2,318",2019,R2878340,Residential,Yes,,$809,19/06/2024,"$680,000",01/05/2024,"$695,000",Apartment/Condominium
63,"313 - 10984 Ravine Road, Surrey, BC",2,1,604 sqft,,1,,2026,R2886373,Residential,Yes,,$960,19/06/2024,"$579,900",20/05/2024,"$579,900",Apartment/Condominium
64,"55 - 12040 68 Avenue, Surrey, BC",4,3,2357 sqft,,2,"$3,371",2005,R2894510,Residential,Yes,,$462,19/06/2024,"$1,068,000",12/06/2024,"$1,089,000",Townhouse
65,"13148 Huntley Avenue, Surrey, BC",5,3,2238 sqft,,4,"$5,634",1973,R2874579,Residential,No,,$692,19/06/2024,"$1,536,000",22/04/2024,"$1,549,000",Single Family Residence
66,"6898 177 Street, Surrey, BC",3,3,2937 sqft,,4,"$5,238",2011,R2890924,Residential,Yes,,$519,18/06/2024,"$1,535,000",03/06/2024,"$1,524,990",Single Family Residence
67,"69 - 8775 161 Street, Surrey, BC",2,1,1022 sqft,,3,"$2,563",2002,R2890795,Residential,Yes,,$683,18/06/2024,"$672,000",04/06/2024,"$698,800",Townhouse
68,"114 - 13933 105 Boulevard, Surrey, BC",2,1,827 sqft,,1,"$2,528",2022,R2885288,Residential,Yes,,$772,18/06/2024,"$620,000",20/05/2024,"$639,000",Apartment/Condominium
69,"41 - 1871 165 A Street, Surrey, BC",3,2,1501 sqft,,2,,2024,R2894773,Residential,Yes,,$732,18/06/2024,"$1,099,900",13/06/2024,"$1,099,900",Townhouse
70,"18936 71 A Avenue, Surrey, BC",5,3,3094 sqft,,4,"$5,064",2004,R2891334,Residential,Yes,,$484,18/06/2024,"$1,485,000",05/06/2024,"$1,499,900",Single Family Residence
