,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
2014,"56 Howard Ave, Burnaby, BC",5,2,2251 sqft,,2,"$4,631",1966,R2819367,Residential,Yes,,$843,03/10/2023,"$1,845,000",25/09/2023,"$1,899,000",Single Family Residence
2015,"1540 - 4825 Hazel St, Burnaby, BC",1,1,920 sqft,,2,"$1,707",1990,R2815471,Residential,Yes,,$683,03/10/2023,"$580,000",11/09/2023,"$629,000",Apartment/Condominium
2016,"12 - 5132 Canada Way, Burnaby, BC",1,1,417 sqft,,1,"$1,136",2018,R2820165,Residential,Yes,,"$1,078",02/10/2023,"$464,800",25/09/2023,"$449,900",Townhouse
2017,"601 - 9298 University Cres, Burnaby, BC",2,2,908 sqft,,2,"$1,545",2005,R2808555,Residential,Yes,,$715,02/10/2023,"$625,400",20/08/2023,"$649,900",Apartment/Condominium
2018,"TH22 - 6438 Byrnepark Dr, Burnaby, BC",4,2,1582 sqft,,2,,2023,R2804366,Residential,Yes,,"$1,048",02/10/2023,"$1,658,000",03/08/2023,"$1,658,000",Townhouse
2019,"3895 Georgia St, Burnaby, BC",5,2,2931 sqft,,4,"$5,504",1969,R2819309,Residential,No,,$739,02/10/2023,"$2,100,000",24/09/2023,"$2,168,000",Single Family Residence
2020,"9007 Lyra Pl, Burnaby, BC",4,1,1818 sqft,,1,"$2,311",1971,R2817081,Residential,No,,$481,02/10/2023,"$860,000",18/09/2023,"$874,900",Townhouse
2021,"211 - 5155 Watling St, Burnaby, BC",2,2,885 sqft,,0,"$1,783",2007,R2819603,Residential,Yes,,$867,02/10/2023,"$771,000",25/09/2023,"$768,000",Townhouse
2022,"103 - 2077 Rosser Ave, Burnaby, BC",2,2,1142 sqft,,1,"$2,772",2013,R2817610,Residential,Yes,,$787,02/10/2023,"$1,008,000",19/09/2023,"$899,000",Apartment/Condominium
2023,"302 - 7655 Edmonds St, Burnaby, BC",2,2,1147 sqft,,1,"$2,052",2010,R2820550,Residential,Yes,,$696,02/10/2023,"$785,000",28/09/2023,"$798,800",Apartment/Condominium
2024,"206 - 7235 Salisbury Ave, Burnaby, BC",2,2,992 sqft,,1,"$1,512",1982,R2819502,Residential,Yes,,$604,02/10/2023,"$600,000",25/09/2023,"$599,900",Apartment/Condominium
2025,"403 - 3833 Evergreen Pl, Burnaby, BC",1,1,561 sqft,,1,,2023,R2814561,Residential,Yes,,"$1,121",02/10/2023,"$612,000",11/09/2023,"$629,000",Apartment/Condominium
2026,"5550 Keith St, Burnaby, BC",4,2,2578 sqft,,1,"$4,788",1955,R2819548,Residential,Yes,,$655,02/10/2023,"$1,651,000",25/09/2023,"$1,688,800",Single Family Residence
2027,"2601 - 4250 Dawson St, Burnaby, BC",3,2,1133 sqft,,2,"$2,616",2008,R2819115,Residential,Yes,,$880,02/10/2023,"$945,000",23/09/2023,"$998,000",Apartment/Condominium
2028,"1401 - 4888 Brentwood Dr, Burnaby, BC",1,1,696 sqft,,1,"$1,616",2008,R2820392,Residential,Yes,,$876,02/10/2023,"$638,000",27/09/2023,"$609,900",Apartment/Condominium
2029,"2801 - 5611 Goring St, Burnaby, BC",2,2,1389 sqft,,2,"$2,946",2008,R2819709,Residential,Yes,,$719,02/10/2023,"$1,088,000",24/09/2023,"$999,900",Apartment/Condominium
2030,"2307 - 6098 Station St, Burnaby, BC",2,2,1012 sqft,,1,"$2,838",2018,R2818503,Residential,Yes,,"$1,154",02/10/2023,"$1,150,000",20/09/2023,"$1,168,800",Apartment/Condominium
2031,"706 - 6538 Nelson Ave, Burnaby, BC",1,1,552 sqft,,1,"$1,638",2017,R2814181,Residential,Yes,,"$1,210",02/10/2023,"$652,000",10/09/2023,"$668,000",Apartment/Condominium
2032,"504 - 2181 Madison Ave, Burnaby, BC",2,2,905 sqft,,1,"$1,847",2023,R2818896,Residential,Yes,,"$1,213",02/10/2023,"$1,075,000",24/09/2023,"$1,098,000",Apartment/Condominium
2033,"PH5 - 7383 Griffiths Dr, Burnaby, BC",1,1,648 sqft,,1,"$1,189",2000,R2819119,Residential,Yes,,$771,02/10/2023,"$530,000",24/09/2023,"$500,000",Apartment/Condominium
2034,"808 - 4300 Mayberry St, Burnaby, BC",2,1,780 sqft,,1,"$1,307",1976,R2813937,Residential,Yes,,$728,01/10/2023,"$568,000",10/09/2023,"$568,000",Apartment/Condominium
