,Unnamed: 0,address,beds,bath,area,maintenance,type,parking,taxes,built,mlsNumber,levels,garage,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice
27,27,"57 - 1140 Falcon Dr, Coquitlam, BC",3.0,2.0,2015 sqft,,Townhouse,4.0,"$2,980",1986.0,R2896931,Residential,Yes,$589,20/06/2024,"$1,188,000",18/06/2024,"$1,188,000"
28,28,"1 - 1203 Cartier Ave, Coquitlam, BC",3.0,1.0,1607 sqft,,Townhouse,0.0,"$2,304",1994.0,R2896995,Residential,Yes,$590,20/06/2024,"$940,000",18/06/2024,"$949,000"
29,29,"209 691 North Rd, Coquitlam, BC",2.0,2.0,744 sqft,,Apartment/Condominium,1.0,"$1,975",2019.0,R2896650,Residential,Yes,$952,20/06/2024,"$703,888",17/06/2024,"$708,800"
30,30,"3185 Bowen Dr, Coquitlam, BC",3.0,2.0,1410 sqft,,Single Family Residence,3.0,"$3,721",1979.0,R2896320,Residential,Yes,"$1,014",20/06/2024,"$1,400,000",17/06/2024,"$1,429,900"
31,31,"105 - 450 Bromley St, Coquitlam, BC",2.0,2.0,811 sqft,,Apartment/Condominium,1.0,"$1,381",1990.0,R2888815,Residential,Yes,$801,19/06/2024,"$650,000",28/05/2024,"$649,900"
32,32,"308 - 545 Foster Ave, Coquitlam, BC",1.0,1.0,628 sqft,,Apartment/Condominium,1.0,"$1,570",2013.0,R2887637,Residential,Yes,$931,19/06/2024,"$570,000",26/05/2024,"$585,000"
33,33,"3502 - 1188 Pinetree Way, Coquitlam, BC",1.0,1.0,576 sqft,,Apartment/Condominium,1.0,"$1,740",2016.0,R2894392,Residential,Yes,"$1,041",19/06/2024,"$595,000",11/06/2024,"$599,900"
34,34,"409 - 3097 Lincoln Ave, Coquitlam, BC",2.0,2.0,916 sqft,,Apartment/Condominium,1.0,"$2,030",2009.0,R2894930,Residential,Yes,$818,19/06/2024,"$755,000",13/06/2024,"$749,900"
35,35,"502 - 545 Austin Ave, Coquitlam, BC",2.0,2.0,1275 sqft,,Apartment/Condominium,1.0,"$2,167",1990.0,R2895454,Residential,Yes,$588,19/06/2024,"$731,000",16/06/2024,"$749,900"
36,36,"143 - 3550 Mcvicar Crt, Coquitlam, BC",2.0,1.0,1262 sqft,,Townhouse,2.0,,2027.0,R2896969,Residential,Yes,$885,18/06/2024,"$1,117,900",17/06/2024,"$1,117,900"
37,37,"8 - 3437 Wilkie Ave, Coquitlam, BC",4.0,3.0,2046 sqft,,Townhouse,2.0,"$3,365",2009.0,R2888778,Residential,Yes,$654,18/06/2024,"$1,323,000",29/05/2024,"$1,339,900"
38,38,"1910 - 525 Foster Ave, Coquitlam, BC",1.0,1.0,575 sqft,,Apartment/Condominium,0.0,"$1,811",2020.0,R2870499,Residential,Yes,"$1,092",18/06/2024,"$611,500",14/04/2024,"$628,000"
39,39,"125 - 2980 Princess Cres, Coquitlam, BC",2.0,2.0,1201 sqft,,Apartment/Condominium,2.0,"$2,177",1994.0,R2890686,Residential,Yes,$557,18/06/2024,"$660,000",03/06/2024,"$669,900"
40,40,"1272 Durant Dr, Coquitlam, BC",5.0,4.0,4038 sqft,,Single Family Residence,2.0,"$5,020",1987.0,R2874027,Residential,Yes,$440,18/06/2024,"$1,745,000",22/04/2024,"$1,780,000"
