,Unnamed: 0,address,beds,bath,area,maintenance,type,parking,taxes,built,mlsNumber,levels,garage,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice
547,547,"2201 - 612 Elmwood St, Coquitlam, BC",1.0,1.0,573 sqft,,Apartment/Condominium,1.0,,2027.0,R2851725,Residential,Yes,"$1,287",19/03/2024,"$737,900",19/02/2024,"$737,900"
548,548,"2605 - 3102 Windsor Gate, Coquitlam, BC",2.0,2.0,942 sqft,,Apartment/Condominium,1.0,"$2,275",2013.0,R2857815,Residential,Yes,$848,19/03/2024,"$799,000",10/03/2024,"$799,000"
549,549,"304 - 2990 Princess Cres, Coquitlam, BC",1.0,1.0,743 sqft,,Apartment/Condominium,1.0,"$1,361",1994.0,R2859251,Residential,Yes,$713,19/03/2024,"$525,000",12/03/2024,"$529,900"
550,550,"205 - 592 Harrison Ave, Coquitlam, BC",1.0,1.0,566 sqft,,Apartment/Condominium,1.0,,2026.0,R2856422,Residential,Yes,"$1,086",19/03/2024,"$615,000",05/03/2024,"$615,000"
551,551,"403 - 511 Rochester Ave, Coquitlam, BC",1.0,1.0,771 sqft,,Apartment/Condominium,1.0,"$1,723",2007.0,R2851223,Residential,Yes,$763,19/03/2024,"$568,000",19/02/2024,"$588,800"
552,552,"308 - 1438 Parkway Blvd, Coquitlam, BC",2.0,2.0,833 sqft,,Apartment/Condominium,2.0,"$1,851",1999.0,R2852589,Residential,Yes,$741,18/03/2024,"$611,000",22/02/2024,"$618,000"
553,553,"702 - 555 Delestre Ave, Coquitlam, BC",2.0,1.0,700 sqft,,Apartment/Condominium,1.0,"$1,668",2008.0,R2859288,Residential,Yes,$827,18/03/2024,"$590,000",11/03/2024,"$579,000"
554,554,"311 - 609 Cottonwood Ave, Coquitlam, BC",2.0,2.0,836 sqft,,Apartment/Condominium,1.0,"$2,056",2017.0,R2859167,Residential,Yes,$895,18/03/2024,"$743,500",12/03/2024,"$749,000"
555,555,"1889 Metcalfe Way, Coquitlam, BC",4.0,3.0,2055 sqft,,Single Family Residence,4.0,"$3,358",1979.0,R2860919,Residential,Yes,$669,18/03/2024,"$1,375,000",17/03/2024,"$1,375,000"
556,556,"1681 Cornell Ave, Coquitlam, BC",8.0,8.0,5491 sqft,,Single Family Residence,6.0,"$4,902",2024.0,R2859786,Residential,Yes,$637,18/03/2024,"$3,440,000",12/03/2024,"$3,499,000"
557,557,"202 - 2925 Glen Dr, Coquitlam, BC",2.0,1.0,807 sqft,,Apartment/Condominium,1.0,"$1,390",1990.0,R2854822,Residential,Yes,$659,18/03/2024,"$525,000",29/02/2024,"$532,000"
558,558,"501 - 707 Como Lake Ave, Coquitlam, BC",1.0,1.0,487 sqft,,Apartment/Condominium,1.0,"$1,550",2020.0,R2857683,Residential,Yes,"$1,026",17/03/2024,"$530,000",10/03/2024,"$499,999"
559,559,"1212 Texada St, Coquitlam, BC",4.0,3.0,2314 sqft,,Single Family Residence,2.0,"$4,276",1980.0,R2858599,Residential,Yes,$626,17/03/2024,"$1,500,000",11/03/2024,"$1,449,800"
560,560,"1306 Flynn Cres, Coquitlam, BC",4.0,3.0,1942 sqft,,Single Family Residence,2.0,"$3,437",1981.0,R2859487,Residential,No,$643,17/03/2024,"$1,220,000",13/03/2024,"$1,249,000"
561,561,"216 - 1177 Howie Ave, Coquitlam, BC",1.0,1.0,580 sqft,,Apartment/Condominium,1.0,"$1,044",1982.0,R2845258,Residential,Yes,$731,17/03/2024,"$405,000",29/01/2024,"$424,500"
562,562,"306 - 708 Edgar Ave, Coquitlam, BC",2.0,2.0,891 sqft,,Apartment/Condominium,1.0,,2024.0,R2855892,Residential,Yes,$896,17/03/2024,"$790,000",04/03/2024,"$799,000"
563,563,"1709 - 2900 Anson Ave, Coquitlam, BC",2.0,2.0,635 sqft,,Apartment/Condominium,1.0,,2028.0,R2861440,Residential,Yes,"$1,259",17/03/2024,"$799,800",15/03/2024,"$799,800"
564,564,"1708 - 2980 Atlantic Ave, Coquitlam, BC",1.0,1.0,573 sqft,,Apartment/Condominium,1.0,"$1,576",2009.0,R2859083,Residential,Yes,$872,17/03/2024,"$551,000",12/03/2024,"$499,800"
565,565,"1741 Regan Ave, Coquitlam, BC",4.0,1.0,2114 sqft,,Single Family Residence,4.0,"$4,801",1960.0,R2860138,Residential,No,$709,,,,
566,566,"407 - 618 Como Lake Ave, Coquitlam, BC",1.0,1.0,789 sqft,,Apartment/Condominium,1.0,"$1,983",2013.0,R2858036,Residential,Yes,$847,17/03/2024,"$672,000",09/03/2024,"$669,000"
567,567,"107 - 3176 Plateau Blvd, Coquitlam, BC",2.0,2.0,953 sqft,,Apartment/Condominium,2.0,"$1,537",1998.0,R2856467,Residential,Yes,$702,17/03/2024,"$650,000",05/03/2024,"$669,900"
568,568,"2268 Leclair Dr, Coquitlam, BC",6.0,3.0,5358 sqft,,Single Family Residence,8.0,,1990.0,R2845849,Residential,Yes,$466,16/03/2024,"$2,378,276",04/02/2024,"$2,499,000"
569,569,"304 - 707 Como Lake Ave, Coquitlam, BC",2.0,2.0,855 sqft,,Apartment/Condominium,2.0,"$2,347",2020.0,R2859012,Residential,No,$817,16/03/2024,"$700,000",11/03/2024,"$699,000"
570,570,"123 - 1306 Laval Sq, Coquitlam, BC",3.0,2.0,1353 sqft,,Townhouse,2.0,,2024.0,R2854790,Residential,Yes,$811,16/03/2024,"$1,080,000",29/02/2024,"$1,098,000"
571,571,"1708 - 3080 Lincoln Ave, Coquitlam, BC",2.0,2.0,875 sqft,,Apartment/Condominium,1.0,"$2,193",2016.0,R2856988,Residential,Yes,$857,16/03/2024,"$741,000",03/03/2024,"$749,880"
572,572,"702 - 1185 The High St, Coquitlam, BC",2.0,1.0,723 sqft,,Apartment/Condominium,1.0,"$2,634",2009.0,R2855927,Residential,Yes,$929,16/03/2024,"$670,000",04/03/2024,"$672,000"
573,573,"311 - 1209 Howie Ave, Coquitlam, BC",1.0,1.0,554 sqft,,Apartment/Condominium,1.0,"$1,069",1979.0,R2855993,Residential,Yes,$722,15/03/2024,"$366,000",03/03/2024,"$399,999"
574,574,"112 - 535 Blue Mountain St, Coquitlam, BC",2.0,1.0,746 sqft,,Apartment/Condominium,1.0,"$1,311",1975.0,R2846915,Residential,Yes,$749,15/03/2024,"$555,000",04/02/2024,"$559,000"
575,575,"1402 - 628 Whiting Way, Coquitlam, BC",1.0,1.0,549 sqft,,Apartment/Condominium,1.0,,2026.0,R2859558,Residential,No,"$1,223",15/03/2024,"$671,900",11/03/2024,"$671,900"
576,576,"13 - 1200 Brunette Ave, Coquitlam, BC",3.0,2.0,1510 sqft,,Townhouse,2.0,"$2,334",1989.0,R2856478,Residential,Yes,$595,14/03/2024,"$880,888",04/03/2024,"$899,000"
577,577,"3002 - 2900 Anson Ave, Coquitlam, BC",2.0,2.0,893 sqft,,Apartment/Condominium,1.0,,2028.0,R2859655,Residential,Yes,"$1,097",13/03/2024,"$979,800",12/03/2024,"$979,800"
578,578,"203 - 545 Austin Ave, Coquitlam, BC",2.0,2.0,1139 sqft,,Apartment/Condominium,1.0,"$1,988",1989.0,R2858773,Residential,Yes,$658,13/03/2024,"$800,000",11/03/2024,"$749,900"
579,579,"309 - 1050 Howie Ave, Coquitlam, BC",2.0,2.0,904 sqft,,Apartment/Condominium,2.0,"$1,491",1982.0,R2848818,Residential,Yes,$661,13/03/2024,"$577,000",11/02/2024,"$598,000"
580,580,"3202 - 2980 Atlantic Ave, Coquitlam, BC",2.0,2.0,985 sqft,,Apartment/Condominium,1.0,"$3,099",2010.0,R2827843,Residential,Yes,$881,13/03/2024,"$850,000",24/10/2023,"$868,000"
581,581,"1306 - 901 Lougheed Highway, Coquitlam, BC",2.0,1.0,705 sqft,,Apartment/Condominium,1.0,,2023.0,R2855785,Residential,Yes,$948,13/03/2024,"$658,000",03/03/2024,"$668,800"
582,582,"806 - 1178 Heffley Cres, Coquitlam, BC",1.0,1.0,610 sqft,,Apartment/Condominium,1.0,"$1,397",2008.0,R2856205,Residential,Yes,$947,12/03/2024,"$563,000",04/03/2024,"$578,000"
583,583,"117 - 678 Fairview St, Coquitlam, BC",3.0,2.0,1713 sqft,,Townhouse,2.0,,2023.0,R2855525,Residential,Yes,$810,12/03/2024,"$1,379,000",03/03/2024,"$1,389,000"
584,584,"2856 Stanley Pl, Coquitlam, BC",7.0,4.0,3425 sqft,,Single Family Residence,2.0,"$5,108",1993.0,R2851653,Residential,Yes,$579,12/03/2024,"$1,940,000",20/02/2024,"$1,985,000"
585,585,"1210 Thomas Ave, Coquitlam, BC",4.0,2.0,1583 sqft,,Single Family Residence,2.0,"$4,452",1936.0,R2857688,Residential,No,$852,12/03/2024,"$1,350,000",07/03/2024,"$1,350,000"
586,586,"2152 Turnberry Lane, Coquitlam, BC",4.0,3.0,3402 sqft,,Single Family Residence,4.0,"$4,883",2000.0,R2833657,Residential,Yes,$546,11/03/2024,"$1,810,000",19/11/2023,"$1,860,000"
587,587,"48 - 1295 Soball St, Coquitlam, BC",3.0,2.0,1474 sqft,,Townhouse,3.0,"$2,986",2012.0,R2858760,Residential,Yes,$718,11/03/2024,"$1,080,000",11/03/2024,"$1,059,000"
588,588,"317 - 1219 Johnson St, Coquitlam, BC",2.0,2.0,1069 sqft,,Apartment/Condominium,2.0,"$1,772",1991.0,R2857084,Residential,Yes,$579,11/03/2024,"$639,000",06/03/2024,"$619,900"
589,589,"1511 Dayton St, Coquitlam, BC",4.0,3.0,3886 sqft,,Single Family Residence,4.0,"$6,165",2013.0,R2856177,Residential,Yes,$582,11/03/2024,"$2,235,000",03/03/2024,"$2,263,000"
590,590,"2982 Forestridge Pl, Coquitlam, BC",9.0,5.0,5293 sqft,,Single Family Residence,5.0,"$7,706",1999.0,R2848655,Residential,Yes,$545,11/03/2024,"$2,700,000",05/02/2024,"$2,888,000"
591,591,"3474 Stephens Crt, Coquitlam, BC",6.0,3.0,3604 sqft,,Single Family Residence,4.0,"$5,428",2012.0,R2855280,Residential,Yes,$610,11/03/2024,"$2,175,000",03/03/2024,"$2,199,900"
592,592,"2702 - 570 Emerson St, Coquitlam, BC",2.0,1.0,760 sqft,,Apartment/Condominium,2.0,"$2,200",2017.0,R2855430,Residential,Yes,$919,11/03/2024,"$741,000",03/03/2024,"$699,000"
593,593,"128 - 3458 Promenade Burke Village, Coquitlam, BC",2.0,3.0,2302 sqft,,Townhouse,4.0,"$3,956",2013.0,R2844039,Residential,Yes,$662,11/03/2024,"$1,455,000",22/01/2024,"$1,525,000"
594,594,"303 - 1150 Kensal Pl, Coquitlam, BC",2.0,2.0,818 sqft,,Apartment/Condominium,1.0,"$1,965",2012.0,R2851050,Residential,Yes,$878,11/03/2024,"$707,000",18/02/2024,"$719,000"
595,595,"1902 - 602 Como Lake Ave, Coquitlam, BC",2.0,2.0,828 sqft,,Apartment/Condominium,1.0,"$2,288",2017.0,R2855857,Residential,Yes,$899,11/03/2024,"$753,500",03/03/2024,"$745,000"
596,596,"702 Blue Mountain St, Coquitlam, BC",3.0,1.0,2142 sqft,,Single Family Residence,5.0,"$4,178",1962.0,R2857792,Residential,Yes,$746,11/03/2024,"$1,638,000",10/03/2024,"$1,600,000"
597,597,"443 - 3098 Guildford Way, Coquitlam, BC",2.0,2.0,1341 sqft,,Apartment/Condominium,2.0,"$2,059",1995.0,R2857638,Residential,Yes,$540,11/03/2024,"$775,000",10/03/2024,"$724,900"
598,598,"2901 - 652 Whiting Way, Coquitlam, BC",2.0,2.0,1234 sqft,,Apartment/Condominium,2.0,"$4,142",2020.0,R2839748,Residential,Yes,"$1,052",11/03/2024,"$1,250,000",07/01/2024,"$1,299,000"
599,599,"1303 - 585 Austin Ave, Coquitlam, BC",3.0,2.0,1180 sqft,,Apartment/Condominium,1.0,,2022.0,R2855041,Residential,Yes,$974,11/03/2024,"$1,130,000",03/03/2024,"$1,150,000"
600,600,"409 - 2957 Glen Dr, Coquitlam, BC",2.0,2.0,830 sqft,,Apartment/Condominium,1.0,"$1,818",2011.0,R2856144,Residential,Yes,$809,11/03/2024,"$668,500",04/03/2024,"$672,000"
601,601,"38 - 1295 Soball St, Coquitlam, BC",3.0,2.0,1483 sqft,,Townhouse,3.0,"$2,963",2012.0,R2855986,Residential,Yes,$673,11/03/2024,"$1,040,000",04/03/2024,"$999,000"
602,602,"1334 Cooper Crt, Coquitlam, BC",6.0,3.0,3884 sqft,,Single Family Residence,4.0,"$3,751",2014.0,R2856120,Residential,Yes,$540,11/03/2024,"$2,120,000",03/03/2024,"$2,098,900"
603,603,"1270 Charter Hill Dr, Coquitlam, BC",4.0,2.0,2232 sqft,,Single Family Residence,2.0,"$4,328",1980.0,R2856672,Residential,Yes,$715,10/03/2024,"$1,538,000",05/03/2024,"$1,598,000"
604,604,"1108 - 3008 Glen Dr, Coquitlam, BC",1.0,1.0,612 sqft,,Apartment/Condominium,1.0,"$1,609",2013.0,R2853316,Residential,Yes,$978,10/03/2024,"$590,000",26/02/2024,"$599,000"
605,605,"1306 - 1199 Eastwood St, Coquitlam, BC",2.0,2.0,1240 sqft,,Apartment/Condominium,1.0,"$2,262",1996.0,R2855558,Residential,Yes,$604,10/03/2024,"$755,000",03/03/2024,"$750,000"
606,606,"1901 - 2900 Anson Ave, Coquitlam, BC",2.0,2.0,678 sqft,,Apartment/Condominium,1.0,,2028.0,R2856377,Residential,Yes,"$1,194",10/03/2024,"$809,800",04/03/2024,"$809,800"
607,607,"3005 - 318 Alderson Ave, Coquitlam, BC",1.0,1.0,522 sqft,,Apartment/Condominium,1.0,,2024.0,R2859274,Residential,Yes,"$1,149",10/03/2024,"$599,900",10/03/2024,"$599,900"
608,608,"304 - 2915 Glen Dr, Coquitlam, BC",2.0,1.0,977 sqft,,Apartment/Condominium,1.0,"$1,759",1990.0,R2856678,Residential,Yes,$665,10/03/2024,"$645,000",05/03/2024,"$649,900"
609,609,"9 - 2880 Dacre Ave, Coquitlam, BC",3.0,1.0,1505 sqft,,Townhouse,2.0,"$2,274",1978.0,R2854056,Residential,No,$598,10/03/2024,"$850,000",29/02/2024,"$899,999"
610,610,"203 - 1199 Eastwood St, Coquitlam, BC",3.0,2.0,1343 sqft,,Apartment/Condominium,1.0,"$2,252",1996.0,R2855185,Residential,Yes,$577,10/03/2024,"$765,000",03/03/2024,"$775,000"
611,611,"805 Fowler Crt, Coquitlam, BC",5.0,3.0,3573 sqft,,Single Family Residence,4.0,"$5,245",1995.0,R2855093,Residential,Yes,$528,10/03/2024,"$2,195,000",03/03/2024,"$1,888,000"
612,612,"124 - 1460 Southview St, Coquitlam, BC",3.0,2.0,1437 sqft,,Townhouse,3.0,"$2,839",2011.0,R2856349,Residential,Yes,$695,10/03/2024,"$999,999",03/03/2024,"$999,900"
613,613,"420 - 1185 Pacific St, Coquitlam, BC",1.0,1.0,834 sqft,,Apartment/Condominium,1.0,"$1,589",1997.0,R2856798,Residential,Yes,$705,09/03/2024,"$580,000",06/03/2024,"$588,000"
614,614,"19 - 1219 Burke Mountain St, Coquitlam, BC",4.0,3.0,1641 sqft,,Townhouse,4.0,"$2,990",2014.0,R2830951,Residential,Yes,$700,09/03/2024,"$1,100,000",06/11/2023,"$1,149,000"
615,615,"507 - 555 Delestre Ave, Coquitlam, BC",1.0,1.0,450 sqft,,Apartment/Condominium,1.0,"$1,319",2008.0,R2837083,Residential,Yes,"$1,088",09/03/2024,"$458,000",10/12/2023,"$489,900"
616,616,"108 - 750 Dogwood St, Coquitlam, BC",1.0,1.0,620 sqft,,Apartment/Condominium,1.0,"$1,924",2022.0,R2852754,Residential,Yes,$967,09/03/2024,"$587,000",25/02/2024,"$599,900"
617,617,"405 - 3065 Primrose Lane, Coquitlam, BC",2.0,1.0,848 sqft,,Apartment/Condominium,1.0,"$1,478",1993.0,R2855715,Residential,Yes,$694,08/03/2024,"$587,000",03/03/2024,"$588,900"
618,618,"15 - 1245 Holtby St, Coquitlam, BC",3.0,3.0,1444 sqft,,Townhouse,2.0,"$2,666",2010.0,R2855735,Residential,Yes,$682,08/03/2024,"$985,000",02/03/2024,"$985,000"
619,619,"102 - 604 Madore Ave, Coquitlam, BC",1.0,1.0,568 sqft,,Townhouse,1.0,,2026.0,R2842460,Residential,Yes,"$1,064",08/03/2024,"$604,900",14/01/2024,"$604,900"
620,620,"202 - 3178 Dayanee Springs Blvd, Coquitlam, BC",2.0,2.0,828 sqft,,Apartment/Condominium,2.0,"$1,844",2013.0,R2852180,Residential,Yes,$856,07/03/2024,"$719,000",20/02/2024,"$709,000"
621,621,"23 - 270 Casey St, Coquitlam, BC",2.0,2.0,1189 sqft,,Townhouse,2.0,"$2,237",1994.0,R2857047,Residential,Yes,$639,07/03/2024,"$735,000",05/03/2024,"$759,900"
622,622,"40 - 1125 Kensal Pl, Coquitlam, BC",3.0,2.0,1682 sqft,,Townhouse,3.0,"$3,127",2010.0,R2856173,Residential,Yes,$737,07/03/2024,"$1,240,000",04/03/2024,"$1,239,990"
623,623,"2520 Sapphire Pl, Coquitlam, BC",5.0,3.0,2438 sqft,,Single Family Residence,7.0,"$4,811",1995.0,R2854278,Residential,Yes,$778,07/03/2024,"$1,955,000",27/02/2024,"$1,899,000"
624,624,"1439 Collins Rd, Coquitlam, BC",4.0,2.0,1807 sqft,,Multi Family,1.0,"$3,264",2009.0,R2855480,Residential,Yes,$691,07/03/2024,"$1,249,000",29/02/2024,"$1,249,000"
625,625,"1501 - 585 Austin Ave, Coquitlam, BC",2.0,2.0,914 sqft,,Apartment/Condominium,1.0,"$2,785",2022.0,R2832902,Residential,Yes,"$1,135",07/03/2024,"$968,000",15/11/2023,"$1,038,000"
626,626,"515 Appian Way, Coquitlam, BC",4.0,2.0,2600 sqft,,Single Family Residence,5.0,"$6,029",1960.0,R2855249,Residential,No,$980,07/03/2024,"$2,468,000",29/02/2024,"$2,550,000"
627,627,"316 - 3082 Dayanee Springs Blvd, Coquitlam, BC",2.0,2.0,961 sqft,,Apartment/Condominium,1.0,"$2,030",2009.0,R2844671,Residential,Yes,$800,,,,
628,628,"1317 Lemax Ave, Coquitlam, BC",8.0,7.0,6010 sqft,,Single Family Residence,12.0,"$8,698",2016.0,R2839485,Residential,Yes,$548,06/03/2024,"$3,255,000",03/01/2024,"$3,299,000"
629,629,"310 - 2995 Princess Cres, Coquitlam, BC",2.0,2.0,1024 sqft,,Apartment/Condominium,1.0,"$1,593",1993.0,R2851388,Residential,Yes,$683,06/03/2024,"$687,000",19/02/2024,"$699,900"
630,630,"214 - 1152 Windsor Mews, Coquitlam, BC",2.0,2.0,1192 sqft,,Apartment/Condominium,1.0,"$2,124",2016.0,R2831101,Residential,Yes,$753,06/03/2024,"$893,000",05/11/2023,"$898,000"
631,631,"314 - 611 Regan Ave, Coquitlam, BC",1.0,1.0,629 sqft,,Apartment/Condominium,1.0,"$1,720",2015.0,R2855324,Residential,Yes,$952,06/03/2024,"$601,000",03/03/2024,"$599,000"
632,632,"757 Foster Ave, Coquitlam, BC",8.0,7.0,4859 sqft,,Single Family Residence,6.0,"$7,082",2020.0,R2846104,Residential,Yes,$617,05/03/2024,"$2,850,000",31/01/2024,"$2,999,800"
633,633,"302 - 1200 Pacific St, Coquitlam, BC",2.0,1.0,976 sqft,,Apartment/Condominium,1.0,"$1,633",1984.0,R2853207,Residential,Yes,$532,05/03/2024,"$514,999",25/02/2024,"$519,999"
634,634,"117 - 707 Robinson St, Coquitlam, BC",3.0,2.0,1309 sqft,,Townhouse,2.0,,2023.0,R2853154,Residential,Yes,$992,05/03/2024,"$1,263,000",22/02/2024,"$1,298,800"
635,635,"201 - 553 Foster Ave, Coquitlam, BC",2.0,2.0,1042 sqft,,Apartment/Condominium,1.0,"$2,434",2013.0,R2855215,Residential,Yes,$794,05/03/2024,"$808,000",03/03/2024,"$828,000"
636,636,"1345 Brisbane Ave, Coquitlam, BC",7.0,6.0,5823 sqft,,Single Family Residence,8.0,"$8,760",2018.0,R2852676,Residential,Yes,$558,04/03/2024,"$3,150,000",25/02/2024,"$3,250,000"
637,637,"302 - 738 Farrow St, Coquitlam, BC",2.0,2.0,1196 sqft,,Apartment/Condominium,1.0,"$2,046",1991.0,R2851901,Residential,Yes,$584,04/03/2024,"$710,000",20/02/2024,"$699,000"
638,638,"1208 - 901 Lougheed Highway, Coquitlam, BC",0.0,1.0,358 sqft,,Apartment/Condominium,0.0,,2023.0,R2847951,Residential,No,"$1,144",04/03/2024,"$408,888",05/02/2024,"$409,888"
639,639,"117 - 548 Foster Ave, Coquitlam, BC",3.0,3.0,1248 sqft,,Townhouse,0.0,"$3,176",2015.0,R2853882,Residential,Yes,$901,04/03/2024,"$1,080,000",27/02/2024,"$1,125,000"
640,640,"105 - 3107 Windsor Gate, Coquitlam, BC",2.0,2.0,907 sqft,,Apartment/Condominium,1.0,"$2,071",2015.0,R2853847,Residential,Yes,$868,04/03/2024,"$797,500",26/02/2024,"$788,000"
641,641,"2705 - 318 Alderson Ave, Coquitlam, BC",1.0,1.0,522 sqft,,Apartment/Condominium,1.0,,2024.0,R2856693,Residential,Yes,"$1,120",04/03/2024,"$584,900",04/03/2024,"$584,900"
642,642,"904 - 551 Austin Ave, Coquitlam, BC",2.0,2.0,1285 sqft,,Apartment/Condominium,1.0,"$2,177",1992.0,R2852740,Residential,Yes,$645,04/03/2024,"$835,000",25/02/2024,"$829,000"
643,643,"3604 - 567 Clarke Rd, Coquitlam, BC",2.0,2.0,887 sqft,,Apartment/Condominium,1.0,"$2,118",2021.0,R2850336,Residential,Yes,"$1,012",04/03/2024,"$880,000",14/02/2024,"$898,000"
644,644,"2902 Keets Dr, Coquitlam, BC",6.0,3.0,3289 sqft,,Single Family Residence,8.0,"$5,294",1997.0,R2852837,Residential,Yes,$638,04/03/2024,"$2,099,000",25/02/2024,"$2,099,000"
645,645,"9 - 561 Shaw Ave, Coquitlam, BC",3.0,1.0,1600 sqft,,Townhouse,2.0,"$2,189",1986.0,R2853552,Residential,No,$555,04/03/2024,"$887,500",26/02/2024,"$888,000"
646,646,"4 - 1299 Coast Meridian Rd, Coquitlam, BC",4.0,3.0,1985 sqft,,Townhouse,2.0,"$3,303",2012.0,R2853180,Residential,Yes,$588,03/03/2024,"$1,138,000",25/02/2024,"$1,168,000"
647,647,"702 Lomond St, Coquitlam, BC",3.0,2.0,2126 sqft,,Single Family Residence,0.0,"$5,215",1959.0,R2853082,Residential,Yes,$752,03/03/2024,"$1,675,000",25/02/2024,"$1,599,000"
648,648,"1007 - 3102 Windsor Gate, Coquitlam, BC",2.0,2.0,1002 sqft,,Apartment/Condominium,1.0,"$2,369",2013.0,R2854365,Residential,Yes,$868,02/03/2024,"$861,000",29/02/2024,"$869,900"
649,649,"1212 Tilston Crt, Coquitlam, BC",3.0,2.0,1732 sqft,,Single Family Residence,3.0,"$5,400",1959.0,R2853660,Residential,No,$972,02/03/2024,"$1,705,000",24/02/2024,"$1,685,000"
650,650,"1701 - 450 Westview St, Coquitlam, BC",1.0,1.0,632 sqft,,Apartment/Condominium,1.0,"$1,909",2021.0,R2839415,Residential,Yes,"$1,099",02/03/2024,"$695,000",02/01/2024,"$695,000"
651,651,"5 - 145 King Edward St, Coquitlam, BC",2.0,2.0,1570 sqft,,Manufactured Home,3.0,$898,1983.0,R2829274,Residential,No,$317,02/03/2024,"$499,000",29/10/2023,"$499,000"
652,652,"2101 - 901 Lougheed Highway, Coquitlam, BC",2.0,2.0,720 sqft,,Apartment/Condominium,1.0,,2023.0,R2843435,Residential,Yes,"$1,069",02/03/2024,"$749,999",21/01/2024,"$769,900"
653,653,"604 - 2980 Atlantic Ave, Coquitlam, BC",1.0,1.0,558 sqft,,Apartment/Condominium,1.0,"$1,439",2009.0,R2853972,Residential,Yes,$983,02/03/2024,"$525,000",26/02/2024,"$549,000"
654,654,"2104 - 570 Emerson St, Coquitlam, BC",2.0,1.0,776 sqft,,Apartment/Condominium,1.0,"$2,259",2017.0,R2852902,Residential,Yes,$900,01/03/2024,"$718,000",25/02/2024,"$699,000"
655,655,"139 - 3098 Guildford Way, Coquitlam, BC",2.0,2.0,1085 sqft,,Apartment/Condominium,1.0,"$1,906",1996.0,R2851533,Residential,Yes,$663,01/03/2024,"$715,000",20/02/2024,"$720,000"
656,656,"108 - 708 Edgar Ave, Coquitlam, BC",3.0,2.0,1201 sqft,,Apartment/Condominium,1.0,,2024.0,R2854737,Residential,Yes,$864,01/03/2024,"$1,015,000",29/02/2024,"$1,038,000"
657,657,"835 Cottonwood Ave, Coquitlam, BC",7.0,4.0,3605 sqft,,Single Family Residence,4.0,"$6,282",2006.0,R2853134,Residential,Yes,$634,,,,
658,658,"3578 Sheffield Ave, Coquitlam, BC",4.0,3.0,3686 sqft,,Single Family Residence,4.0,"$7,312",2018.0,R2854255,Residential,Yes,$729,01/03/2024,"$2,688,000",26/02/2024,"$2,688,000"
659,659,"126 - 707 Robinson St, Coquitlam, BC",3.0,2.0,1389 sqft,,Townhouse,2.0,,2023.0,R2846629,Residential,Yes,$914,29/02/2024,"$1,269,900",29/01/2024,"$1,269,900"
660,660,"2231 Kaptey Ave, Coquitlam, BC",7.0,4.0,4151 sqft,,Single Family Residence,4.0,"$4,638",1991.0,R2851127,Residential,Yes,$385,29/02/2024,"$1,620,000",18/02/2024,"$1,599,900"
661,661,"704 - 7683 Park Cres, Coquitlam, BC",2.0,2.0,881 sqft,,Apartment/Condominium,1.0,,2024.0,R2847257,Residential,Yes,$998,28/02/2024,"$881,000",04/02/2024,"$879,900"
662,662,"1206 - 518 Whiting Way, Coquitlam, BC",2.0,2.0,905 sqft,,Apartment/Condominium,2.0,,2018.0,R2849026,Residential,Yes,$955,28/02/2024,"$835,000",06/02/2024,"$865,000"
663,663,"2008 - 595 Austin Ave, Coquitlam, BC",2.0,2.0,910 sqft,,Apartment/Condominium,1.0,,2022.0,R2835465,Residential,Yes,"$1,153",27/02/2024,"$980,000",28/11/2023,"$1,049,999"
664,664,"1462 Strawline Hill St, Coquitlam, BC",5.0,4.0,5089 sqft,,Single Family Residence,0.0,"$8,145",2016.0,R2793109,Residential,Yes,$519,27/02/2024,"$2,490,000",26/06/2023,"$2,646,000"
665,665,"308 - 2998 Silver Springs Blvd, Coquitlam, BC",2.0,2.0,840 sqft,,Apartment/Condominium,1.0,"$1,863",2004.0,R2847252,Residential,Yes,$773,27/02/2024,"$625,000",05/02/2024,"$649,900"
666,666,"1702 - 3008 Glen Dr, Coquitlam, BC",2.0,2.0,850 sqft,,Apartment/Condominium,1.0,"$2,063",2013.0,R2849951,Residential,Yes,$880,27/02/2024,"$730,000",13/02/2024,"$748,000"
667,667,"609 - 460 Westview St, Coquitlam, BC",2.0,1.0,873 sqft,,Apartment/Condominium,1.0,"$1,580",1983.0,R2847723,Residential,Yes,$709,27/02/2024,"$610,000",05/02/2024,"$619,000"
668,668,"114 - 1195 Pipeline Rd, Coquitlam, BC",2.0,1.0,855 sqft,,Apartment/Condominium,1.0,"$1,411",1983.0,R2851850,Residential,Yes,$684,27/02/2024,"$605,000",20/02/2024,"$585,000"
669,669,"504 - 1148 Heffley Cres, Coquitlam, BC",1.0,1.0,618 sqft,,Apartment/Condominium,1.0,"$1,240",1999.0,R2853555,Residential,Yes,$726,-,Not Sold Yet,02/07/2024,"$525,000"
670,670,"108 - 528 Foster Ave, Coquitlam, BC",3.0,3.0,1245 sqft,,Townhouse,1.0,"$3,188",2015.0,R2850380,Residential,Yes,$802,26/02/2024,"$1,080,000",14/02/2024,"$999,000"
671,671,"70 - 1561 Booth Ave, Coquitlam, BC",2.0,1.0,953 sqft,,Townhouse,1.0,"$1,815",1997.0,R2852915,Residential,Yes,$681,26/02/2024,"$650,000",25/02/2024,"$649,900"
