mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice
R2905543,1,1,"1441 Johnston Rd, White Rock, BC, Canada",566.0,1,2380.0,1051.0,2020,Condo,14/07/2024,595000.0
R2905737,2,2,"1420 Johnston Rd, White Rock, BC, Canada",1370.0,2,6903.0,1305.0,2013,Condo,14/07/2024,1789000.0
R2903235,2,2,"1221 Johnston Rd, White Rock, BC, Canada",2107.0,2,5291.0,806.0,1994,Condo,11/07/2024,1699000.0
R2905324,4,2,"15836 Russell Ave, White Rock, BC, Canada",2042.0,3,5746.0,685.0,1969,SingleFamily,14/07/2024,1399000.0
R2905684,8,6,"13915 Blackburn Ave, White Rock, BC, Canada",6146.0,0,6561.0,561.0,2024,SingleFamily,10/07/2024,3450000.0
R2905422,3,2,"1588 Johnston Rd, White Rock, BC, Canada",1023.0,2,2500.0,977.0,2024,Condo,11/07/2024,999900.0
R2905742,4,3,"15135 Royal Ave, White Rock, BC, Canada",3962.0,2,9455.0,984.0,1992,SingleFamily,14/07/2024,3900000.0
R2901886,2,2,"1520 Vidal St, White Rock, BC, Canada",1172.0,1,2244.0,511.0,1981,Condo,02/07/2024,599999.0
R2902192,1,1,"1355 Fir St, White Rock, BC, Canada",850.0,1,1612.0,505.0,1970,Condo,03/07/2024,429900.0
R2901794,4,3,"14256 Park Ave, White Rock, BC, Canada",2409.0,0,7226.0,705.0,1971,SingleFamily,03/07/2024,1699000.0
R2901558,2,2,"14825 Thrift Ave, White Rock, BC, Canada",1513.0,2,5443.0,988.0,2021,Condo,03/07/2024,1495000.0
R2900084,8,7,"15671 Roper Ave, White Rock, BC, Canada",6059.0,4,14016.0,550.0,2022,SingleFamily,03/07/2024,3333000.0
R2902671,2,2,"1501 Vidal St, White Rock, BC, Canada",1289.0,3,5143.0,1229.0,2017,Condo,04/07/2024,1585000.0
R2902461,6,6,"13922 Terry Rd, White Rock, BC, Canada",6832.0,5,33437.0,831.0,2004,SingleFamily,03/07/2024,5680000.0
R2901895,2,2,"1521 Blackwood St, White Rock, BC, Canada",1131.0,1,2068.0,467.0,1981,Condo,03/07/2024,529000.0
R2900056,2,1,"15855 Vine Ave, White Rock, BC, Canada",1060.0,0,5580.0,1320.0,1972,SingleFamily,27/06/2024,1400000.0
R2900237,2,2,"1360 Martin St, White Rock, BC, Canada",914.0,1,1871.0,546.0,1973,Condo,27/06/2024,499900.0
R2899759,4,3,"14810 Prospect Ave, White Rock, BC, Canada",3000.0,3,11532.0,1096.0,1979,SingleFamily,27/06/2024,3289000.0
R2899968,2,2,"1349 Oxford St, White Rock, BC, Canada",1584.0,4,8006.0,1136.0,1975,SingleFamily,27/06/2024,1799900.0
R2900305,2,2,"1400 George St, White Rock, BC, Canada",1084.0,1,1765.0,552.0,1990,Condo,27/06/2024,599000.0
R2900126,5,3,"925 Kent St, White Rock, BC, Canada",3769.0,4,8316.0,530.0,2001,SingleFamily,27/06/2024,1999899.0
R2898611,1,1,"15025 Victoria Ave, White Rock, BC, Canada",985.0,1,3121.0,761.0,1986,Condo,27/06/2024,749900.0
R2898011,7,7,"14799 Oxenham Ave, White Rock, BC, Canada",4577.0,0,6332.0,762.0,2024,SingleFamily,27/06/2024,3488000.0
R2897761,4,5,"1255 Kent St, White Rock, BC, Canada",4913.0,4,7547.0,893.0,2023,SingleFamily,20/06/2024,4388000.0
R2899558,1,1,"1441 Johnston Rd, White Rock, BC, Canada",550.0,1,2435.0,1160.0,2020,Condo,23/06/2024,638000.0
R2898066,6,2,"1041 Kent St, White Rock, BC, Canada",2821.0,0,7593.0,619.0,1969,SingleFamily,23/06/2024,1749000.0
R2897421,6,4,"15438 Goggs Ave, White Rock, BC, Canada",2656.0,4,4825.0,695.0,2024,SingleFamily,23/06/2024,1848000.0
R2900190,4,3,"1154 Finlay St, White Rock, BC, Canada",2263.0,8,8700.0,994.0,1947,SingleFamily,20/06/2024,2249999.0
R2898298,2,2,"15152 Russell Ave, White Rock, BC, Canada",937.0,1,3125.0,779.0,2009,Condo,23/06/2024,729999.0
R2898086,3,2,"1587 Stayte Rd, White Rock, BC, Canada",1839.0,7,5500.0,761.0,1972,SingleFamily,23/06/2024,1399800.0
R2898484,2,2,"15165 Thrift Ave, White Rock, BC, Canada",1083.0,2,4341.0,1004.0,2020,Townhouse,23/06/2024,1088000.0
R2895262,3,2,"913 Stevens St, White Rock, BC, Canada",2342.0,8,6154.0,768.0,1991,SingleFamily,16/06/2024,1799000.0
R2895307,4,3,"13755 Blackburn Ave, White Rock, BC, Canada",2731.0,5,7349.0,714.0,1967,SingleFamily,16/06/2024,1950000.0
R2895304,3,3,"14824 N Bluff Rd, White Rock, BC, Canada",2959.0,3,13404.0,1311.0,2007,Condo,16/06/2024,3880000.0
R2895384,4,2,"13728 Blackburn Ave, White Rock, BC, Canada",2103.0,5,6742.0,759.0,1973,SingleFamily,16/06/2024,1598000.0
R2895647,2,2,"1150 Oxford St, White Rock, BC, Canada",1264.0,2,4327.0,1018.0,2017,Condo,16/06/2024,1288000.0
R2895741,2,1,"1555 Fir St, White Rock, BC, Canada",950.0,1,1906.0,594.0,1973,Condo,16/06/2024,565000.0
R2895674,2,2,"15015 Victoria Ave, White Rock, BC, Canada",1079.0,1,3763.0,925.0,1987,Condo,16/06/2024,999000.0
R2896269,3,2,"15165 Thrift Ave, White Rock, BC, Canada",1259.0,2,3961.0,1016.0,2020,Condo,16/06/2024,1279900.0
R2892884,6,4,"15438 Oxenham Ave, White Rock, BC, Canada",4533.0,6,9617.0,564.0,2013,SingleFamily,08/06/2024,2560000.0
R2891740,3,1,"15883 Vine Ave, White Rock, BC, Canada",1789.0,3,5775.0,837.0,1969,SingleFamily,06/06/2024,1499000.0
R2892363,2,2,"15809 Marine Dr, White Rock, BC, Canada",1276.0,2,3255.0,610.0,1992,Condo,09/06/2024,779000.0
R2892495,2,2,"1400 George St, White Rock, BC, Canada",1178.0,1,2221.0,483.0,1990,Condo,09/06/2024,569900.0
R2892303,1,1,"15020 N Bluff Rd, White Rock, BC, Canada",731.0,1,707.0,530.0,1974,Condo,08/06/2024,388000.0
R2892618,1,1,"1441 Johnston Rd, White Rock, BC, Canada",566.0,1,2468.0,1058.0,2020,Condo,09/06/2024,599000.0
R2891931,2,2,"15080 Prospect Ave, White Rock, BC, Canada",1111.0,1,2353.0,592.0,1985,Condo,06/06/2024,658800.0
R2892713,6,5,"1351 Kerfoot Rd, White Rock, BC, Canada",6026.0,5,15156.0,694.0,2015,SingleFamily,09/06/2024,4188000.0
R2889792,3,2,"1454 Stevens St, White Rock, BC, Canada",1830.0,5,4486.0,655.0,1990,Townhouse,02/06/2024,1199000.0
R2886312,2,2,"15385 Victoria Ave, White Rock, BC, Canada",1712.0,1,7712.0,1026.0,9999,SingleFamily,02/06/2024,1758000.0
R2889882,0,0,"14645 Bellevue Cres, White Rock, BC, Canada",2836.0,2,11605.0,986.0,1957,SingleFamily,02/06/2024,2799000.0
