,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
471,Multi Family,,1451 sqft,Yes,$963,R2607046,,Residential,2021,,"2476 E Pender St, Vancouver, BC",3,3,2,03/08/2021,"$1,398,000",07/08/2021,"$1,435,000"
472,Single Family Residence,"$14,782",4041 sqft,Yes,"$1,113",R2749089,,Residential,1931,,"6991 Wiltshire St, Vancouver, BC",3,7,3,27/01/2023,"$4,499,000",15/03/2023,"$4,308,000"
473,Townhouse,"$3,464",1185 sqft,Yes,"$1,010",R2598531,,Residential,2016,,"6072 Oak St, Vancouver, BC",2,2,1,04/07/2021,"$1,198,000",08/08/2021,"$1,190,000"
474,Apartment/Condominium,"$2,034",1038 sqft,Yes,$807,R2603028,,Residential,1976,,"211 - 319 E 7th Ave, Vancouver, BC",1,2,1,18/07/2021,"$838,000",08/08/2021,"$850,000"
475,Apartment/Condominium,"$2,332",854 sqft,Yes,"$1,016",R2606283,,Residential,2011,,"406 - 738 E 29th Ave, Vancouver, BC",2,2,1,02/08/2021,"$868,000",08/08/2021,"$897,000"
476,Apartment/Condominium,"$1,660",657 sqft,Yes,$835,R2606000,,Residential,1989,,"701 - 1436 Harwood St, Vancouver, BC",1,1,1,29/07/2021,"$549,000",08/08/2021,"$586,500"
477,Multi Family,"$4,021",1605 sqft,Yes,"$1,557",R2606015,,Residential,1910,,"2146 W 1st Ave, Vancouver, BC",2,2,1,29/07/2021,"$2,499,000",08/08/2021,"$2,480,000"
478,Apartment/Condominium,"$1,564",568 sqft,Yes,$924,R2606200,,Residential,2008,,"907 - 1212 Howe St, Vancouver, BC",1,1,1,01/08/2021,"$524,900",08/08/2021,"$605,000"
479,Townhouse,"$2,300",1218 sqft,Yes,$590,R2601529,,Residential,2018,,"3 - 1969 E 64 Th Ave, Vancouver, BC",2,2,2,11/07/2021,"$719,000",08/08/2021,"$720,000"
480,Apartment/Condominium,"$1,468",500 sqft,Yes,"$1,156",R2867575,,Residential,2017,,"703 - 1133 Hornby St, Vancouver, BC",1,1,0,07/04/2024,"$578,000",-,Not Sold Yet
481,Apartment/Condominium,"$1,961",835 sqft,Yes,$956,R2608100,,Residential,2005,,"214 - 2388 Western Pky, Vancouver, BC",2,2,1,08/08/2021,"$799,000",09/08/2021,"$820,000"
482,Apartment/Condominium,"$2,367",839 sqft,Yes,"$1,001",R2606731,,Residential,1993,,"415 - 2255 W 4 Th Ave, Vancouver, BC",2,2,1,02/08/2021,"$839,999",09/08/2021,"$854,000"
483,Townhouse,,-,No,,R2899970,,Residential Lease,,,"5260 Larch St, Vancouver, BC",2,2,1,26/06/2024,"$6,000",-,Not Leased Yet
484,Townhouse,"$2,555",1020 sqft,Yes,"$1,174",R2606457,,Residential,1982,,"2211 W 15th Ave, Vancouver, BC",2,2,1,02/08/2021,"$1,198,000",09/08/2021,"$1,365,000"
485,Apartment/Condominium,"$1,865",610 sqft,Yes,"$1,098",R2601755,,Residential,2014,,"PH10 - 202 E 24 Th Ave, Vancouver, BC",1,1,1,13/07/2021,"$670,000",09/08/2021,"$663,000"
486,Apartment/Condominium,"$2,993",1002 sqft,Yes,"$1,037",R2606292,,Residential,1994,,"2405 - 1155 Homer St, Vancouver, BC",2,2,2,01/08/2021,"$1,039,999",09/08/2021,"$1,040,000"
487,Apartment/Condominium,"$2,762",1003 sqft,Yes,"$1,175",R2607381,,Residential,1997,,"505 - 1710 Bayshore Dr, Vancouver, BC",1,2,1,04/08/2021,"$1,179,000",09/08/2021,"$1,200,000"
488,Apartment/Condominium,"$1,506",850 sqft,Yes,"$1,035",R2606341,,Residential,2011,,"212 - 3478 Wesbrook Mall, Vancouver, BC",2,2,1,31/07/2021,"$880,000",10/08/2021,"$880,000"
489,Single Family Residence,"$5,871",1198 sqft,No,"$1,566",R2588591,,Residential,1942,,"3315 E 46th Ave, Vancouver, BC",1,4,2,01/06/2021,"$1,877,000",10/08/2021,"$1,810,000"
490,Apartment/Condominium,"$3,540",1247 sqft,Yes,"$1,121",R2815551,,Residential,1983,,"704 - 1450 Pennyfarthing Dr, Vancouver, BC",2,2,1,12/09/2023,"$1,398,000",02/11/2023,"$1,388,000"
491,Single Family Residence,"$6,493",2330 sqft,Yes,$857,R2601437,,Residential,2004,,"5341 Argyle St, Vancouver, BC",4,6,3,11/07/2021,"$1,998,000",10/08/2021,"$1,915,000"
492,Single Family Residence,"$4,883",2100 sqft,Yes,$690,R2593883,,Residential,1980,,"5168 Hoy St, Vancouver, BC",2,4,4,13/06/2021,"$1,450,000",10/08/2021,"$1,438,000"
493,Single Family Residence,"$5,762",2278 sqft,No,"$1,316",R2586895,,Residential,1932,,"1985 Broadway E, Vancouver, BC",3,5,2,27/05/2021,"$3,000,000",10/08/2021,"$2,850,000"
494,Apartment/Condominium,"$1,364",675 sqft,Yes,$842,R2593189,,Residential,1997,,"312 - 1011 King Edward Ave W, Vancouver, BC",1,1,1,14/06/2021,"$569,000",10/08/2021,"$560,000"
495,Single Family Residence,"$5,372",2200 sqft,Yes,$681,R2607111,,Residential,1987,,"3166 Kings Ave, Vancouver, BC",4,6,2,02/08/2021,"$1,499,900",10/08/2021,"$1,608,000"
496,Apartment/Condominium,"$3,790",1300 sqft,Yes,"$1,175",R2608521,,Residential,2005,,"110 - 4759 Valley Dr, Vancouver, BC",2,2,1,09/08/2021,"$1,528,000",11/08/2021,"$1,500,000"
497,Single Family Residence,"$5,786",1743 sqft,Yes,$917,R2605099,,Residential,2010,,"6176 Main St, Vancouver, BC",3,6,4,25/07/2021,"$1,599,000",11/08/2021,"$1,585,000"
498,Apartment/Condominium,"$1,731",818 sqft,Yes,$854,R2607373,,Residential,1984,,"205 - 1232 Harwood St, Vancouver, BC",1,2,1,04/08/2021,"$699,000",11/08/2021,"$699,000"
499,Single Family Residence,"$6,526",2682 sqft,Yes,$708,R2606949,,Residential,1986,,"1741 E 28th Ave, Vancouver, BC",4,5,6,02/08/2021,"$1,899,000",11/08/2021,"$1,950,000"
500,Apartment/Condominium,"$2,567",1291 sqft,Yes,$850,R2608843,,Residential,2005,,"102 - 2280 Wesbrook Mall, Vancouver, BC",2,3,3,10/08/2021,"$1,098,000",11/08/2021,"$1,150,000"
501,Apartment/Condominium,"$1,463",575 sqft,Yes,$989,R2606685,,Residential,2009,,"302 - 930 W 16th Ave, Vancouver, BC",1,1,1,02/08/2021,"$569,000",11/08/2021,"$545,000"
502,Apartment/Condominium,"$1,876",603 sqft,Yes,"$1,159",R2606161,,Residential,1999,,"201 - 2190 W 5 Th Ave, Vancouver, BC",1,1,1,29/07/2021,"$699,000",10/08/2021,"$720,000"
503,Apartment/Condominium,"$3,917",1335 sqft,Yes,"$1,047",R2607331,,Residential,2018,,"601 - 209 E 7th Ave, Vancouver, BC",2,3,2,04/08/2021,"$1,399,000",11/08/2021,"$1,399,000"
504,Apartment/Condominium,"$2,899",819 sqft,Yes,"$1,304",R2608623,,Residential,2009,,"2002 - 565 Smithe St, Vancouver, BC",2,2,1,09/08/2021,"$1,068,000",11/08/2021,"$1,050,000"
505,Apartment/Condominium,"$3,461",941 sqft,Yes,"$1,354",R2603274,,Residential,2008,,"1802 - 918 Cooperage Way, Vancouver, BC",2,2,2,19/07/2021,"$1,274,900",11/08/2021,"$1,250,000"
506,Townhouse,"$1,810",1362 sqft,No,$550,R2608491,,Residential,1974,,"138 - 3473 49 Th Ave E, Vancouver, BC",2,3,1,09/08/2021,"$750,000",11/08/2021,"$750,000"
507,Apartment/Condominium,"$3,941",1206 sqft,Yes,"$1,325",R2607770,,Residential,2017,,"705 - 2565 Maple St, Vancouver, BC",2,2,2,04/08/2021,"$1,599,000",11/08/2021,"$1,545,000"
508,Apartment/Condominium,"$1,908",587 sqft,Yes,"$1,218",R2582335,,Residential,2010,,"513 - 1635 W 3rd Ave, Vancouver, BC",1,1,1,17/05/2021,"$715,000",11/08/2021,"$685,000"
509,Apartment/Condominium,"$1,220",567 sqft,Yes,$846,R2596557,,Residential,1978,,"215 - 1549 Kitchener St, Vancouver, BC",1,1,1,23/06/2021,"$479,900",11/08/2021,"$465,000"
510,Single Family Residence,"$10,029",2415 sqft,No,"$1,531",R2583732,,Residential,2009,,"4570 W 11th Ave, Vancouver, BC",3,4,2,19/05/2021,"$3,698,000",11/08/2021,"$3,521,000"
511,Apartment/Condominium,"$1,738",1018 sqft,No,$577,R2587710,,Residential,1953,,"103 - 1595 W 14th Ave, Vancouver, BC",1,2,0,31/05/2021,"$588,000",11/08/2021,"$550,000"
512,Single Family Residence,"$9,351",1614 sqft,Yes,"$1,975",R2885428,,Residential,1946,,"5876 Highbury St, Vancouver, BC",2,2,4,20/05/2024,"$3,188,000",-,Not Sold Yet
513,Apartment/Condominium,"$1,999",654 sqft,Yes,"$1,114",R2601745,,Residential,2011,,"1911 - 833 Seymour St, Vancouver, BC",1,1,1,12/07/2021,"$729,000",12/08/2021,"$715,000"
514,Apartment/Condominium,"$1,599",825 sqft,Yes,"$1,066",R2589070,,Residential,2005,,"108 - 6279 Eagles Dr, Vancouver, BC",2,2,1,03/06/2021,"$880,000",12/08/2021,"$828,000"
515,Apartment/Condominium,"$5,298",1279 sqft,Yes,"$1,563",R2602992,,Residential,2019,,"1003 - 1561 W 57th Ave, Vancouver, BC",2,2,2,18/07/2021,"$1,999,900",12/08/2021,"$1,915,000"
516,Apartment/Condominium,"$2,440",827 sqft,Yes,"$1,087",R2605428,,Residential,1998,,"1107 - 1723 Alberni St, Vancouver, BC",1,2,1,26/07/2021,"$899,000",12/08/2021,"$888,800"
517,Apartment/Condominium,"$3,783",1200 sqft,Yes,"$1,390",R2609317,,Residential,1995,,"1905 - 388 Drake St, Vancouver, BC",2,2,1,11/08/2021,"$1,668,000",12/08/2021,"$1,626,000"
518,Townhouse,,1312 sqft,Yes,$906,R2597910,,Residential,2021,,"22 - 3643 Rae Ave, Vancouver, BC",3,4,0,23/06/2021,"$1,188,672",12/08/2021,"$1,188,672"
519,Apartment/Condominium,,-,No,,R2613121,,Residential Lease,,,"1917 - 68 Smithe St, Vancouver, BC",1,1,0,29/08/2021,"$2,500",05/09/2021,"$2,500"
520,Single Family Residence,"$44,697",5285 sqft,No,"$1,888",R2588857,,Residential,1989,,"503 W 27th Ave, Vancouver, BC",5,8,5,01/06/2021,"$9,980,000",13/08/2021,"$8,500,000"
521,Apartment/Condominium,"$1,932",751 sqft,Yes,$930,R2602114,,Residential,2006,,"710 - 328 E 11th Ave, Vancouver, BC",1,1,1,14/07/2021,"$699,000",13/08/2021,"$665,000"
522,Apartment/Condominium,"$1,377",549 sqft,Yes,$983,R2603020,,Residential,2013,,"506 - 4815 Eldorado Mews, Vancouver, BC",1,1,1,18/07/2021,"$539,900",13/08/2021,"$526,000"
523,Apartment/Condominium,"$1,563",525 sqft,Yes,"$1,237",R2591828,,Residential,2006,,"302 - 1650 W 7th Ave, Vancouver, BC",1,1,2,08/06/2021,"$649,900",13/08/2021,"$595,000"
524,Townhouse,,1306 sqft,Yes,"$1,071",R2584448,,Residential,2021,,"7881 French St, Vancouver, BC",2,3,1,24/05/2021,"$1,399,000",13/08/2021,"$1,390,000"
525,Apartment/Condominium,"$2,115",944 sqft,Yes,$930,R2609575,,Residential,2019,,"4880 Slocan St, Vancouver, BC",2,2,1,11/08/2021,"$878,000",13/08/2021,"$858,000"
526,Apartment/Condominium,,699 sqft,Yes,$915,R2609225,,Residential,2023,,"209 - 5399 Joyce St, Vancouver, BC",2,2,1,08/08/2021,"$640,000",13/08/2021,"$640,000"
527,Apartment/Condominium,"$1,740",522 sqft,Yes,"$1,254",R2752772,,Residential,2007,,"2502 - 977 Mainland St, Vancouver, BC",1,1,1,13/02/2023,"$655,000",16/02/2023,"$655,000"
528,Townhouse,"$3,387",1378 sqft,Yes,$942,R2599925,,Residential,2013,,"1288 Salsbury Dr, Vancouver, BC",2,3,1,06/07/2021,"$1,298,900",14/08/2021,"$1,295,000"
529,Multi Family,"$3,247",1139 sqft,Yes,"$1,219",R2578069,,Residential,2019,,"1454 E 20th Ave, Vancouver, BC",3,3,1,09/05/2021,"$1,389,000",14/08/2021,"$1,360,000"
530,Apartment/Condominium,"$1,641",635 sqft,Yes,$911,R2608749,,Residential,2007,,"306 - 688 Abbott St, Vancouver, BC",1,1,1,09/08/2021,"$579,000",14/08/2021,"$560,000"
