,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
57,Townhouse,"$3,693",2404 sqft,Yes,$452,R2592562,,Residential,1988,,"1251 Lasalle Pl, Coquitlam, BC",3,4,0,13/06/2021,"$1,088,000",21/06/2021,"$1,140,000"
58,Single Family Residence,"$5,089",3052 sqft,Yes,$488,R2591065,,Residential,2012,,"3378 Watkins Ave, Coquitlam, BC",3,5,0,06/06/2021,"$1,490,000",21/06/2021,"$1,530,000"
59,Single Family Residence,"$3,758",2477 sqft,Yes,$484,R2592603,,Residential,1997,,"707 Girard Ave, Coquitlam, BC",2,4,0,13/06/2021,"$1,199,999",21/06/2021,"$1,315,000"
60,Single Family Residence,"$4,947",2530 sqft,No,$620,R2594652,,Residential,1966,,"817 Grover Ave, Coquitlam, BC",3,6,0,20/06/2021,"$1,568,800",21/06/2021,"$1,570,000"
61,Single Family Residence,"$6,039",3961 sqft,Yes,$501,R2592730,,Residential,1988,,"1350 Cimarron Dr, Coquitlam, BC",4,4,0,13/06/2021,"$1,988,000",21/06/2021,"$1,920,000"
62,Single Family Residence,"$5,627",3600 sqft,Yes,$470,R2593183,,Residential,1980,,"992 Corona Cres, Coquitlam, BC",4,6,0,14/06/2021,"$1,695,000",21/06/2021,"$1,635,000"
63,Manufactured Home,"$1,011",1344 sqft,No,$248,R2584306,,Residential,1988,,"145 King Edward St, Coquitlam, BC",2,3,0,24/05/2021,"$333,888",21/06/2021,"$327,000"
64,Apartment/Condominium,,920 sqft,Yes,$815,R2591628,,Residential,2020,,"413 - 603 Regan Ave, Coquitlam, BC",2,2,1,09/06/2021,"$749,900",25/06/2021,"$743,000"
65,Single Family Residence,"$7,304",4040 sqft,Yes,$519,R2565987,,Residential,2018,,"218 Allard St, Coquitlam, BC",6,6,0,13/04/2021,"$2,098,000",24/06/2021,"$2,065,000"
66,Single Family Residence,,5289 sqft,Yes,$472,R2576395,,Residential,2021,,"1912 Peterson Ave, Coquitlam, BC",6,7,0,03/05/2021,"$2,498,000",26/06/2021,"$2,400,000"
67,Townhouse,"$4,206",2359 sqft,Yes,$465,R2587232,,Residential,2002,,"1651 Parkway Blvd, Coquitlam, BC",3,3,0,30/05/2021,"$1,098,000",25/06/2021,"$1,095,000"
68,Townhouse,"$3,400",2468 sqft,Yes,$485,R2579152,,Residential,1997,,"1765 Paddock Dr, Coquitlam, BC",3,4,0,10/05/2021,"$1,199,000",24/06/2021,"$1,180,000"
69,Single Family Residence,,-,No,,R2615579,,Residential Lease,,,"1281 Johnson Crt, Coquitlam, BC",2,3,0,07/09/2021,"$2,650",-,Not Leased Yet
70,Townhouse,,1691 sqft,Yes,$591,R2573866,,Residential,2021,,"258 Hart St, Coquitlam, BC",2,3,0,27/04/2021,"$999,800",26/06/2021,"$990,000"
71,Single Family Residence,"$5,089",2244 sqft,Yes,$668,R2571513,,Residential,1944,,"329 Marmont St, Coquitlam, BC",2,5,0,25/04/2021,"$1,499,900",26/06/2021,"$1,460,000"
72,Apartment/Condominium,"$3,012",1308 sqft,Yes,$571,R2593076,,Residential,1996,,"1405 - 1199 Eastwood St, Coquitlam, BC",2,3,1,13/06/2021,"$748,000",29/06/2021,"$732,000"
73,Single Family Residence,"$4,460",2703 sqft,Yes,$484,R2591855,,Residential,1998,,"1812 Hampton Green, Coquitlam, BC",3,4,0,08/06/2021,"$1,310,000",29/06/2021,"$1,280,000"
74,Single Family Residence,"$5,600",4102 sqft,Yes,$458,R2595259,,Residential,1992,,"2639 Granite Crt, Coquitlam, BC",3,6,0,20/06/2021,"$1,880,000",29/06/2021,"$1,900,000"
75,Single Family Residence,"$5,148",2115 sqft,No,$656,R2595703,,Residential,1955,,"632 Chapman Ave, Coquitlam, BC",2,4,5,21/06/2021,"$1,389,000",29/06/2021,"$1,386,000"
76,Single Family Residence,"$1,991",4706 sqft,Yes,$635,R2781159,,Residential,2023,,"1010 Como Lake Ave, Coquitlam, BC",6,8,2,23/05/2023,"$2,988,800",-,-
77,Townhouse,"$1,982",555 sqft,Yes,$809,R2594599,,Residential,2014,,"638 Regan Ave, Coquitlam, BC",1,1,0,20/06/2021,"$449,000",29/06/2021,"$450,000"
