,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
144,Apartment/Condominium,"$2,239",678 sqft,Yes,$796,R2620138,,Residential,2017,,"1601 - 188 Agnes St, New Westminster, BC",1,1,0,21/09/2021,"$540,000",01/10/2021,"$530,000"
145,Apartment/Condominium,"$2,418",933 sqft,Yes,$674,R2621609,,Residential,2009,,"401 - 306 6 Th St, New Westminster, BC",1,2,1,26/09/2021,"$629,000",02/10/2021,"$625,000"
146,Apartment/Condominium,"$1,787",522 sqft,Yes,$955,R2621232,,Residential,2017,,"802 - 200 Nelson's Cres, New Westminster, BC",1,1,1,26/09/2021,"$498,800",03/10/2021,"$510,000"
147,Apartment/Condominium,"$2,896",991 sqft,Yes,$704,R2593128,,Residential,2019,,"310 - 218 Carnarvon St, New Westminster, BC",2,2,1,14/06/2021,"$698,000",03/10/2021,"$698,000"
148,Single Family Residence,"$4,913",2781 sqft,Yes,$538,R2621790,,Residential,1943,,"1601 Edinburgh St, New Westminster, BC",2,4,2,27/09/2021,"$1,498,000",03/10/2021,"$1,610,000"
149,Apartment/Condominium,"$1,343",854 sqft,Yes,$467,R2619811,,Residential,1987,,"3 - 385 Ginger Dr, New Westminster, BC",1,1,1,20/09/2021,"$399,000",02/10/2021,"$415,000"
150,Apartment/Condominium,"$2,411",782 sqft,Yes,$778,R2748131,,Residential,2007,,"1308 - 814 Royal Ave, New Westminster, BC",2,2,1,23/01/2023,"$609,000",-,-
151,Apartment/Condominium,"$2,388",1201 sqft,Yes,$507,R2622244,,Residential,1989,,"505 - 1135 Quayside Dr, New Westminster, BC",2,2,1,27/09/2021,"$609,800",03/10/2021,"$592,000"
152,Apartment/Condominium,"$2,503",824 sqft,Yes,$787,R2892386,,Residential,2007,,"907 - 814 Royal Ave, New Westminster, BC",2,2,1,09/06/2024,"$649,000",16/06/2024,"$640,000"
153,Apartment/Condominium,"$2,158",768 sqft,Yes,$779,R2813235,,Residential,2005,,"203 - 10 Renaissance Sq, New Westminster, BC",1,1,1,04/09/2023,"$599,000",08/10/2023,"$585,000"
154,Apartment/Condominium,"$3,010",1274 sqft,Yes,$569,R2617822,,Residential,2008,,"203 - 290 Francis Way, New Westminster, BC",2,2,1,13/09/2021,"$725,000",05/10/2021,"$710,000"
155,Apartment/Condominium,"$2,099",634 sqft,Yes,$871,R2622100,,Residential,2020,,"803 - 258 Nelson's Crt, New Westminster, BC",1,1,1,28/09/2021,"$552,800",05/10/2021,"$558,000"
156,Apartment/Condominium,"$2,063",620 sqft,Yes,$870,R2622043,,Residential,2007,,"1703 - 610 Victoria St, New Westminster, BC",1,1,1,28/09/2021,"$539,800",05/10/2021,"$530,000"
157,Apartment/Condominium,"$1,779",1072 sqft,Yes,$437,R2621974,,Residential,1974,,"306 - 620 7 Th Ave, New Westminster, BC",2,2,1,28/09/2021,"$469,000",05/10/2021,"$475,000"
158,Apartment/Condominium,"$1,717",863 sqft,Yes,$461,R2621442,,Residential,1984,,"L2 - 1026 Queens Ave, New Westminster, BC",1,2,1,26/09/2021,"$398,000",05/10/2021,"$390,500"
159,Townhouse,,2264 sqft,No,$661,R2579170,,Residential,2021,,"2 - 909 1 St St, New Westminster, BC",4,3,1,06/05/2021,"$1,498,000",05/10/2021,"$1,498,000"
160,Single Family Residence,"$4,727",2391 sqft,Yes,$585,R2622620,,Residential,1997,,"1283 Dan Lee Ave, New Westminster, BC",3,4,2,30/09/2021,"$1,399,000",09/10/2021,"$1,355,000"
161,Apartment/Condominium,"$2,661",1206 sqft,Yes,$480,R2612674,,Residential,1988,,"501 - 1250 Quayside Dr, New Westminster, BC",2,2,1,25/08/2021,"$579,900",09/10/2021,"$561,000"
162,Apartment/Condominium,"$1,239",518 sqft,Yes,$965,R2617910,,Residential,2020,,"701 - 258 Nelson's Crt, New Westminster, BC",1,1,1,12/09/2021,"$499,900",08/10/2021,"$499,900"
163,Apartment/Condominium,"$1,687",633 sqft,Yes,$834,R2617510,,Residential,2010,,"2209 - 280 Ross Dr, New Westminster, BC",1,1,1,13/09/2021,"$528,000",10/10/2021,"$522,000"
164,Apartment/Condominium,"$2,129",1118 sqft,Yes,$469,R2611985,,Residential,1990,,"706 - 612 5 Th Ave, New Westminster, BC",1,2,1,22/08/2021,"$525,000",09/10/2021,"$526,000"
165,Apartment/Condominium,"$1,339",679 sqft,Yes,$528,R2621770,,Residential,1983,,"108 - 423 Agnes St, New Westminster, BC",1,1,0,26/09/2021,"$359,000",09/10/2021,"$352,000"
166,Townhouse,,802 sqft,Yes,$982,R2615971,,Residential,2021,,"230 Shaw St, New Westminster, BC",1,2,1,06/09/2021,"$788,000",10/10/2021,"$766,666"
167,Apartment/Condominium,"$3,102",876 sqft,Yes,$797,R2623217,,Residential,2020,,"2304 - 258 Nelson's Crt, New Westminster, BC",2,2,1,03/10/2021,"$699,000",10/10/2021,"$709,000"
168,Townhouse,,1182 sqft,Yes,$697,R2627312,,Residential,2023,,"43 - 488 Furness St, New Westminster, BC",2,2,2,14/10/2021,"$824,900",15/10/2021,"$824,900"
169,Apartment/Condominium,"$2,607",953 sqft,Yes,$682,R2897854,,Residential,1993,,"1505 - 838 Agnes St, New Westminster, BC",2,2,1,20/06/2024,"$649,999",-,Not Sold Yet
170,Single Family Residence,"$3,216",955 sqft,No,"$1,348",R2619936,,Residential,1955,,"651 Columbia St E, New Westminster, BC",2,2,2,20/09/2021,"$1,288,000",15/10/2021,"$1,200,000"
171,Single Family Residence,"$2,903",869 sqft,No,"$1,115",R2611998,,Residential,1948,,"341 Hospital St, New Westminster, BC",1,2,0,23/08/2021,"$969,000",16/10/2021,"$980,000"
172,Apartment/Condominium,"$1,827",565 sqft,Yes,$865,R2624816,,Residential,2020,,"211 - 258 Nelson's Crt, New Westminster, BC",1,1,1,11/10/2021,"$489,000",15/10/2021,"$510,000"
173,Apartment/Condominium,"$3,207",1092 sqft,Yes,$704,R2612983,,Residential,2016,,"1605 - 271 Francis Way, New Westminster, BC",2,2,2,29/08/2021,"$769,000",15/10/2021,"$750,000"
174,Apartment/Condominium,"$2,282",842 sqft,Yes,$629,R2625921,,Residential,1990,,"308 - 518 13 Th St, New Westminster, BC",1,2,2,11/10/2021,"$529,900",16/10/2021,"$508,888"
175,Apartment/Condominium,"$2,247",897 sqft,Yes,$667,R2622824,,Residential,2007,,"601 - 15 Royal Ave E, New Westminster, BC",2,2,1,04/10/2021,"$598,800",15/10/2021,"$590,000"
176,Apartment/Condominium,"$2,024",624 sqft,Yes,$801,R2622332,,Residential,2007,,"1403 - 610 Victoria St, New Westminster, BC",1,1,1,29/09/2021,"$499,999",20/10/2021,"$520,000"
177,Apartment/Condominium,"$2,348",928 sqft,Yes,$592,R2620095,,Residential,1990,,"212 - 518 13 Th St, New Westminster, BC",1,2,2,20/09/2021,"$549,900",19/10/2021,"$539,000"
178,Apartment/Condominium,"$1,132",653 sqft,Yes,$558,R2625168,,Residential,1976,,"603 - 209 Carnarvon St, New Westminster, BC",1,1,1,11/10/2021,"$364,900",21/10/2021,"$347,000"
179,Single Family Residence,"$6,072",4311 sqft,Yes,$368,R2625876,,Residential,1993,,"514 Richmond St, New Westminster, BC",4,8,6,13/10/2021,"$1,588,888",21/10/2021,"$1,475,000"
180,Single Family Residence,"$4,267",1821 sqft,No,$713,R2853293,,Residential,1952,,"805 Milton St, New Westminster, BC",2,4,0,26/02/2024,"$1,300,000",13/05/2024,"$1,065,000"
181,Apartment/Condominium,"$1,772",681 sqft,Yes,$697,R2831818,,Residential,1995,,"703 - 720 Carnarvon St, New Westminster, BC",1,1,1,09/11/2023,"$475,000",22/11/2023,"$472,500"
182,Apartment/Condominium,,-,No,,R2759845,,Residential Lease,,,"2103 - 210 Salter St, New Westminster, BC",3,3,2,13/03/2023,"$6,200",02/05/2023,"$6,100"
183,Apartment/Condominium,"$1,878",657 sqft,Yes,$817,R2616638,,Residential,2013,,"306 - 608 Belmont St, New Westminster, BC",1,1,1,09/09/2021,"$537,000",20/10/2021,"$522,000"
184,Apartment/Condominium,"$1,518",945 sqft,Yes,$460,R2626401,,Residential,1976,,"306 - 327 9 Th St, New Westminster, BC",1,2,1,17/10/2021,"$435,000",25/10/2021,"$447,000"
185,Townhouse,"$2,979",1214 sqft,Yes,$658,R2627737,,Residential,2009,,"10 - 1 Renaissance Sq, New Westminster, BC",2,3,2,20/10/2021,"$799,999",26/10/2021,"$820,000"
186,Townhouse,,1440 sqft,Yes,$687,R2629396,,Residential,2022,,"66 - 488 Furness St, New Westminster, BC",3,4,2,24/10/2021,"$989,900",25/10/2021,"$989,900"
187,Apartment/Condominium,"$2,594",1274 sqft,Yes,$470,R2627077,,Residential,1990,,"1205 - 1245 Quayside Dr, New Westminster, BC",2,2,1,18/10/2021,"$599,900",26/10/2021,"$648,000"
188,Quadruplex,"$8,671",5208 sqft,Yes,$547,R2819578,,Residential Income,1979,,"404 Royal Ave, New Westminster, BC",4,12,8,25/09/2023,"$2,850,000",-,-
189,Single Family Residence,"$6,133",1745 sqft,No,$916,R2627113,,Residential,1938,,"321 Oliver St, New Westminster, BC",1,4,2,18/10/2021,"$1,600,000",26/10/2021,"$1,625,000"
190,Townhouse,"$2,545",1065 sqft,Yes,$591,R2627096,,Residential,1999,,"27 - 123 7 Th St, New Westminster, BC",2,2,2,18/10/2021,"$629,900",26/10/2021,"$622,500"
191,Apartment/Condominium,"$2,278",897 sqft,Yes,$667,R2626325,,Residential,2007,,"801 - 15 Royal Ave E, New Westminster, BC",2,2,0,13/10/2021,"$599,000",25/10/2021,"$600,000"
