,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
953,Apartment/Condominium,"$1,558",1003 sqft,Yes,$473,R2673148,,Residential,1992,,"305 - 32725 George Ferguson Way, Abbotsford, BC",2,2,1,04/04/2022,"$475,000",27/06/2022,"$453,000"
954,Single Family Residence,"$4,905",3440 sqft,Yes,$406,R2698951,,Residential,2003,,"27957 Buffer Cres, Abbotsford, BC",3,5,5,12/06/2022,"$1,400,000",27/06/2022,"$1,360,000"
955,Apartment/Condominium,"$1,708",632 sqft,Yes,$790,R2693253,,Residential,2015,,"509 - 3090 Gladwin Rd, Abbotsford, BC",1,1,1,31/05/2022,"$499,900",27/06/2022,"$484,000"
956,Single Family Residence,"$2,688",1128 sqft,No,$638,R2702297,,Residential,1946,,"33945 Walnut Ave, Abbotsford, BC",1,3,0,15/06/2022,"$719,900",27/06/2022,"$680,000"
957,Single Family Residence,"$4,886",3347 sqft,Yes,$388,R2701109,,Residential,1993,,"34751 Hengestone Crt, Abbotsford, BC",3,6,4,15/06/2022,"$1,299,700",27/06/2022,"$1,330,000"
958,Apartment/Condominium,"$1,701",788 sqft,Yes,$659,R2700633,,Residential,2021,,"207 - 31158 Westridge Pl, Abbotsford, BC",1,2,1,15/06/2022,"$520,000",27/06/2022,"$515,000"
959,Apartment/Condominium,"$3,116",1100 sqft,Yes,$799,R2695448,,Residential,2018,,"1606 - 2180 Gladwin Rd, Abbotsford, BC",2,2,2,31/05/2022,"$879,000",03/07/2022,"$870,000"
960,Apartment/Condominium,"$2,115",1253 sqft,Yes,$498,R2703429,,Residential,2006,,"106 - 33318 Bourquin Cres E, Abbotsford, BC",2,2,2,26/06/2022,"$624,750",03/07/2022,"$590,000"
961,Apartment/Condominium,"$1,357",919 sqft,Yes,$433,R2697818,,Residential,1989,,"220 - 2700 Mccallum Rd, Abbotsford, BC",1,2,1,07/06/2022,"$398,800",02/07/2022,"$390,000"
962,Apartment/Condominium,"$1,468",851 sqft,Yes,$534,R2683642,,Residential,2007,,"406 - 32729 Garibaldi Dr, Abbotsford, BC",1,1,1,01/05/2022,"$454,999",03/07/2022,"$435,000"
963,Apartment/Condominium,"$1,645",1084 sqft,Yes,$415,R2682929,,Residential,1996,,"203 - 33728 King Rd, Abbotsford, BC",2,2,2,28/04/2022,"$450,000",03/07/2022,"$444,000"
964,Single Family Residence,"$4,601",2216 sqft,Yes,$554,R2895081,,Residential,1971,,"2137 Beaver St, Abbotsford, BC",2,4,4,13/06/2024,"$1,228,000",-,Not Sold Yet
965,Apartment/Condominium,"$1,575",1010 sqft,Yes,$494,R2702711,,Residential,1998,,"216 - 2750 Fairlane St, Abbotsford, BC",2,2,1,19/06/2022,"$499,900",03/07/2022,"$481,000"
966,Single Family Residence,"$7,255",4430 sqft,No,$496,R2688594,,Residential,2005,,"37301 Batt Rd, Abbotsford, BC",3,9,9,12/05/2022,"$2,198,000",03/07/2022,"$2,110,000"
967,Single Family Residence,"$3,985",1846 sqft,Yes,$530,R2706382,,Residential,1976,,"32694 Avalon Cres, Abbotsford, BC",2,4,8,04/07/2022,"$979,000",10/07/2022,"$979,000"
968,Single Family Residence,"$4,859",3912 sqft,Yes,$370,R2703599,,Residential,2003,,"34189 Higginson Cres, Abbotsford, BC",3,7,4,22/06/2022,"$1,449,000",09/07/2022,"$1,360,000"
969,Single Family Residence,"$5,922",1920 sqft,No,$911,R2698151,,Residential,1974,,"2293 Bradner Rd, Abbotsford, BC",1,4,8,08/06/2022,"$1,750,000",08/07/2022,"$1,600,000"
