,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
820,Apartment/Condominium,"$2,043",814 sqft,Yes,$982,R2640803,,Residential,2009,,"507 - 7488 Byrnepark Walk, Burnaby, BC",2,2,2,03/01/2022,"$799,900",10/01/2022,"$855,000"
821,Apartment/Condominium,"$1,918",1129 sqft,Yes,$668,R2638785,,Residential,1991,,"830 - 4825 Hazel St, Burnaby, BC",2,2,1,10/12/2021,"$755,000",10/01/2022,"$740,000"
822,Apartment/Condominium,"$2,967",1012 sqft,Yes,$937,R2640729,,Residential,2017,,"1803 - 6538 Nelson Ave, Burnaby, BC",2,3,1,03/01/2022,"$949,000",10/01/2022,"$1,009,000"
823,Single Family Residence,"$5,922",4000 sqft,Yes,$624,R2627986,,Residential,1962,,"682 Sperling Ave, Burnaby, BC",4,6,3,19/10/2021,"$2,499,000",13/01/2022,"$2,350,000"
824,Apartment/Condominium,"$2,478",1048 sqft,Yes,"$1,209",R2640745,,Residential,2021,,"2305 - 4458 Beresford St, Burnaby, BC",2,3,1,03/01/2022,"$1,268,000",12/01/2022,"$1,228,000"
825,Apartment/Condominium,"$2,971",922 sqft,Yes,"$1,028",R2641803,,Residential,2019,,"5706 - 4510 Halifax Way, Burnaby, BC",2,2,1,09/01/2022,"$948,000",12/01/2022,"$1,000,000"
826,Single Family Residence,"$4,810",2850 sqft,No,$631,R2641268,,Residential,1971,,"4334 Venables St, Burnaby, BC",2,6,3,02/01/2022,"$1,800,000",12/01/2022,"$2,110,000"
827,Single Family Residence,"$7,165",4153 sqft,Yes,$522,R2542740,,Residential,1991,,"7338 Barnet Rd, Burnaby, BC",5,8,5,23/02/2021,"$2,168,000",13/01/2022,"$2,138,888"
828,Apartment/Condominium,"$1,521",708 sqft,Yes,$670,R2642481,,Residential,1990,,"301 - 6788 Mckay Ave, Burnaby, BC",1,1,1,11/01/2022,"$475,000",12/01/2022,"$510,000"
829,Apartment/Condominium,,578 sqft,Yes,"$1,257",R2641301,,Residential,2026,,"3307 - 2135 Springer Ave, Burnaby, BC",1,1,0,04/01/2022,"$726,900",12/01/2022,"$726,900"
830,Townhouse,"$2,059",1180 sqft,Yes,$718,R2640880,,Residential,2007,,"112 - 5155 Watling St, Burnaby, BC",2,2,1,03/01/2022,"$848,000",13/01/2022,"$970,000"
831,Apartment/Condominium,"$2,144",856 sqft,Yes,"$1,037",R2777985,,Residential,2019,,"1510 - 7303 Noble Lane, Burnaby, BC",2,2,1,14/05/2023,"$888,000",29/05/2023,"$860,000"
832,Apartment/Condominium,"$1,548",635 sqft,Yes,$847,R2641598,,Residential,2009,,"309 - 7478 Byrnepark Walk, Burnaby, BC",1,1,1,09/01/2022,"$538,000",16/01/2022,"$562,000"
833,Apartment/Condominium,"$2,343",815 sqft,Yes,$930,R2641652,,Residential,2015,,"2505 - 6333 Silver Ave, Burnaby, BC",2,2,1,09/01/2022,"$758,000",16/01/2022,"$830,000"
