,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
417,Townhouse,"$2,792",1501 sqft,Yes,$665,R2791351,,Residential,2012,,"1 - 16223 23a Ave, Surrey, BC",3,4,2,21/06/2023,"$999,000",29/06/2023,"$980,000"
418,Single Family Residence,"$4,595",2381 sqft,Yes,$587,R2599237,,Residential,2017,,"2125 166 St, Surrey, BC",3,5,3,04/07/2021,"$1,399,000",13/07/2021,"$1,420,000"
419,Apartment/Condominium,"$1,421",692 sqft,Yes,$852,R2620995,,Residential,2019,,"806 - 15333 16 Ave, Surrey, BC",1,1,1,23/09/2021,"$589,900",28/09/2021,"$590,000"
420,Townhouse,"$2,536",1491 sqft,Yes,$535,R2598826,,Residential,2019,,"62 - 14541 Winter Cres, Surrey, BC",2,3,2,04/07/2021,"$798,000",13/07/2021,"$816,000"
421,Apartment/Condominium,"$2,152",901 sqft,Yes,$763,R2801923,,Residential,2011,,"3007 - 9981 Whalley Blvd, Surrey, BC",2,2,1,25/07/2023,"$688,000",-,-
422,Multi Family,"$3,607",2259 sqft,Yes,$442,R2598106,,Residential,1988,,"10073 120 St, Surrey, BC",3,6,3,05/07/2021,"$999,999",13/07/2021,"$1,130,000"
423,Townhouse,"$2,855",1633 sqft,Yes,$458,R2601561,,Residential,2005,,"53 - 15075 60 Ave, Surrey, BC",2,4,4,12/07/2021,"$749,000",13/07/2021,"$805,500"
424,Apartment/Condominium,"$1,578",553 sqft,Yes,$703,R2594858,,Residential,2010,,"1602 - 13380 108 Ave, Surrey, BC",1,1,1,20/06/2021,"$389,000",14/07/2021,"$370,000"
425,Single Family Residence,"$4,254",3920 sqft,No,$458,R2788279,,Residential,1956,,"17631 97 Ave, Surrey, BC",6,10,0,11/06/2023,"$1,799,000",18/06/2023,"$1,735,000"
426,Single Family Residence,"$4,774",2681 sqft,Yes,$559,R2749447,,Residential,2004,,"16798 63 Ave, Surrey, BC",3,5,6,29/01/2023,"$1,499,000",30/05/2023,"$1,500,000"
427,Single Family Residence,"$4,597",2453 sqft,Yes,$529,R2590891,,Residential,2011,,"12874 60 Ave, Surrey, BC",3,5,3,07/06/2021,"$1,299,000",14/07/2021,"$1,299,000"
428,Townhouse,"$2,675",2015 sqft,Yes,$337,R2602527,,Residential,1992,,"84 - 7955 122 St, Surrey, BC",2,3,2,14/07/2021,"$679,900",14/07/2021,"$679,900"
429,Single Family Residence,"$4,703",3084 sqft,Yes,$526,R2901482,,Residential,2020,,"12792 113 B Ave, Surrey, BC",4,6,6,02/07/2024,"$1,624,900",-,Not Sold Yet
