,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
32,Townhouse,"$3,164",1674 sqft,Yes,$494,R2589364,,Residential,2010,,"10415 Delsom Cres, Delta, BC",3,4,0,02/06/2021,"$828,000",13/06/2021,"$842,000"
33,Townhouse,"$1,888",935 sqft,Yes,$630,R2590518,,Residential,2016,,"1708 55a St, Delta, BC",2,2,0,07/06/2021,"$589,900",13/06/2021,"$615,000"
34,Single Family Residence,"$3,694",1910 sqft,No,$523,R2588958,,Residential,1978,,"7599 118 St, Delta, BC",2,3,0,02/06/2021,"$999,999",13/06/2021,"$990,000"
35,Single Family Residence,"$3,936",2453 sqft,Yes,$550,R2587630,,Residential,1991,,"5252 Crescent Dr, Delta, BC",2,3,0,31/05/2021,"$1,350,000",13/06/2021,"$1,303,000"
36,Single Family Residence,"$5,057",3110 sqft,Yes,$510,R2591441,,Residential,1960,,"1679 58 St, Delta, BC",3,5,0,09/06/2021,"$1,588,000",13/06/2021,"$1,588,000"
37,Single Family Residence,"$3,655",1997 sqft,Yes,$519,R2584966,,Residential,1971,,"5260 Dixon Pl, Delta, BC",2,3,0,24/05/2021,"$1,038,000",13/06/2021,"$1,030,000"
38,Apartment/Condominium,"$1,407",728 sqft,Yes,$616,R2632299,,Residential,2012,,"204 - 7511 120 St, Delta, BC",1,1,2,09/11/2021,"$449,000",28/11/2021,"$470,000"
39,Townhouse,"$3,822",1972 sqft,Yes,$659,R2783312,,Residential,2016,,"47 - 5510 Admiral Way, Delta, BC",3,4,4,30/05/2023,"$1,299,800",04/06/2023,"$1,320,000"
40,Single Family Residence,"$3,978",1920 sqft,Yes,$546,R2577727,,Residential,1997,,"5679 47a Ave, Delta, BC",2,4,0,06/05/2021,"$1,049,000",16/06/2021,"$1,045,000"
41,Single Family Residence,"$3,805",1634 sqft,No,$671,R2593106,,Residential,1969,,"7910 110 St, Delta, BC",2,4,0,14/06/2021,"$1,098,000",16/06/2021,"$1,100,000"
42,Townhouse,"$2,624",1802 sqft,Yes,$380,R2588124,,Residential,1991,,"6320 48a Ave, Delta, BC",2,2,0,01/06/2021,"$685,000",17/06/2021,"$685,000"
43,Single Family Residence,"$5,255",4758 sqft,Yes,$441,R2574139,,Residential,2018,,"8313 109b St, Delta, BC",7,7,0,29/04/2021,"$2,100,000",16/06/2021,"$2,000,000"
44,Single Family Residence,"$4,524",2323 sqft,No,$600,R2587382,,Residential,1971,,"7723 Garfield Dr, Delta, BC",2,4,0,31/05/2021,"$1,395,999",16/06/2021,"$1,340,000"
45,Single Family Residence,"$4,277",3153 sqft,Yes,$443,R2592021,,Residential,2005,,"4857 47a Ave, Delta, BC",3,5,0,10/06/2021,"$1,399,900",18/06/2021,"$1,650,000"
46,Single Family Residence,"$3,359",2325 sqft,Yes,$492,R2591286,,Residential,1980,,"10991 63 Ave, Delta, BC",3,5,0,09/06/2021,"$1,145,000",17/06/2021,"$1,145,000"
47,Townhouse,"$3,417",2210 sqft,Yes,$533,R2579241,,Residential,2018,,"5249 Oak Pl, Delta, BC",3,4,0,08/05/2021,"$1,180,000",16/06/2021,"$1,170,000"
48,Single Family Residence,"$3,662",2450 sqft,No,$444,R2572031,,Residential,1971,,"8453 Karr Pl, Delta, BC",2,5,0,22/04/2021,"$1,088,000",22/06/2021,"$1,065,000"
49,Single Family Residence,$500,500 sqft,No,$414,R2589244,,Residential,2020,,"2 - 4485 River Rd W, Delta, BC",1,2,1,03/06/2021,"$207,000",22/06/2021,"$139,000"
50,Single Family Residence,"$3,740",3fts 432q,Yes,$507,R2593566,,Residential,1969,,"4745 45a Ave, Delta, BC",2,4,0,15/06/2021,"$1,189,000",22/06/2021,"$1,170,000"
51,Townhouse,"$2,226",1274 sqft,No,$485,R2593853,,Residential,1979,,"6712 Baker Rd, Delta, BC",1,3,0,16/06/2021,"$619,000",25/06/2021,"$649,000"
52,Single Family Residence,"$3,945",3176 sqft,Yes,$393,R2582231,,Residential,1987,,"10734 Doncaster Cres, Delta, BC",3,5,0,17/05/2021,"$1,249,000",21/06/2021,"$1,200,000"
53,,,-,No,,R2596256,,Residential Lease,,,"5668 Clipper Rd, Delta, BC",2,3,0,23/06/2021,"$3,300",15/07/2021,"$3,160"
54,Single Family Residence,"$3,269",1987 sqft,Yes,$644,R2594531,,Residential,1978,,"8587 109b St, Delta, BC",3,4,0,20/06/2021,"$1,280,000",21/06/2021,"$1,270,000"
55,Single Family Residence,"$3,506",1292 sqft,No,$638,R2572704,,Residential,1968,,"4355 64 St, Delta, BC",1,2,4,24/04/2021,"$825,000",22/06/2021,"$1,280,000"
56,Single Family Residence,"$4,039",1925 sqft,Yes,$670,R2595260,,Residential,2019,,"4929 Willow Springs Ave, Delta, BC",3,3,0,20/06/2021,"$1,290,000",28/06/2021,"$1,500,000"
57,Single Family Residence,"$4,264",3057 sqft,Yes,$811,R2781578,,Residential,2023,,"35 53 St, Delta, BC",4,5,6,23/05/2023,"$2,479,888",06/06/2023,"$2,354,000"
58,Single Family Residence,"$3,499",1744 sqft,No,$629,R2591461,,Residential,1959,,"11812 64 Ave, Delta, BC",2,3,0,14/06/2021,"$1,098,000",27/06/2021,"$1,100,000"
59,Townhouse,"$2,396",1356 sqft,Yes,$507,R2591489,,Residential,1976,,"5421 10 Ave, Delta, BC",1,2,0,09/06/2021,"$688,000",29/06/2021,"$680,000"
60,Townhouse,"$1,892",945 sqft,Yes,$623,R2595789,,Residential,2016,,"1738 55a St, Delta, BC",2,2,0,22/06/2021,"$589,000",27/06/2021,"$616,500"
61,Single Family Residence,"$4,503",4014 sqft,Yes,$370,R2595015,,Residential,1986,,"7680 Barrymore Dr, Delta, BC",3,6,0,20/06/2021,"$1,489,000",27/06/2021,"$1,521,000"
62,Apartment/Condominium,"$2,836",1010 sqft,Yes,$767,R2572065,,Residential,2017,,"511 - 5011 Springs Blvd, Delta, BC",2,2,2,25/04/2021,"$775,000",29/06/2021,"$775,000"
63,Townhouse,"$2,680",1554 sqft,Yes,$579,R2595865,,Residential,1979,,"4855 Central Ave, Delta, BC",2,3,0,22/06/2021,"$899,900",28/06/2021,"$950,000"
64,Single Family Residence,"$4,602",2428 sqft,Yes,"$1,066",R2889592,,Residential,2024,,"1616 Braid Rd, Delta, BC",3,5,4,02/06/2024,"$2,588,888",-,Not Sold Yet
65,Apartment/Condominium,"$1,541",1144 sqft,Yes,$362,R2598194,,Residential,1994,,"507 - 11881 88 Ave, Delta, BC",1,2,1,05/07/2021,"$415,000",07/07/2021,"$399,000"
66,Single Family Residence,"$3,897",1988 sqft,Yes,$563,R2569398,,Residential,1980,,"11881 Redwood Pl, Delta, BC",2,3,0,19/04/2021,"$1,120,000",07/07/2021,"$1,100,000"
