,beds,baths,sqFt,parking,taxes,age,lat,lon,daysOnMarket,priceToTaxRatio,listingYear,listingMonth,distanceToCenter,distanceToSchool,propertyType,streetAddress,nearestSchool,postalCode,neighborhood,soldPricePredicted
25,3,2,1874.0,3,3228.0,5.0,49.0603131,-122.3525121,177,284.6617100371747,2024,7,8441.659551417499,705.6260427512059,Townhouse,31548 Upper Maclure Rd,Abbotsford School Of Integrated Arts, V2T 5S6,Townline Hill,930395.1532057283
26,4,4,4357.0,12,6419.0,25.0,49.0507519,-122.2268205,177,249.2600093472504,2024,7,4297.212840210488,546.0911136439903,SingleFamily,36020 Spyglass Crt,Colleen And Gordie Howe Middle School, V3G 2J3,Lower Sumas Mountain,1586678.0171310443
27,3,2,2574.0,4,4347.0,14.0,49.0384194,-122.2193524,178,332.413158500115,2024,7,14742.4586000388,3986.3821883191854,SingleFamily,3457 Whatcom Rd,Mt Lehman Elementary, V3G 2K4,General Abbotsford District,1460746.7054830496
28,2,1,1129.0,1,657.0,44.0,49.0539612,-122.3335351,178,500.7610350076104,2024,7,3524.716206071365,281.3540271831738,Condo,32040 Tims Ave,Yale Secondary, V2T 2H3,Clearbrook,359175.3560843827
29,3,1,1943.0,0,10302.0,61.0,49.1477829,-122.4158145,178,359.0564938846826,2024,7,4891.667171180313,484.7249049227438,SingleFamily,28989 Marsh Mccormick Rd,Colleen And Gordie Howe Middle School, V4S 1H7,General Abbotsford District,3861604.9408370326
30,5,3,2971.0,4,4457.0,33.0,49.0522786,-122.2637325,178,280.41283374467133,2024,7,8464.301178588566,726.7306067543694,SingleFamily,34655 Baldwin Rd,Semá:th Elementary School, V2S 7S5,General Abbotsford District,1255617.8213499575
31,2,1,1038.0,1,1172.0,43.0,49.0522093,-122.3390107,178,371.0750853242321,2024,7,4469.7703514779005,414.26912456161466,Condo,31955 Old Yale Rd,Colleen And Gordie Howe Middle School, V2T 4N1,Clearbrook,441639.6923939985
32,4,2,2665.0,10,6052.0,47.0,49.0308313,-122.2194431,178,256.0971579643093,2024,7,5736.223164008757,326.4305253129238,SingleFamily,1559 Whatcom Rd,Prince Charles Elementary, V3G 2K4,General Abbotsford District,1545447.048711885
33,3,2,1366.0,1,1244.0,43.0,49.05421805,-122.33508182982663,178,377.7331189710611,2024,7,459.4727657781258,578.489509987001,Condo,32097 Tims Ave,King Traditional Elementary, V2T 2H3,Clearbrook,495159.335222993
34,5,2,2323.0,4,4363.0,34.0,49.0681729,-122.2451125,178,229.19894567957823,2024,7,440.48782765423846,526.2962587859417,SingleFamily,35331 Sandy Hill Rd,King Traditional Elementary, V2S 8M1,Upper Ten Oaks,1007758.1660271712
35,1,1,692.0,1,1519.0,17.0,49.0372755,-122.29475570135386,181,269.8485845951284,2024,7,3116.284783452502,335.3858428249524,Condo,33545 Rainbow Ave,Margaret Stenersen Elementary, V2S 0B9,Mill Lake,402187.7384514312
36,2,2,879.0,2,1806.0,15.0,49.0381306,-122.2936557,181,293.4108527131783,2024,7,5905.3029991019575,68.83507510049593,Condo,1975 Mccallum Rd,Prince Charles Elementary, V2S 3N3,Mill Lake,525376.4771218012
37,5,3,2585.0,4,4713.0,25.0,49.0530695,-122.2675003,181,265.01166984935287,2024,7,1847.4747474912767,668.7464067497515,SingleFamily,34613 Quarry Ave,Centennial Park Elementary, V2S 4H3,General Abbotsford District,1255693.412870999
38,3,2,2158.0,0,4270.0,43.0,49.065393,-122.2432137,181,269.3208430913349,2024,7,3598.323555068956,1043.9988797017502,SingleFamily,35215 Mckee Rd,Dormick Park Elementary, V3G 3B1,Upper Ten Oaks,1150133.9547867244
39,3,2,2194.0,2,2294.0,42.0,49.0535685,-122.3111558,181,294.2022667829119,2024,7,2424.62745296483,656.0222693622827,Townhouse,32917 Amicus Pl,Margaret Stenersen Elementary, V2S 6G9,City Centre,680710.5762834592
40,3,2,1414.0,3,2728.0,15.0,49.0308236,-122.3266547,181,263.8929618768328,2024,7,4491.894603553687,672.6802372278856,Townhouse,34248 King Rd,Dasmesh Punjabi School, V2T 5Z5,North Poplar,730494.5829257738
41,4,2,1919.0,8,4697.0,49.0,49.0499795,-122.2735494,183,234.1707472855014,2024,7,1409.9764541224238,638.6383619891775,SingleFamily,2666 Stewart Cres,Alexander Elementary, V2S 8G9,General Abbotsford District,1098508.4616734316
42,3,3,2205.0,10,3818.0,14.0,49.1205646,-122.2958685,183,654.7668936616029,2024,7,1430.1456855324177,585.5163436403008,SingleFamily,35625 Page Rd,Alexander Elementary, V4X 1T9,Riverside,2437591.02281139
43,1,1,626.0,1,1543.0,8.0,49.0475622,-122.2825854,183,272.00259235256,2024,7,989.9168973884535,383.9249378704001,Condo,2565 Campbell Ave,Alexander Elementary, V2S 2K1,General Abbotsford District,413063.7308274786
44,2,1,900.0,6,4206.0,64.0,49.0394705,-122.28266759840676,183,237.7318116975749,2024,7,989.9168973884535,383.9249378704001,SingleFamily,2055 Mckenzie Rd,Alexander Elementary, V2S 3Z6,McCallum,996081.8008296425
45,2,1,925.0,2,755.0,49.0,49.0360931,-122.2876542,183,410.4635761589404,2024,7,9423.308876278785,299.7046546938462,Condo,1909 Salton Rd,Dave Kandal Elementary, V2S 3W6,McCallum,320075.4887357628
46,3,1,1134.0,2,1469.0,49.0,49.0360931,-122.2876542,183,224.57454050374403,2024,7,7702.021587596404,205.05034413209503,Condo,1909 Salton Rd,Rick Hansen Secondary, V2S 3W6,McCallum,352522.25224108703
47,1,1,532.0,1,1245.0,15.0,49.06214845,-122.3794356336891,183,305.22088353413653,2024,7,2794.9959111480666,622.2353375687239,Condo,30515 Cardinal Ave,William A. Fraser Middle School, V2T 0A8,General Abbotsford District,386681.59084623074
48,3,2,1335.0,2,2866.0,5.0,49.0685579,-122.3632969,184,275.2965806001396,2024,7,3401.1219678454945,896.6202955781685,Townhouse,30930 Westridge Pl,Dormick Park Elementary, V2T 0G6,Westerleigh,787342.4117772811
49,4,2,1895.0,6,3810.0,50.0,49.0449475,-122.2700536,184,275.56430446194224,2024,7,6272.857628694765,424.2474799570816,SingleFamily,2284 Midas St,Prince Charles Elementary, V2S 8G2,McMillan,1052532.253529543
50,3,2,1871.0,6,4767.0,47.0,49.0372676,-122.32549852136952,184,236.5638766519824,2024,7,7702.021587596404,205.05034413209503,SingleFamily,32436 Cordova Ave,Rick Hansen Secondary, V2T 3Y7,South Clearbrook,1127038.3092668548
51,3,2,1514.0,5,5213.0,21.0,49.061669,-122.2394856,184,189.7180126606561,2024,7,3598.323555068956,1043.9988797017502,SingleFamily,3274 Goldstream Dr,Dormick Park Elementary, V3G 2Y6,Highlands,984825.6744987629
52,2,2,1280.0,2,2204.0,4.0,49.0685579,-122.3632969,184,339.3829401088929,2024,7,17973.05942824074,7525.60917286433,Townhouse,30930 Westridge Pl,Barrowtown Elementary, V2T 0G6,Westerleigh,743321.793735527
53,3,2,2034.0,2,2457.0,36.0,49.0308236,-122.3266547,184,309.2796092796093,2024,7,17673.96072154331,2981.3409739641065,Townhouse,33922 King Rd,Aberdeen Elementary, V2T 5Z5,North Poplar,759511.4841427304
54,2,1,928.0,2,1579.0,44.0,49.0118384,-122.1345217,184,284.914502849905,2024,7,4734.584593780857,305.1564906857133,Townhouse,34909 Old Yale Rd,ASIA - North Poplar, V3G 1T7,General Abbotsford District,445555.35048534005
55,3,2,1366.0,3,2774.0,5.0,49.0566354,-122.4540125,185,282.984859408796,2024,6,7702.021587596404,205.05034413209503,Townhouse,27735 Roundhouse Dr,Rick Hansen Secondary, V4X 2S8,General Abbotsford District,783000.6372236476
56,1,1,661.0,1,934.0,50.0,49.0423836,-122.3377463419194,188,299.78586723768734,2024,6,7832.377007301098,166.33646871467627,Condo,2211 Clearbrook Rd,Blue Jay Elementary, V2T 2X4,South Clearbrook,263516.50734233373
57,2,2,883.0,2,2048.0,3.0,49.0685579,-122.3632969,185,287.59765625,2024,6,1409.9764541224238,638.6383619891775,Condo,31158 Westridge Pl,Alexander Elementary, V2T 0G6,Westerleigh,582476.3089478164
58,5,3,3613.0,6,5036.0,28.0,49.0571634,-122.3653252,188,277.9785544082605,2024,6,492.1553349294561,511.2239168355092,SingleFamily,31481 Southern Dr,Abbotsford Senior Secondary School, V2T 6X5,General Abbotsford District,1404031.9986858342
59,3,2,1052.0,2,2297.0,10.0,49.0475622,-122.2825854,188,256.8132346538964,2024,6,4988.125708783725,583.4340709660017,Condo,2565 Campbell Ave,Ten Broeck Elementary, V2S 2K1,General Abbotsford District,585541.7536441954
60,4,3,1825.0,2,2843.0,0.0,49.0523538,-122.2971927,188,369.3281744635948,2024,6,4694.022031831256,255.55740490921855,MultiFamily,33580 Huggins Ave,Colleen And Gordie Howe Middle School, V2S 2R9,General Abbotsford District,1041118.1293900202
61,2,2,1105.0,1,1518.0,31.0,49.0499662,-122.3399692,190,296.3768115942029,2024,6,7229.5624618597,499.69229264253033,Condo,2626 Countess St,Mountain Elementary, V2T 5P3,Clearbrook,455382.6326183771
62,4,3,2839.0,2,4911.0,40.0,49.0634919,-122.3362259,190,244.3266137242924,2024,6,3375.6163139729715,352.1670347741101,SingleFamily,32076 Ashcroft Dr,Dr Roberta Bondar Elementary, V2T 5C3,North Clearbrook,1204271.6143173026
63,3,2,2340.0,4,4226.0,3.0,49.0419146,-122.230193,190,316.8007572172267,2024,6,863.1264580581504,203.03022103326805,SingleFamily,35873 Timberlane Dr,Terry Fox Elementary, V3G 1E6,General Abbotsford District,1343215.956541004
64,4,3,3630.0,6,4948.0,39.0,49.0693745,-122.3226013,190,282.92239288601456,2024,6,9387.177042346242,785.6369745656166,SingleFamily,3711 Qualicum St,Auguston Traditional Elementary, V2T 5A5,North Clearbrook,1395682.9341456722
65,3,2,1590.0,3,3908.0,45.0,49.0545005,-122.3010465,190,227.482088024565,2024,6,3107.9838712831174,382.93330098833735,SingleFamily,2894 Willband St,Yale Secondary, V2S 5V7,General Abbotsford District,884104.9873674489
66,3,2,1935.0,2,3259.0,15.0,49.0791653,-122.2127651,190,260.7855170297637,2024,6,926.1081307408656,221.72792678810325,Townhouse,35626 Mckee Rd,King Traditional Elementary, V3G 0A4,Straiton,843019.7051666884
67,6,3,3004.0,6,4957.0,29.0,49.0514511,-122.2674542,190,272.34194068993344,2024,6,1602.4651581597373,853.7599948630342,SingleFamily,2607 Blackham Dr,Alexander Elementary, V2S 8G9,General Abbotsford District,1350019.2199699257
68,2,2,892.0,1,1899.0,2.0,49.0301721,-122.29256472348604,191,329.1205897840969,2024,6,2208.5962655411736,973.000361738635,Condo,1514 Mccallum Rd,Godson Elementary, V2S 0K7,UDistrict,614315.5927810917
69,1,1,603.0,1,1374.0,17.0,49.049682,-122.2810001,191,267.83114992721977,2024,6,5999.580012305941,454.07426876958056,Condo,2515 Park Dr,Ten Broeck Elementary, V2S 2K1,General Abbotsford District,369851.9784873255
70,2,2,895.0,2,3188.0,6.0,49.04150345,-122.3149655554006,192,250.90966122961103,2024,6,8411.003826605855,339.40086235748083,Condo,2180 Gladwin Rd,Auguston Traditional Elementary, V2S 0H4,Mill Lake,798316.7913481301
71,6,3,4177.0,2,5813.0,31.0,49.0524867,-122.3489951,191,249.42164114914848,2024,6,2393.7740624541493,1155.977955859665,SingleFamily,31600 Old Yale Rd,William A. Fraser Middle School, V2T 2B5,General Abbotsford District,1437334.5450883277
72,4,3,2167.0,4,4130.0,23.0,49.0805578,-122.2219718,191,266.319612590799,2024,6,4181.8806348721255,297.5121801756049,SingleFamily,36262 Auguston Pky S,Dr Thomas A Swift Elementary, V3G 2Z1,Auguston,1093004.667553662
73,2,2,1004.0,1,1551.0,31.0,49.0382369,-122.2739641,191,257.2533849129594,2024,6,3598.323555068956,1043.9988797017502,Condo,33887 Marshall Rd,Dormick Park Elementary, V2S 6Y3,General Abbotsford District,394875.6449419184
74,2,2,1228.0,1,2121.0,37.0,49.0618097,-122.2586724,191,280.52805280528054,2024,6,5258.653975225971,489.7699325852251,Townhouse,3292 Vernon Terr,Colleen And Gordie Howe Middle School, V2S 6W7,Lower Ten Oaks,596849.8662859949
75,1,1,785.0,1,909.0,34.0,49.0308236,-122.3266547,192,252.9152915291529,2024,6,7045.545170849043,337.7238984571918,Condo,33535 King Rd,Mountain Elementary, V2T 5Z5,North Poplar,215935.54058367395
76,5,2,2044.0,6,4644.0,45.0,49.06080194970801,-122.3417178979045,196,247.41602067183464,2024,6,7703.54724338053,257.5067234969526,SingleFamily,3245 Jervis Cres,Eugene Reimer Middle School, V2T 4R8,General Abbotsford District,1142871.5691217768
77,4,2,2547.0,2,4241.0,38.0,49.0450334,-122.2318275,196,259.34921009195943,2024,6,2097.0565972615427,442.5653752661019,SingleFamily,35882 Eaglecrest Dr,Centennial Park Elementary, V3G 1E6,Lower Sumas Mountain,1111191.8141080486
78,5,3,3254.0,4,4898.0,33.0,49.0626079,-122.3638239,196,285.6267864434463,2024,6,2773.453756449712,279.1838463986948,SingleFamily,3273 Deertrail Dr,Chief Dan George Middle, V2T 5J6,Townline Hill,1391074.2843477451
79,3,1,1185.0,1,1395.0,48.0,49.05469375,-122.31331833339728,195,286.02150537634407,2024,6,2538.630949387248,196.62628128662277,Condo,32870 George Ferguson Way,Chief Dan George Middle, V2S 7K1,City Centre,427357.1386658036
80,4,3,2094.0,0,4255.0,41.0,49.069516500000006,-122.31640220976142,196,251.2338425381904,2024,6,5106.127452572507,148.98732783042306,SingleFamily,3720 Nanaimo Cres,Clayburn Middle School, V2T 4Z7,North Clearbrook,1093925.4180983317
81,4,3,2603.0,6,4704.0,44.0,49.0698415,-122.313750655,195,265.7100340136054,2024,6,434.3198851083261,596.4983006418606,SingleFamily,3754 Balsam Cres,King Traditional Elementary, V2S 7A3,General Abbotsford District,1253947.1933701753
82,5,3,2626.0,7,4961.0,25.0,49.0725703,-122.2516988,196,262.0437411812135,2024,6,1751.8644342695875,1011.1015000284284,SingleFamily,35184 Kootenay Dr,Alexander Elementary, V2S 8K3,General Abbotsford District,1305558.7840285813
83,1,1,733.0,1,1587.0,16.0,49.03769595,-122.2947824856993,196,251.92186515437933,2024,6,4640.6327834626645,437.2911488022875,Condo,33546 Holland Ave,Sandy Hill Elementary, V2S 0C1,Mill Lake,407387.0141951347
84,6,2,2783.0,5,5168.0,52.0,49.0509754,-122.2797651,197,261.22271671826627,2024,6,2348.583242897415,157.90177717716358,SingleFamily,34245 Larch St,Centennial Park Elementary, V2S 2V5,General Abbotsford District,1352823.5527665552
85,4,2,2374.0,6,4305.0,40.0,49.0546466,-122.2537767,198,267.13124274099886,2024,6,10233.752288434716,1503.642954770015,SingleFamily,2905 Glenshiel Dr,Auguston Traditional Elementary, V2S 7L7,General Abbotsford District,1142349.4635057512
86,1,1,393.0,1,1240.0,9.0,49.0581244,-122.31510602273046,198,270.0806451612903,2024,6,2946.9162370780955,364.2708655359099,Condo,3090 Gladwin Rd,Margaret Stenersen Elementary, V2T 0H5,General Abbotsford District,349618.61687289283
87,4,3,2175.0,4,4396.0,4.0,49.0884836,-122.206133,197,267.0609645131938,2024,6,3129.8459746508765,305.20106891946443,SingleFamily,4728 Carl Creek Lane,John Maclure Community School, V3G 0A4,General Abbotsford District,1164736.4571640324
88,6,3,2671.0,4,4636.0,11.0,49.0515232,-122.2689197,198,278.2355478861087,2024,6,7228.817315757623,227.48333526342577,SingleFamily,2732 Tylney Lane,St James, V2S 8G9,McMillan,1301515.338716088
89,3,1,1205.0,1,2254.0,43.0,49.0597412,-122.3222066,197,279.05944986690326,2024,6,17973.05942824074,7525.60917286433,Townhouse,32550 Maclure Rd,Barrowtown Elementary, V2T 4N3,General Abbotsford District,632705.9799365783
90,5,3,4378.0,9,16565.0,39.0,49.0541345,-122.3600148,199,494.7177784485361,2024,6,2386.047959788365,687.800682574864,SingleFamily,1777 Townline Rd,Margaret Stenersen Elementary, V2T 5E5,General Abbotsford District,7152701.837462565
91,1,1,868.0,2,1483.0,44.0,49.0118384,-122.1345217,199,286.51382333108563,2024,6,7228.817315757623,227.48333526342577,Townhouse,34909 Old Yale Rd,St James, V3G 1T7,General Abbotsford District,426240.76012526714
92,6,3,4429.0,4,6524.0,11.0,49.0601528,-122.2753235,199,245.23298589822195,2024,6,7265.285940391306,571.3613173240199,SingleFamily,27892 Maclure Rd,Mountain Elementary, V2S 7L4,Lower Ten Oaks,1604829.8089024336
93,3,2,1647.0,5,4460.0,34.0,49.0541345,-122.3600148,199,232.0627802690583,2024,6,4619.683970845302,488.4394536384465,SingleFamily,3149 Townline Rd,Colleen And Gordie Howe Middle School, V2T 5E5,General Abbotsford District,1018152.3236698173
94,3,2,2277.0,4,3460.0,20.0,49.039175,-122.2299245,199,241.3294797687861,2024,6,6446.396654900207,237.66022073269235,Townhouse,2088 Winfield Dr,Abbotsford Traditional School, V3G 2C6,General Abbotsford District,828016.9587515785
95,2,2,1338.0,1,1649.0,31.0,49.0516586,-122.33658111393218,199,303.1534263189812,2024,6,625.486114103509,233.5576189051117,Condo,32044 Old Yale Rd,Abbotsford Senior Secondary School, V2T 2C9,Clearbrook,497498.80140101165
96,4,3,2406.0,2,4411.0,3.0,49.0452033,-122.3531633,199,249.3538880072546,2024,6,3595.7974041544094,292.7487411621954,MultiFamily,32549 Peardonville Rd,W J Mouat Secondary, V2T 6L1,General Abbotsford District,1089042.425950398
97,2,2,909.0,1,1751.0,17.0,49.0463021,-122.3007693,199,296.9160479725871,2024,6,1836.237050818586,686.2858724789616,Condo,33318 Bourquin Cres E,Centennial Park Elementary, V2S 0A6,Mill Lake,515910.248921697
98,2,2,1060.0,2,2377.0,7.0,49.0573351,-122.3268444,203,260.7909129154396,2024,6,5905.3029991019575,68.83507510049593,Condo,2860 Trethewey St,Prince Charles Elementary, V2T 3R3,Clearbrook,627831.4196030219
99,2,1,854.0,1,1277.0,43.0,49.053192300000006,-122.3111074942931,202,281.8324197337509,2024,6,926.1081307408656,221.72792678810325,Condo,32950 Amicus Pl,King Traditional Elementary, V2S 6G9,City Centre,363147.8918918296
100,5,3,5329.0,4,7148.0,19.0,49.065393,-122.2432137,202,251.8047006155568,2024,6,625.486114103509,233.5576189051117,SingleFamily,35519 Mckee Rd,Abbotsford Senior Secondary School, V3G 3B1,Upper Ten Oaks,1810637.2108281832
101,2,2,802.0,2,864.0,2.0,49.0301721,-122.29256472348604,202,613.4247685185185,2024,6,1123.847133644476,443.2544149107301,Condo,1514 Mccallum Rd,Terry Fox Elementary, V2S 0K7,UDistrict,558535.8348023015
102,2,2,992.0,2,1995.0,17.0,49.0463021,-122.3007693,202,273.1328320802005,2024,6,6153.228972624265,584.5272455083543,Condo,33318 Bourquin Cres E,Ten Broeck Elementary, V2S 0A6,Mill Lake,547166.9347970209
103,2,2,1235.0,1,1824.0,32.0,49.05200425,-122.30457098317368,202,287.77412280701753,2024,6,1670.1209436757529,818.6824369527094,Condo,33175 Old Yale Rd,Centennial Park Elementary, V2S 2J4,City Centre,531730.4476912002
104,6,3,2702.0,6,4736.0,49.0,49.0496884,-122.3504692995283,202,263.7246621621622,2024,6,4891.667171180313,484.7249049227438,SingleFamily,2614 Valemont Cres,Colleen And Gordie Howe Middle School, V2T 3V5,General Abbotsford District,1250057.1753238156
105,2,2,1185.0,2,1261.0,37.0,49.05463405,-122.3092929756088,204,340.91990483743064,2024,6,3095.9721842693925,421.3773925796748,Townhouse,2901 Trafalgar St,John Maclure Community School, V2S 7Y1,City Centre,426839.58476859896
106,2,1,1032.0,1,1196.0,42.0,49.0522093,-122.3390107,204,376.1705685618729,2024,6,2958.792775969664,589.9747209199493,Condo,31955 Old Yale Rd,John Maclure Community School, V2T 4N1,Clearbrook,449279.40951066226
107,4,2,2375.0,7,4945.0,41.0,49.063181,-122.321275,204,270.9807886754297,2024,6,3266.194094515572,613.1743130458019,SingleFamily,3363 Okanagan Dr,William A. Fraser Middle School, V2T 4Z2,North Clearbrook,1336020.1662104444
108,4,2,2916.0,8,5018.0,40.0,49.0470211,-122.321776,204,236.12993224392187,2024,6,641.0420140860343,832.7844354916622,SingleFamily,32554 Murray Ave,Alexander Elementary, V2T 4T5,City Centre,1186106.0125089441
109,5,3,2688.0,6,4309.0,43.0,49.0364694,-122.2661687,204,271.52471571130195,2024,6,9371.91622268153,205.2833051335369,SingleFamily,35387 Delair Rd,Dave Kandal Elementary, V2S 2E1,McMillan,1169285.4945889502
110,2,2,1253.0,2,2500.0,0.0,49.0539741,-122.292015,204,273.96,2024,6,9387.177042346242,785.6369745656166,Townhouse,2886 Montrose Ave,Auguston Traditional Elementary, V2S 5C1,General Abbotsford District,675582.7246409728
111,6,4,3230.0,6,5175.0,21.0,49.0693873,-122.3784549,204,287.69082125603865,2024,6,7702.021587596404,205.05034413209503,SingleFamily,30490 Northridge Way,Rick Hansen Secondary, V2T 6T5,General Abbotsford District,1491395.4559253533
112,3,2,1924.0,4,3274.0,14.0,49.0791653,-122.2127651,204,277.9474648747709,2024,6,1654.4621449736333,766.3068410044657,Townhouse,35626 Mckee Rd,Terry Fox Elementary, V3G 0A4,Straiton,908437.5549980366
113,2,2,859.0,1,2128.0,3.0,49.0685579,-122.3632969,206,281.8609022556391,2024,6,7113.559567684076,382.4090098463699,Condo,31158 Westridge Pl,Mountain Elementary, V2T 0G6,Westerleigh,597021.0911737471
114,3,2,1951.0,2,2271.0,38.0,49.0563957,-122.3087573,206,321.4002642007926,2024,6,989.9168973884535,383.9249378704001,Townhouse,3055 Trafalgar St,Alexander Elementary, V2S 7X5,City Centre,734424.7901016932
