mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice
R2887360,445000.0,1.0,1.0,"13750 100 Avenue, Surrey, BC, Canada",462.0,1.0,1884.0,969.0,2017.0,Condo,21/06/2024,2024-05-26,448000.0
R2886140,1320000.0,3.0,2.0,"8632 148 A Street, Surrey, BC, Canada",1813.0,2.0,4652.0,744.0,1989.0,SingleFamily,21/06/2024,2024-05-26,1349900.0
R2889054,595000.0,2.0,2.0,"13353 108 Avenue, Surrey, BC, Canada",1199.0,2.0,2548.0,533.0,1994.0,Condo,21/06/2024,2024-05-28,639666.0
R2893527,570000.0,2.0,2.0,"12739 72 Avenue, Surrey, BC, Canada",1049.0,2.0,2148.0,571.0,1996.0,Condo,21/06/2024,2024-06-10,599000.0
R2877938,700000.0,2.0,2.0,"15385 101 A Avenue, Surrey, BC, Canada",1188.0,1.0,2646.0,620.0,2006.0,Condo,21/06/2024,2024-04-23,737000.0
R2875538,570000.0,2.0,1.0,"14438 72 Avenue, Surrey, BC, Canada",686.0,1.0,1706.0,852.0,2022.0,Condo,21/06/2024,2024-04-28,585000.0
R2894024,1429000.0,6.0,3.0,"6022 Morgan Drive, Surrey, BC, Canada",2433.0,6.0,5323.0,595.0,1991.0,SingleFamily,21/06/2024,2024-06-11,1449900.0
R2892340,1564000.0,8.0,4.0,"8870 127 Street, Surrey, BC, Canada",3092.0,0.0,5666.0,516.0,1979.0,SingleFamily,21/06/2024,2024-06-10,1598000.0
R2880747,635000.0,2.0,1.0,"14153 104 Avenue, Surrey, BC, Canada",1089.0,1.0,2226.0,587.0,1974.0,Townhouse,21/06/2024,2024-05-07,639900.0
R2884638,2370000.0,4.0,3.0,"16275 28 Avenue, Surrey, BC, Canada",4509.0,8.0,7029.0,596.0,1977.0,SingleFamily,20/06/2024,2024-05-20,2688000.0
R2888083,474000.0,1.0,1.0,"13228 Old Yale Road, Surrey, BC, Canada",626.0,1.0,1925.0,782.0,2014.0,Condo,20/06/2024,2024-05-25,489800.0
R2888344,1465000.0,4.0,3.0,"12838 26 Avenue, Surrey, BC, Canada",2596.0,3.0,4954.0,558.0,2009.0,SingleFamily,20/06/2024,2024-05-28,1450000.0
