mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice
R2664842,770000.0,2.0,2.0,"8940 University Cres, Burnaby, BC, Canada",952.0,1.0,928.0,839.0,2021.0,Condo,23/05/2022,2022-03-14,799000.0
R2689224,789000.0,2.0,1.0,"6577 Southoaks Cres, Burnaby, BC, Canada",1184.0,2.0,1959.0,666.0,1996.0,Townhouse,23/05/2022,2022-05-15,789000.0
R2689953,2150000.0,6.0,3.0,"2962 Camrose Dr, Burnaby, BC, Canada",3671.0,4.0,4873.0,571.0,1978.0,SingleFamily,23/05/2022,2022-05-16,2099000.0
R2688869,1300000.0,2.0,2.0,"4570 Hastings St, Burnaby, BC, Canada",1084.0,1.0,2776.0,1153.0,2012.0,Condo,23/05/2022,2022-05-15,1250000.0
R2681147,623000.0,2.0,1.0,"4165 Maywood St, Burnaby, BC, Canada",943.0,1.0,1456.0,689.0,1982.0,Condo,26/05/2022,2022-04-25,649900.0
R2690473,645000.0,2.0,2.0,"9098 Halston Crt, Burnaby, BC, Canada",888.0,1.0,1751.0,646.0,2007.0,Condo,26/05/2022,2022-05-17,574000.0
R2693117,2100000.0,9.0,4.0,"6590 Aubrey St, Burnaby, BC, Canada",4358.0,5.0,5642.0,502.0,1949.0,SingleFamily,26/05/2022,2022-05-25,2188000.0
R2691218,688000.0,2.0,2.0,"6283 Kingsway, Burnaby, BC, Canada",759.0,1.0,1783.0,922.0,2018.0,Condo,26/05/2022,2022-05-18,699800.0
R2689689,900000.0,2.0,2.0,"4508 Hazel St, Burnaby, BC, Canada",909.0,1.0,2673.0,879.0,2015.0,Condo,25/05/2022,2022-05-16,799900.0
R2689532,613000.0,2.0,2.0,"9603 Manchester Dr, Burnaby, BC, Canada",857.0,1.0,1485.0,700.0,1994.0,Condo,26/05/2022,2022-05-15,599900.0
R2689400,535000.0,1.0,1.0,"5288 Beresford St, Burnaby, BC, Canada",615.0,1.0,1416.0,893.0,2014.0,Condo,28/05/2022,2022-05-15,549800.0
R2693641,391500.0,1.0,1.0,"9009 Cornerstone Mews, Burnaby, BC, Canada",423.0,1.0,1032.0,936.0,2009.0,Condo,29/05/2022,2022-05-26,396000.0
R2692236,2102800.0,6.0,5.0,"5910 Mckee St, Burnaby, BC, Canada",2805.0,4.0,5485.0,712.0,2005.0,SingleFamily,29/05/2022,2022-05-23,1999000.0
R2693109,547000.0,2.0,1.0,"1955 Woodway Pl, Burnaby, BC, Canada",939.0,1.0,1334.0,572.0,1978.0,Condo,28/05/2022,2022-05-24,538000.0
R2684235,470000.0,1.0,1.0,"9280 Salish Crt, Burnaby, BC, Canada",738.0,1.0,1313.0,593.0,1977.0,Condo,29/05/2022,2022-05-02,438000.0
R2680300,965000.0,2.0,2.0,"1888 Gilmore Ave, Burnaby, BC, Canada",882.0,1.0,2756.0,1110.0,2020.0,Condo,28/05/2022,2022-04-22,979700.0
R2693075,467000.0,1.0,1.0,"9025 Highland Crt, Burnaby, BC, Canada",534.0,1.0,1182.0,887.0,2013.0,Condo,29/05/2022,2022-05-24,474000.0
R2693019,975000.0,3.0,1.0,"2865 Neptune Cres, Burnaby, BC, Canada",1910.0,1.0,2143.0,502.0,1973.0,Townhouse,29/05/2022,2022-05-25,959000.0
R2694720,535000.0,1.0,1.0,"4657 Hazel St, Burnaby, BC, Canada",768.0,1.0,1555.0,696.0,1993.0,Condo,30/05/2022,2022-05-30,535000.0
R2692868,688000.0,2.0,1.0,"6540 Burlington Ave, Burnaby, BC, Canada",1091.0,1.0,1560.0,622.0,1983.0,Condo,31/05/2022,2022-05-24,679000.0
R2688812,795000.0,2.0,2.0,"5611 Goring St, Burnaby, BC, Canada",1043.0,1.0,2048.0,766.0,2008.0,Condo,30/05/2022,2022-05-13,799000.0
R2693639,2180000.0,6.0,5.0,"1791 Delta Ave, Burnaby, BC, Canada",3718.0,3.0,6553.0,615.0,2009.0,SingleFamily,30/05/2022,2022-05-24,2288000.0
R2691695,1900000.0,4.0,3.0,"89 Ellesmere Ave, Burnaby, BC, Canada",2863.0,3.0,5149.0,659.0,1992.0,SingleFamily,30/05/2022,2022-05-23,1888000.0
R2692003,405000.0,1.0,1.0,"9847 Manchester Dr, Burnaby, BC, Canada",640.0,1.0,974.0,593.0,1980.0,Condo,30/05/2022,2022-05-23,379900.0
R2691872,850000.0,2.0,1.0,"7335 Magnolia Terr, Burnaby, BC, Canada",1018.0,2.0,1876.0,784.0,2000.0,Townhouse,30/05/2022,2022-05-23,799000.0
R2689071,490000.0,1.0,1.0,"3768 Hastings St, Burnaby, BC, Canada",677.0,1.0,1282.0,737.0,1998.0,Condo,03/06/2022,2022-05-15,499000.0
R2694895,698500.0,2.0,2.0,"7131 Stride Ave, Burnaby, BC, Canada",817.0,1.0,1772.0,881.0,2014.0,Condo,03/06/2022,2022-05-30,719800.0
R2693047,2736000.0,7.0,4.0,"5289 Laurel St, Burnaby, BC, Canada",4458.0,2.0,6591.0,625.0,2013.0,SingleFamily,03/06/2022,2022-05-25,2788000.0
R2694645,1298000.0,3.0,2.0,"6628 Nelson Ave, Burnaby, BC, Canada",1425.0,2.0,3306.0,910.0,2017.0,Townhouse,03/06/2022,2022-05-30,1298000.0
R2694153,520000.0,1.0,1.0,"7377 14th Ave, Burnaby, BC, Canada",614.0,1.0,1394.0,861.0,2013.0,Condo,02/06/2022,2022-05-29,528800.0
R2692258,600000.0,1.0,1.0,"6088 Willingdon Ave, Burnaby, BC, Canada",790.0,1.0,1557.0,772.0,1999.0,Condo,02/06/2022,2022-05-23,610000.0
R2693929,785000.0,2.0,2.0,"7063 Hall Ave, Burnaby, BC, Canada",902.0,1.0,2029.0,886.0,2007.0,Condo,03/06/2022,2022-05-29,799900.0
R2684009,558000.0,1.0,1.0,"7063 Hall Ave, Burnaby, BC, Canada",580.0,1.0,1348.0,1010.0,2007.0,Condo,05/06/2022,2022-05-02,586000.0
R2694595,758000.0,2.0,2.0,"7058 14Th Ave, Burnaby, BC, Canada",879.0,1.0,2001.0,853.0,2015.0,Condo,05/06/2022,2022-05-29,749900.0
R2693936,612000.0,1.0,1.0,"5665 Irmin St, Burnaby, BC, Canada",680.0,1.0,1539.0,866.0,2010.0,Condo,05/06/2022,2022-05-29,589000.0
R2686145,840000.0,2.0,2.0,"1888 Gilmore Ave, Burnaby, BC, Canada",785.0,1.0,2426.0,1081.0,2020.0,Condo,05/06/2022,2022-05-08,849000.0
R2694115,900000.0,2.0,2.0,"6461 Telford Ave, Burnaby, BC, Canada",910.0,1.0,2656.0,988.0,2014.0,Condo,05/06/2022,2022-05-29,899800.0
R2689959,660900.0,1.0,1.0,"7588 16Th St, Burnaby, BC, Canada",612.0,1.0,100717.0,1079.0,2023.0,Condo,05/06/2022,2022-05-15,660900.0
R2693998,780000.0,2.0,2.0,"9233 Government St, Burnaby, BC, Canada",1035.0,1.0,1931.0,675.0,2007.0,Condo,05/06/2022,2022-05-29,699000.0
R2689989,668000.0,2.0,2.0,"4567 Hazel St, Burnaby, BC, Canada",897.0,1.0,1846.0,779.0,1999.0,Condo,05/06/2022,2022-05-16,699000.0
R2694688,730000.0,2.0,2.0,"6240 Mckay Ave, Burnaby, BC, Canada",1165.0,1.0,1890.0,600.0,1990.0,Condo,07/06/2022,2022-05-29,699000.0
R2689663,720000.0,2.0,2.0,"9150 University High St, Burnaby, BC, Canada",1018.0,2.0,1813.0,712.0,2013.0,Condo,07/06/2022,2022-05-15,724900.0
R2694781,612000.0,1.0,1.0,"6860 Rumble St, Burnaby, BC, Canada",771.0,1.0,1385.0,776.0,1992.0,Condo,07/06/2022,2022-05-30,599000.0
R2695185,1175000.0,3.0,2.0,"9150 Ridgemoor Pl, Burnaby, BC, Canada",1811.0,2.0,2390.0,633.0,1983.0,Townhouse,07/06/2022,2022-05-31,1148000.0
R2678827,527500.0,1.0,1.0,"6611 Southoaks Cres, Burnaby, BC, Canada",610.0,1.0,1297.0,877.0,1999.0,Condo,07/06/2022,2022-04-19,535000.0
R2694178,545000.0,1.0,1.0,"2378 Alpha Ave, Burnaby, BC, Canada",454.0,1.0,1371.0,1231.0,2018.0,Condo,07/06/2022,2022-05-29,559000.0
R2698420,675000.0,1.0,1.0,"4510 Halifax Way, Burnaby, BC, Canada",532.0,1.0,1754.0,1219.0,2019.0,Condo,11/06/2022,2022-06-08,649000.0
R2698260,1050000.0,4.0,2.0,"8533 Cumberland Pl, Burnaby, BC, Canada",1570.0,0.0,2623.0,700.0,2006.0,Townhouse,10/06/2022,2022-06-08,1099888.0
R2687853,830000.0,2.0,2.0,"2225 Holdom Ave, Burnaby, BC, Canada",976.0,1.0,2159.0,890.0,2007.0,Condo,11/06/2022,2022-05-10,869000.0
R2689720,420000.0,1.0,1.0,"4363 Halifax St, Burnaby, BC, Canada",686.0,1.0,1177.0,626.0,1982.0,Condo,10/06/2022,2022-05-16,430000.0
R2698247,772000.0,2.0,2.0,"6288 Cassie Ave, Burnaby, BC, Canada",684.0,1.0,1993.0,1140.0,2020.0,Condo,11/06/2022,2022-06-08,780000.0
R2690470,548000.0,1.0,1.0,"5355 Lane St, Burnaby, BC, Canada",485.0,2.0,1371.0,1129.0,2020.0,Condo,10/06/2022,2022-05-17,548000.0
R2696768,625000.0,1.0,1.0,"2345 Madison Ave, Burnaby, BC, Canada",826.0,1.0,1656.0,1011.0,2007.0,Condo,11/06/2022,2022-06-05,635000.0
R2694715,539800.0,1.0,1.0,"7038 21st Ave, Burnaby, BC, Canada",661.0,1.0,1300.0,845.0,1999.0,Condo,10/06/2022,2022-05-29,559000.0
R2696687,636000.0,2.0,2.0,"7117 Antrim Ave, Burnaby, BC, Canada",924.0,1.0,1592.0,703.0,1997.0,Condo,13/06/2022,2022-06-05,650000.0
R2695486,485000.0,1.0,1.0,"3980 Carrigan Crt, Burnaby, BC, Canada",768.0,1.0,1159.0,650.0,1985.0,Condo,13/06/2022,2022-05-31,499900.0
R2696120,760100.0,2.0,2.0,"4808 Hazel St, Burnaby, BC, Canada",834.0,2.0,2075.0,836.0,2008.0,Condo,13/06/2022,2022-06-02,698000.0
R2697140,813000.0,2.0,2.0,"6878 Southpoint Dr, Burnaby, BC, Canada",989.0,2.0,2261.0,842.0,2006.0,Townhouse,13/06/2022,2022-06-06,833000.0
R2696890,710000.0,2.0,2.0,"4830 Bennett St, Burnaby, BC, Canada",1070.0,1.0,2121.0,653.0,1992.0,Condo,13/06/2022,2022-06-05,699000.0
R2697276,780000.0,2.0,2.0,"7383 Griffiths Dr, Burnaby, BC, Canada",934.0,2.0,1625.0,844.0,2000.0,Condo,13/06/2022,2022-06-06,789000.0
R2696012,821800.0,2.0,2.0,"4508 Hazel St, Burnaby, BC, Canada",778.0,1.0,2397.0,1026.0,2015.0,Condo,12/06/2022,2022-06-02,799000.0
R2690066,720000.0,2.0,2.0,"368 Ellesmere Ave, Burnaby, BC, Canada",920.0,2.0,1887.0,845.0,2009.0,Townhouse,13/06/2022,2022-05-16,778000.0
R2698296,760000.0,2.0,2.0,"2289 Yukon Cres, Burnaby, BC, Canada",879.0,1.0,2030.0,874.0,2008.0,Condo,16/06/2022,2022-06-08,769000.0
R2689807,920000.0,2.0,2.0,"1888 Gilmore Ave, Burnaby, BC, Canada",942.0,1.0,2920.0,995.0,2020.0,Condo,15/06/2022,2022-05-15,938000.0
R2696083,700000.0,1.0,1.0,"6080 Mckay Ave, Burnaby, BC, Canada",540.0,1.0,1262.0,1237.0,2021.0,Condo,15/06/2022,2022-06-01,668000.0
