mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice
R2603807,1122500.0,4.0,2.0,"10332 Johnson Wynd, Delta, BC, Canada",2188.0,3.0,3532.0,523.0,1973.0,SingleFamily,05/08/2021,2021-07-20,1145000.0
R2592768,1146000.0,4.0,3.0,"9005 James Pl, Delta, BC, Canada",3380.0,6.0,3944.0,345.0,1986.0,SingleFamily,04/08/2021,2021-06-14,1168000.0
R2607279,1360000.0,4.0,3.0,"11487 93 Ave, Delta, BC, Canada",2573.0,4.0,3479.0,504.0,1961.0,SingleFamily,12/08/2021,2021-08-04,1299000.0
R2868530,1325000.0,4.0,2.0,"11144 Hardy Pl, Delta, BC, Canada",2185.0,4.0,4219.0,612.0,1980.0,SingleFamily,17/04/2024,2024-04-08,1338000.0
R2570796,1290000.0,3.0,2.0,"6874 Chalet Crt, Delta, BC, Canada",2173.0,0.0,4481.0,620.0,1981.0,SingleFamily,11/08/2021,2021-04-22,1349000.0
R2594089,1315000.0,4.0,2.0,"5291 Williams Ave, Delta, BC, Canada",1978.0,4.0,4200.0,676.0,1974.0,SingleFamily,11/08/2021,2021-06-16,1338000.0
R2606180,1261000.0,4.0,2.0,"7770 Swanson Dr, Delta, BC, Canada",2141.0,5.0,3590.0,537.0,1977.0,SingleFamily,10/08/2021,2021-08-02,1149900.0
R2605266,1270000.0,4.0,2.0,"11494 75a Ave, Delta, BC, Canada",1894.0,2.0,3896.0,670.0,1972.0,SingleFamily,11/08/2021,2021-07-26,1269000.0
R2608008,412000.0,1.0,1.0,"11967 80 Ave, Delta, BC, Canada",480.0,1.0,1352.0,833.0,2018.0,Condo,17/08/2021,2021-08-04,399999.0
R2601500,410000.0,2.0,2.0,"11920 80 Ave, Delta, BC, Canada",1251.0,1.0,1536.0,327.0,1990.0,Condo,16/08/2021,2021-07-12,410000.0
R2609527,1302000.0,4.0,2.0,"1227 55St, Delta, BC, Canada",1886.0,6.0,4165.0,633.0,1970.0,SingleFamily,17/08/2021,2021-08-11,1195000.0
R2584826,1210000.0,4.0,2.0,"5154 47 Ave, Delta, BC, Canada",1574.0,2.0,5216.0,799.0,1954.0,SingleFamily,17/08/2021,2021-05-24,1259000.0
