,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
162,Apartment/Condominium,"$2,115",665 sqft,Yes,$881,R2902695,,Residential,2022,,"B409 - 14438 72 Ave, Surrey, BC",1,2,1,03/07/2024,"$586,300"
163,Apartment/Condominium,"$1,799",585 sqft,Yes,$768,R2902037,,Residential,2009,,"433 - 13321 102a Ave, Surrey, BC",1,1,1,03/07/2024,"$449,800"
164,Townhouse,"$2,960",1433 sqft,Yes,$593,R2901986,,Residential,2005,,"7 - 19250 65 Ave, Surrey, BC",3,4,2,03/07/2024,"$849,999"
165,Townhouse,"$3,690",2144 sqft,Yes,$522,R2902818,,Residential,2003,,"46 - 17097 64 Ave, Surrey, BC",3,3,2,03/07/2024,"$1,120,000"
166,Townhouse,"$3,220",1498 sqft,Yes,$533,R2902187,,Residential,2016,,"6 - 6388 140 St, Surrey, BC",2,3,2,03/07/2024,"$799,900"
167,Townhouse,"$3,261",1616 sqft,No,$550,R2902280,,Residential,1993,,"12 - 7140 132 St, Surrey, BC",2,3,4,03/07/2024,"$889,000"
168,Single Family Residence,"$4,979",1825 sqft,Yes,$712,R2901531,,Residential,1989,,"14285 67 Ave, Surrey, BC",3,4,0,02/07/2024,"$1,299,888"
169,Single Family Residence,"$3,982",4022 sqft,Yes,$472,R2901887,,Residential,2023,,"19351 71 Ave, Surrey, BC",6,8,4,02/07/2024,"$1,899,000"
170,Townhouse,"$3,553",2099 sqft,Yes,$475,R2901976,,Residential,2017,,"16 - 10433 158 St, Surrey, BC",3,4,2,02/07/2024,"$997,222"
171,Townhouse,"$2,473",1641 sqft,Yes,$425,R2900840,,Residential,1997,,"266 - 13888 70 Ave, Surrey, BC",2,2,2,02/07/2024,"$699,000"
172,Apartment/Condominium,,483 sqft,Yes,$908,R2901967,,Residential,2024,,"W213 - 13838 108 Ave, Surrey, BC",1,1,1,02/07/2024,"$439,000"
173,Townhouse,"$3,589",1948 sqft,Yes,$589,R2901733,,Residential,2016,,"160 - 2280 163 St, Surrey, BC",3,4,2,02/07/2024,"$1,148,000"
174,Single Family Residence,"$5,006",2710 sqft,Yes,$560,R2901199,,Residential,1988,,"15703 95 Ave, Surrey, BC",3,5,0,02/07/2024,"$1,518,000"
175,Apartment/Condominium,"$1,810",448 sqft,Yes,"$1,002",R2901443,,Residential,2017,,"811 - 13696 100 Ave, Surrey, BC",1,1,1,02/07/2024,"$449,000"
176,Townhouse,"$2,930",1310 sqft,Yes,$534,R2901602,,Residential,2009,,"50 - 6956 193 St, Surrey, BC",2,2,2,02/07/2024,"$699,997"
177,Apartment/Condominium,"$3,488",1697 sqft,Yes,$647,R2901258,,Residential,2009,,"105 - 16433 64 Ave, Surrey, BC",2,2,2,02/07/2024,"$1,099,000"
178,Apartment/Condominium,"$1,795",900 sqft,Yes,$443,R2900390,,Residential,1995,,"201 - 13870 70 Ave, Surrey, BC",1,1,1,02/07/2024,"$399,000"
179,Apartment/Condominium,"$1,972",839 sqft,Yes,$673,R2901177,,Residential,1993,,"103 - 8115 121a St, Surrey, BC",2,2,1,02/07/2024,"$564,888"
180,Townhouse,"$2,747",1983 sqft,Yes,$403,R2900146,,Residential,1990,,"3 - 13970 72 Ave, Surrey, BC",3,4,3,02/07/2024,"$799,888"
181,Apartment/Condominium,"$2,023",775 sqft,Yes,$754,R2901490,,Residential,2022,,"301 - 11077 Ravine Rd, Surrey, BC",2,2,1,02/07/2024,"$585,000"
182,Apartment/Condominium,"$2,074",888 sqft,Yes,$663,R2900818,,Residential,2009,,"405 - 14333 104 Ave, Surrey, BC",2,2,1,02/07/2024,"$588,800"
183,Single Family Residence,"$7,085",4761 sqft,Yes,$552,R2900423,,Residential,2022,,"6052 172 St, Surrey, BC",7,9,0,02/07/2024,"$2,629,888"
184,Single Family Residence,"$5,829",1588 sqft,Yes,"$1,132",R2901148,,Residential,1960,,"6228 138 St, Surrey, BC",2,4,5,02/07/2024,"$1,799,000"
185,Townhouse,"$3,410",1888 sqft,Yes,$544,R2900797,,Residential,2021,,"24 - 19255 Aloha Dr, Surrey, BC",2,4,2,02/07/2024,"$1,028,000"
186,Single Family Residence,"$7,595",4310 sqft,Yes,$487,R2901553,,Residential,2003,,"13082 103 A Ave, Surrey, BC",6,9,8,02/07/2024,"$2,099,900"
187,Townhouse,"$3,608",2402 sqft,Yes,$457,R2899995,,Residential,2004,,"1 - 17097 64 Ave, Surrey, BC",3,3,2,02/07/2024,"$1,100,000"
188,Single Family Residence,"$5,396",3633 sqft,Yes,$448,R2901310,,Residential,1991,,"15319 111a Ave, Surrey, BC",3,6,6,02/07/2024,"$1,630,000"
189,Single Family Residence,"$5,482",1995 sqft,No,$714,R2901439,,Residential,1978,,"18348 63a Ave, Surrey, BC",2,5,4,02/07/2024,"$1,425,000"
190,Single Family Residence,"$4,703",3084 sqft,Yes,$526,R2901482,,Residential,2020,,"12792 113 B Ave, Surrey, BC",4,6,6,02/07/2024,"$1,624,900"
191,Single Family Residence,"$5,370",2817 sqft,Yes,$663,R2901809,,Residential,1996,,"10970 155 St, Surrey, BC",4,5,4,02/07/2024,"$1,868,000"
192,Apartment/Condominium,"$1,840",853 sqft,Yes,$574,R2897322,,Residential,1994,,"409 - 12130 80 Ave, Surrey, BC",1,1,2,01/07/2024,"$490,000"
193,Townhouse,"$3,515",2200 sqft,Yes,$443,R2900064,,Residential,2005,,"14 - 15152 62a Ave, Surrey, BC",2,3,2,01/07/2024,"$974,900"
194,Townhouse,"$3,128",1500 sqft,No,$530,R2900981,,Residential,1979,,"121 - 9467 Prince Charles Blvd, Surrey, BC",2,3,2,02/07/2024,"$795,000"
195,Apartment/Condominium,,660 sqft,Yes,$908,R2902310,,Residential,2026,,"204 - 10984 Ravine Rd, Surrey, BC",1,2,1,01/07/2024,"$599,900"
196,Apartment/Condominium,,552 sqft,Yes,$958,R2901765,,Residential,2024,,"423 - 13968 Laurel Dr, Surrey, BC",1,1,1,01/07/2024,"$529,000"
197,Apartment/Condominium,"$3,208",1674 sqft,Yes,$686,R2900535,,Residential,2008,,"311 - 16477 64 Ave, Surrey, BC",2,2,2,01/07/2024,"$1,150,000"
198,Townhouse,"$2,955",1449 sqft,No,$655,R2900940,,Residential,2002,,"36 - 12110 75a Ave, Surrey, BC",2,3,3,01/07/2024,"$950,000"
199,Apartment,,927 sqft,No,$906,R2901096,,Residential,2024,$380,"314 - 163 175 A St, Surrey, BC",2,3,2,02/07/2024,"$839,900"
200,Apartment/Condominium,"$1,885",636 sqft,Yes,$707,R2901677,,Residential,2008,,"408 - 10707 139 St, Surrey, BC",1,1,1,01/07/2024,"$450,000"
201,Townhouse,"$2,770",1744 sqft,Yes,$573,R2900574,,Residential,2022,,"13 - 10488 124 St, Surrey, BC",3,4,2,01/07/2024,"$999,900"
202,Townhouse,,777 sqft,Yes,$707,R2901118,,Residential,2008,,"110 - 13958 108 Ave, Surrey, BC",1,2,1,01/07/2024,"$549,888"
203,Apartment/Condominium,,927 sqft,Yes,$906,R2901096,,Residential,2025,,"314 - 314 175 A St, Surrey, BC",2,3,2,01/07/2024,"$839,900"
204,Townhouse,"$2,779",1360 sqft,Yes,$602,R2900966,,Residential,2011,,"20 - 15405 31 Ave, Surrey, BC",2,2,2,01/07/2024,"$818,999"
205,Apartment/Condominium,,306 sqft,Yes,$944,R2900993,,Residential,2024,,"W223 - 10828 139a St, Surrey, BC",1,0,1,01/07/2024,"$289,000"
206,Townhouse,"$2,581",1650 sqft,Yes,$636,R2901130,,Residential,2015,,"32 - 16458 23a Ave, Surrey, BC",3,4,2,01/07/2024,"$1,050,000"
207,Townhouse,"$2,910",1760 sqft,Yes,$453,R2900579,,Residential,1991,,"29 - 16180 86 Ave, Surrey, BC",2,3,4,01/07/2024,"$798,000"
208,Townhouse,,1474 sqft,No,$203,R2901013,,Residential,1983,,"203 - 7064 133b St, Surrey, BC",2,3,2,01/07/2024,"$299,900"
209,Single Family Residence,"$5,527",3563 sqft,Yes,$502,R2900661,,Residential,2010,,"17766 69 Ave, Surrey, BC",3,5,4,01/07/2024,"$1,789,000"
210,Single Family Residence,"$4,953",1638 sqft,Yes,$854,R2900421,,Residential,1987,,"9218 158 St, Surrey, BC",2,3,7,01/07/2024,"$1,399,000"
211,Apartment/Condominium,"$1,937",538 sqft,Yes,$929,R2901847,,Residential,2023,,"1203 - 13350 Central Ave, Surrey, BC",1,1,1,01/07/2024,"$499,900"
212,Apartment/Condominium,,585 sqft,Yes,"$1,000",R2901559,,Residential,2025,,"2101 - 10428 Whalley Blvd, Surrey, BC",1,1,1,01/07/2024,"$585,000"
213,Single Family Residence,"$6,507",2907 sqft,Yes,$722,R2901489,,Residential,1970,,"14373 115 Ave, Surrey, BC",3,5,2,01/07/2024,"$2,099,000"
214,Townhouse,"$3,140",1391 sqft,Yes,$595,R2897830,,Residential,2005,,"10 - 8726 159 St, Surrey, BC",2,3,2,01/07/2024,"$829,000"
215,Townhouse,"$3,159",1973 sqft,Yes,$683,R2900547,,Residential,1995,,"7 - 13911 16 Ave, Surrey, BC",2,3,2,01/07/2024,"$1,349,000"
216,Townhouse,"$2,980",1506 sqft,Yes,$531,R2899773,,Residential,2005,,"80 - 12711 64 Ave, Surrey, BC",2,3,2,01/07/2024,"$799,777"
217,Single Family Residence,"$5,820",2258 sqft,Yes,$730,R2900525,,Residential,2010,,"6795 192 St Divers, Surrey, BC",4,7,3,01/07/2024,"$1,649,999"
218,Apartment/Condominium,"$1,788",525 sqft,Yes,$815,R2902458,,Residential,2014,,"429 - 13228 Old Yale Rd, Surrey, BC",1,1,1,01/07/2024,"$428,000"
219,Townhouse,"$2,478",1366 sqft,Yes,$512,R2900719,,Residential,1989,,"118 - 6841 138 St, Surrey, BC",2,2,2,01/07/2024,"$699,880"
220,Apartment/Condominium,"$1,898",519 sqft,Yes,$768,R2900806,,Residential,2017,,"808 - 13750 100 Ave, Surrey, BC",1,1,1,01/07/2024,"$398,750"
221,Townhouse,"$2,499",1542 sqft,No,$486,R2900278,,Residential,1978,,"151 - 7478 138 St, Surrey, BC",1,3,1,01/07/2024,"$749,900"
222,Single Family Residence,"$4,989",1832 sqft,Yes,"$2,183",R2902824,,Residential,1985,,"15063 91a Ave, Surrey, BC",1,3,0,01/07/2024,"$4,000,000"
223,Townhouse,"$2,969",1323 sqft,Yes,$604,R2900521,,Residential,2005,,"52 - 15175 62a Ave, Surrey, BC",2,3,2,01/07/2024,"$799,900"
224,Townhouse,"$2,554",1538 sqft,Yes,$486,R2901121,,Residential,1990,,"145 - 14154 103 Ave, Surrey, BC",2,2,1,01/07/2024,"$749,000"
225,Apartment/Condominium,"$2,154",1185 sqft,Yes,$556,R2901084,,Residential,1990,,"203 - 13918 72 Ave, Surrey, BC",2,2,2,01/07/2024,"$659,999"
226,Townhouse,"$2,831",1144 sqft,Yes,$680,R2900667,,Residential,2005,,"50 - 15075 60 Ave, Surrey, BC",2,2,2,01/07/2024,"$779,000"
227,Apartment/Condominium,"$1,834",1007 sqft,Yes,$531,R2900519,,Residential,1975,,"201 - 7426 138 St, Surrey, BC",1,2,1,01/07/2024,"$535,000"
228,Apartment/Condominium,"$1,425",410 sqft,Yes,$726,R2900709,,Residential,2021,,"331 - 10928 132 St, Surrey, BC",1,0,0,01/07/2024,"$298,000"
229,Apartment/Condominium,,797 sqft,Yes,"$1,041",R2901080,,Residential,2023,,"13428 105 Ave, Surrey, BC",2,2,2,01/07/2024,"$829,999"
230,Apartment/Condominium,"$2,387",1553 sqft,Yes,$460,R2900578,,Residential,1996,,"309 - 9650 148 St, Surrey, BC",2,2,2,01/07/2024,"$714,999"
231,Single Family Residence,,4434 sqft,Yes,$575,R2900303,,Residential,2024,,"15728 Mountain View Dr, Surrey, BC",5,7,4,01/07/2024,"$2,549,900"
232,Apartment/Condominium,,439 sqft,Yes,"$1,138",R2900439,,Residential,2022,,"1906 - 13359 Old Yale Rd, Surrey, BC",1,1,1,01/07/2024,"$500,000"
233,Single Family Residence,"$7,450",5502 sqft,Yes,$414,R2901164,,Residential,2019,,"10016 174a St, Surrey, BC",6,8,0,01/07/2024,"$2,280,000"
234,Single Family Residence,"$5,560",2427 sqft,Yes,$716,R2900516,,Residential,1996,,"16033 110 Ave, Surrey, BC",2,4,6,01/07/2024,"$1,739,000"
235,Townhouse,"$4,323",2998 sqft,Yes,$500,R2900467,,Residential,2014,,"28 - 15988 32 Ave, Surrey, BC",3,5,2,01/07/2024,"$1,499,900"
236,Single Family Residence,"$4,520",1923 sqft,No,$884,R2901864,,Residential,1960,,"10457 156 St, Surrey, BC",2,4,4,01/07/2024,"$1,699,999"
237,Single Family Residence,"$4,476",1985 sqft,No,$568,R2900449,,Residential,1979,,"6770 128b St, Surrey, BC",2,3,4,01/07/2024,"$1,129,000"
238,Apartment/Condominium,"$1,993",754 sqft,Yes,$775,R2901615,,Residential,2022,,"107 - 11077 Ravine Rd, Surrey, BC",2,2,1,01/07/2024,"$585,000"
239,Townhouse,,1470 sqft,Yes,$611,R2901291,,Residential,2023,,"1 - 13359 Old Yale Rd, Surrey, BC",2,3,2,01/07/2024,"$899,000"
240,Townhouse,"$3,170",1894 sqft,Yes,$525,R2900350,,Residential,2018,,"59 - 6188 141 St, Surrey, BC",3,4,2,30/06/2024,"$995,000"
241,Single Family Residence,"$6,309",1800 sqft,Yes,$938,R2900469,,Residential,1976,,"1579 136 St, Surrey, BC",2,3,0,30/06/2024,"$1,690,000"
242,Apartment/Condominium,"$2,241",912 sqft,Yes,$765,R2900398,,Residential,2020,,"617 - 13963 105 Blvd, Surrey, BC",2,2,2,30/06/2024,"$698,000"
243,Townhouse,"$3,156",1356 sqft,Yes,$640,R2900378,,Residential,2010,,"261 - 2501 161a St, Surrey, BC",2,3,2,30/06/2024,"$869,000"
244,Townhouse,"$3,771",1828 sqft,Yes,$650,R2900550,,Residential,2014,,"36 - 3039 156 St, Surrey, BC",3,4,2,30/06/2024,"$1,190,000"
245,Single Family Residence,"$5,423",3543 sqft,Yes,$561,R2900479,,Residential,2017,,"18407 59a Ave, Surrey, BC",4,6,4,30/06/2024,"$1,988,888"
246,Single Family Residence,"$6,041",2923 sqft,Yes,$626,R2900148,,Residential,2016,,"10527 159b St, Surrey, BC",3,4,4,30/06/2024,"$1,830,000"
247,Townhouse,"$3,512",2157 sqft,Yes,$500,R2899859,,Residential,2004,,"11 - 15168 66a Ave, Surrey, BC",3,4,2,30/06/2024,"$1,079,999"
248,Townhouse,"$3,501",1956 sqft,Yes,$638,R2900060,,Residential,2021,,"19 - 14541 Winter Cres, Surrey, BC",3,4,4,27/06/2024,"$1,249,000"
249,Single Family Residence,"$5,679",2875 sqft,Yes,$608,R2901533,,Residential,1996,,"11903 98 Ave, Surrey, BC",4,7,5,27/06/2024,"$1,749,000"
250,Apartment/Condominium,,701 sqft,Yes,$925,R2899954,,Residential,2025,,"906 - 10731 King George Blvd, Surrey, BC",2,2,0,27/06/2024,"$649,000"
251,Apartment/Condominium,"$2,244",759 sqft,Yes,$747,R2900234,,Residential,2020,,"308 - 13978 Fraser Highway, Surrey, BC",2,2,1,27/06/2024,"$567,000"
252,Single Family Residence,"$6,077",2305 sqft,No,$992,R2899455,,Residential,1974,,"9543 139 St, Surrey, BC",4,5,4,27/06/2024,"$2,288,000"
253,Townhouse,,1473 sqft,Yes,$542,R2900229,,Residential,2020,,"136 - 9718 161a St, Surrey, BC",2,3,2,27/06/2024,"$799,000"
254,Apartment/Condominium,"$1,753",593 sqft,Yes,$834,R2899296,,Residential,2013,,"303 - 6480 195a St, Surrey, BC",1,1,1,27/06/2024,"$495,000"
255,Single Family Residence,"$5,000",5087 sqft,Yes,$529,R2900402,,Residential,2023,,"18054 63b Ave, Surrey, BC",7,9,0,27/06/2024,"$2,695,000"
256,Single Family Residence,"$5,894",3002 sqft,No,$565,R2899690,,Residential,1974,,"12151 98 Ave, Surrey, BC",2,5,6,26/06/2024,"$1,699,000"
257,Apartment/Condominium,"$2,182",780 sqft,Yes,$805,R2901805,,Residential,2014,,"103 - 10477 154 St, Surrey, BC",2,2,1,26/06/2024,"$628,000"
258,Single Family Residence,"$5,999",2455 sqft,Yes,$650,R2898971,,Residential,1974,,"15619 18a Ave, Surrey, BC",2,5,6,26/06/2024,"$1,598,000"
259,Single Family Residence,"$4,371",2407 sqft,No,$647,R2899715,,Residential,1979,,"13098 95 Ave, Surrey, BC",3,6,2,26/06/2024,"$1,559,000"
260,Single Family Residence,"$5,872",2580 sqft,No,$581,R2899659,,Residential,1967,,"12470 95a Ave, Surrey, BC",2,5,0,26/06/2024,"$1,499,777"
261,Single Family Residence,"$5,475",2330 sqft,Yes,$783,R2900052,,Residential,2008,,"1886 140 St, Surrey, BC",2,3,4,26/06/2024,"$1,825,000"
262,Townhouse,"$2,620",1680 sqft,No,$440,R2899835,,Residential,1974,,"59 - 9382 128 St, Surrey, BC",1,3,1,26/06/2024,"$739,900"
263,Multi Family,"$4,747",2721 sqft,Yes,$514,R2899353,,Residential,2022,,"6228 135 St, Surrey, BC",3,4,2,26/06/2024,"$1,399,800"
264,Single Family Residence,"$5,656",2276 sqft,Yes,$768,R2899745,,Residential,1979,,"13249 14a Ave, Surrey, BC",3,4,6,26/06/2024,"$1,749,999"
265,Apartment/Condominium,"$1,900",592 sqft,Yes,$844,R2902128,,Residential,2021,,"504 - 10838 Whalley Blvd, Surrey, BC",1,1,0,26/06/2024,"$499,999"
266,Townhouse,,2066 sqft,Yes,$502,R2900209,,Residential,2023,,"10 - 12585 104a Ave, Surrey, BC",3,3,2,26/06/2024,"$1,039,000"
267,Townhouse,"$2,897",1393 sqft,Yes,$573,R2899462,,Residential,2007,,"30 - 6852 193 St, Surrey, BC",2,3,2,26/06/2024,"$799,000"
268,Single Family Residence,"$8,240",4420 sqft,Yes,"$2,262",R2900242,,Residential,2016,,"18171 29a Ave, Surrey, BC",4,6,20,26/06/2024,"$10,000,000"
269,Townhouse,"$4,976",2279 sqft,Yes,$680,R2899832,,Residential,1998,,"51 - 3355 Morgan Creek Way, Surrey, BC",2,3,4,26/06/2024,"$1,550,000"
270,Single Family Residence,"$6,385",4062 sqft,Yes,$590,R2899945,,Residential,2022,,"1252 160 St, Surrey, BC",7,7,0,26/06/2024,"$2,399,800"
271,Townhouse,"$2,046",1180 sqft,No,$559,R2899816,,Residential,1974,,"113 - 14153 104 Ave, Surrey, BC",1,3,1,26/06/2024,"$660,000"
272,Single Family Residence,"$6,134",2540 sqft,No,$649,R2898898,,Residential,1983,,"12969 61b Ave, Surrey, BC",3,6,6,25/06/2024,"$1,649,000"
273,Single Family Residence,"$5,213",1913 sqft,No,"$1,149",R2899393,,Residential,1954,,"5873 173 St, Surrey, BC",1,4,6,25/06/2024,"$2,199,000"
274,Apartment/Condominium,"$2,023",840 sqft,Yes,$832,R2899159,,Residential,2023,,"607 - 15858 Fraser Highway, Surrey, BC",2,3,1,25/06/2024,"$699,000"
275,Apartment/Condominium,"$2,107",862 sqft,Yes,$679,R2899471,,Residential,2002,,"104 - 10866 City Pky, Surrey, BC",2,2,1,25/06/2024,"$586,000"
276,Single Family Residence,"$6,688",2477 sqft,Yes,$928,R2899530,,Residential,2000,,"2796 Bayview St, Surrey, BC",2,4,2,25/06/2024,"$2,299,000"
277,Single Family Residence,"$6,848",4435 sqft,Yes,$496,R2899180,,Residential,2009,,"16206 96b Ave, Surrey, BC",5,7,6,25/06/2024,"$2,199,900"
278,Townhouse,"$2,732",1391 sqft,No,$639,R2899288,,Residential,2020,,"97 - 8168 136a St, Surrey, BC",2,3,2,25/06/2024,"$888,888"
279,Single Family Residence,"$6,263",1000 sqft,Yes,"$1,999",R2899886,,Residential,1947,,"3380 140 St, Surrey, BC",1,2,1,25/06/2024,"$1,999,000"
280,Single Family Residence,"$4,523",2200 sqft,No,$590,R2899281,,Residential,1976,,"12780 Ross Pl, Surrey, BC",2,3,4,25/06/2024,"$1,299,999"
281,Townhouse,"$4,808",3140 sqft,Yes,$442,R2899525,,Residential,2005,,"11 - 3502 150a St, Surrey, BC",3,5,2,25/06/2024,"$1,388,000"
282,Townhouse,"$2,955",1523 sqft,Yes,$607,R2899839,,Residential,2017,,"79 - 8130 136a St, Surrey, BC",3,4,2,25/06/2024,"$925,000"
283,Single Family Residence,"$5,070",1687 sqft,Yes,$859,R2899549,,Residential,1989,,"8484 120a St, Surrey, BC",2,3,8,25/06/2024,"$1,449,303"
284,Apartment/Condominium,,585 sqft,Yes,"$1,000",R2899687,,Residential,2024,,"1701 - 10428 Whalley Blvd, Surrey, BC",1,1,1,25/06/2024,"$585,000"
285,Apartment/Condominium,"$2,174",1061 sqft,Yes,$532,R2899188,,Residential,1993,,"104 - 15375 17 Ave, Surrey, BC",2,2,1,25/06/2024,"$564,900"
286,Single Family Residence,"$5,762",2370 sqft,No,$696,R2899539,,Residential,1980,,"9213 134 St, Surrey, BC",3,5,0,25/06/2024,"$1,649,999"
287,Single Family Residence,"$4,537",1415 sqft,Yes,"$1,530",R2899546,,Residential,1986,,"14976 96 Ave, Surrey, BC",2,3,0,25/06/2024,"$2,166,000"
288,Townhouse,"$3,653",1615 sqft,Yes,$619,R2898670,,Residential,2021,,"74 - 15255 Sitka Dr, Surrey, BC",3,4,2,24/06/2024,"$999,888"
289,Townhouse,"$2,268",1335 sqft,No,$606,R2898642,,Residential,1981,,"17 - 8555 King George Blvd, Surrey, BC",2,4,4,24/06/2024,"$810,000"
290,Apartment/Condominium,,1004 sqft,Yes,$821,R2898779,,Residential,2024,,"202 - 3315 148 St, Surrey, BC",2,2,2,24/06/2024,"$825,000"
291,Townhouse,"$2,671",1367 sqft,Yes,$584,R2897200,,Residential,2007,,"63 - 15155 62a Ave, Surrey, BC",2,3,2,24/06/2024,"$799,000"
292,Townhouse,"$3,694",2383 sqft,Yes,$540,R2899130,,Residential,2021,,"66 - 17033 Fraser Highway, Surrey, BC",3,4,2,24/06/2024,"$1,288,800"
293,Apartment/Condominium,,628 sqft,Yes,$819,R2898708,,Residential,2023,,"412 - 8496 120 St, Surrey, BC",1,1,1,24/06/2024,"$514,888"
294,Apartment/Condominium,"$2,448",1068 sqft,Yes,$606,R2898733,,Residential,2009,,"318 - 14333 104 Ave, Surrey, BC",2,2,1,24/06/2024,"$648,000"
295,Townhouse,"$3,074",1674 sqft,Yes,$525,R2898800,,Residential,1991,,"124 - 9978 151 St, Surrey, BC",2,3,2,24/06/2024,"$879,900"
296,Townhouse,"$2,872",1251 sqft,Yes,$663,R2898087,,Residential,2019,,"75 - 16433 19 Ave, Surrey, BC",2,2,2,24/06/2024,"$829,999"
297,Townhouse,"$2,000",1302 sqft,Yes,$691,R2899235,,Residential,2023,,"36 - 12830 62 Ave, Surrey, BC",2,3,2,24/06/2024,"$899,999"
298,Single Family Residence,"$7,929",4483 sqft,Yes,$646,R2898858,,Residential,2005,,"14059 33b Ave, Surrey, BC",3,5,2,24/06/2024,"$2,899,000"
299,Single Family Residence,"$3,800",3044 sqft,Yes,$518,R2898960,,Residential,1986,,"7474 142 St, Surrey, BC",2,5,6,24/06/2024,"$1,579,000"
300,Single Family Residence,"$6,355",3184 sqft,Yes,$500,R2898406,,Residential,2008,,"6418 137a St, Surrey, BC",3,8,7,24/06/2024,"$1,595,000"
301,Single Family Residence,"$3,691",4830 sqft,Yes,$424,R2898643,,Residential,2024,,"5981 173b St, Surrey, BC",6,9,5,24/06/2024,"$2,050,000"
302,Townhouse,"$3,162",1691 sqft,Yes,$588,R2899232,,Residential,2020,,"3 - 7410 194 St, Surrey, BC",2,3,2,24/06/2024,"$994,999"
303,Single Family Residence,"$4,405",2219 sqft,No,$721,R2898911,,Residential,1973,,"12701 102 Ave, Surrey, BC",4,7,2,24/06/2024,"$1,600,000"
304,Apartment/Condominium,,869 sqft,Yes,$690,R2898145,,Residential,2008,,"305 - 10707 139 St, Surrey, BC",2,2,1,24/06/2024,"$599,888"
305,Apartment/Condominium,"$1,672",633 sqft,Yes,$766,R2899094,,Residential,2007,,"401 - 10788 139 St, Surrey, BC",1,1,1,24/06/2024,"$485,000"
306,Single Family Residence,"$5,067",2332 sqft,Yes,$557,R2898787,,Residential,1988,,"14352 78a Ave, Surrey, BC",3,5,2,24/06/2024,"$1,299,000"
307,Manufactured Home,$118,703 sqft,No,$355,R2899625,,Residential,1968,,"10 - 6571 King George Blvd, Surrey, BC",1,2,1,24/06/2024,"$250,000"
308,Townhouse,"$3,142",1450 sqft,Yes,$758,R2899028,,Residential,2003,,"70 - 15968 82 Ave, Surrey, BC",2,3,2,24/06/2024,"$1,100,000"
309,Apartment/Condominium,"$2,528",830 sqft,Yes,$783,R2898744,,Residential,2022,,"209 - 13933 105 Blvd, Surrey, BC",1,2,1,24/06/2024,"$649,999"
310,Townhouse,"$3,388",1587 sqft,Yes,$585,R2898915,,Residential,2017,,"205 - 16488 64 Ave, Surrey, BC",2,3,2,24/06/2024,"$929,900"
311,Townhouse,"$2,798",1222 sqft,No,$572,R2899147,,Residential,2013,,"161 - 14833 61 Ave, Surrey, BC",2,2,2,24/06/2024,"$699,000"
312,Apartment/Condominium,,608 sqft,Yes,$986,R2898362,,Residential,2019,,"3305 - 13438 Central Ave, Surrey, BC",1,2,1,23/06/2024,"$600,000"
313,Townhouse,"$3,005",1606 sqft,No,$528,R2898352,,Residential,2009,,"5 - 6671 121 St, Surrey, BC",2,4,2,23/06/2024,"$849,000"
314,Single Family Residence,"$6,198",4759 sqft,Yes,$420,R2899174,,Residential,2011,,"18936 55 Ave, Surrey, BC",6,8,4,23/06/2024,"$1,999,999"
315,Single Family Residence,"$5,270",3157 sqft,No,"$1,076",R2898354,,Residential,1969,,"18928 92 Ave, Surrey, BC",2,3,0,23/06/2024,"$3,400,000"
316,Apartment/Condominium,"$2,457",746 sqft,Yes,$924,R2898413,,Residential,2021,,"1703 - 9887 Whalley Blvd, Surrey, BC",2,2,1,23/06/2024,"$689,900"
317,Single Family Residence,"$7,342",4629 sqft,Yes,$526,R2898842,,Residential,2011,,"15670 107 Ave, Surrey, BC",5,8,0,23/06/2024,"$2,438,888"
318,Townhouse,"$2,124",1601 sqft,No,$530,R2898072,,Residential,1984,,"25 - 7525 140 St, Surrey, BC",2,3,2,23/06/2024,"$849,000"
319,Single Family Residence,"$5,503",3188 sqft,Yes,$486,R2898759,,Residential,2006,,"15049 61b Ave, Surrey, BC",3,4,6,23/06/2024,"$1,550,000"
320,Single Family Residence,"$7,970",3034 sqft,Yes,$787,R2898109,,Residential,2004,,"3315 141 St, Surrey, BC",2,4,6,23/06/2024,"$2,388,000"
321,Single Family Residence,"$5,388",2651 sqft,No,$754,R2898398,,Residential,1970,,"6718 130 St, Surrey, BC",2,5,4,23/06/2024,"$1,999,000"
322,Townhouse,"$3,128",1500 sqft,No,$530,R2900981,,Residential,1979,,"121 - 9467 Prince Charles Blvd, Surrey, BC",2,3,2,02/07/2024,"$795,000"
323,Townhouse,"$3,860",1945 sqft,Yes,$559,R2898225,,Residential,2010,,"161 - 2729 158 St, Surrey, BC",2,4,2,23/06/2024,"$1,088,000"
324,Single Family Residence,"$6,123",3024 sqft,Yes,$520,R2898209,,Residential,2011,,"14195 62a Ave, Surrey, BC",4,6,4,23/06/2024,"$1,575,000"
325,Single Family Residence,"$6,503",3424 sqft,Yes,$569,R2898696,,Residential,2018,,"18318 68 Ave, Surrey, BC",4,6,4,23/06/2024,"$1,950,000"
326,Single Family Residence,"$5,939",2990 sqft,No,"$1,123",R2898508,,Residential,1959,,"8418 152 St, Surrey, BC",2,6,6,23/06/2024,"$3,360,000"
327,Single Family Residence,,2024 sqft,Yes,$494,R2898234,,Residential,1986,,"15440 90 Ave, Surrey, BC",2,5,4,23/06/2024,"$999,999"
