mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice,lat,lon,addressDetails
R2901744,2,2,"11967 80 Ave, Delta, BC, Canada",821.0,1,2142.0,822.0,2017,Condo,02/07/2024,675000.0,49.1484357,-122.9182156,"80 Avenue, Sunstone, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 1R4, Canada"
R2902745,4,2,"10834 84 Ave, Delta, BC, Canada",2303.0,4,4420.0,705.0,1971,SingleFamily,02/07/2024,1625000.0,49.1558465,-122.9224308175,"10834, 84 Avenue, Social Heart, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 2W5, Canada"
R2902531,4,3,"345 Rosehill Wynd, Delta, BC, Canada",3658.0,4,6514.0,508.0,1989,SingleFamily,01/07/2024,1860000.0,49.0086861,-123.0701572,"345, Rosehill Wynd, Pebble Hill, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4L 1Z2, Canada"
R2900401,2,3,"5635 10 Ave, Delta, BC, Canada",2564.0,0,4889.0,541.0,1960,SingleFamily,02/07/2024,1388888.0,49.0210401,-123.0676393,"5635, 10 Avenue, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4L 2A2, Canada"
R2900952,1,1,"4686 51St, Delta, BC, Canada",914.0,1,2370.0,760.0,2021,Condo,01/07/2024,695000.0,49.08663185,-123.08224090438313,"Park On 51st, 4618, Ladner, Delta, Metro Vancouver Regional District, British Columbia, Canada"
R2902273,2,2,"9015 120St, Delta, BC, Canada",1383.0,2,2482.0,577.0,2019,Townhouse,01/07/2024,799000.0,,,
R2900135,3,2,"4787 57St, Delta, BC, Canada",1405.0,2,2761.0,597.0,1998,Townhouse,27/06/2024,839900.0,,,
R2900091,3,2,"4352 49St, Delta, BC, Canada",1826.0,5,4329.0,766.0,1969,SingleFamily,27/06/2024,1399000.0,,,
R2900355,3,2,"5499 Chestnut Cres, Delta, BC, Canada",1733.0,3,4345.0,772.0,1969,SingleFamily,30/06/2024,1338000.0,49.0848878,-123.069357,"5499, Chestnut Crescent, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 5B4, Canada"
R2899485,5,3,"10381 Main St, Delta, BC, Canada",1545.0,6,4400.0,906.0,1980,SingleFamily,30/06/2024,1399999.0,49.159062000000006,-122.93602204284275,"10381, Main Street, Sunbury, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 2R5, Canada"
R2901652,5,2,"11498 79 Ave, Delta, BC, Canada",2058.0,4,4539.0,631.0,1973,SingleFamily,30/06/2024,1299000.0,49.1468555,-122.904475,"11498, 79 Avenue, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 1L9, Canada"
R2900189,7,5,"4a & 4b 4915 Central Ave, Delta, BC, Canada",2628.0,3,4813.0,608.0,2018,SingleFamily,28/06/2024,1599000.0,49.0978283,-123.0721669,"Central Avenue, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 1S8, Canada"
R2900366,2,1,"656 Gilchrist Dr, Delta, BC, Canada",1326.0,1,4588.0,941.0,1970,SingleFamily,30/06/2024,1249000.0,49.0146399,-123.0697359,"656, Gilchrist Drive, Pebble Hill, Tsawwassen, Delta, Metro Vancouver Regional District, British Columbia, V4M 3X8, Canada"
R2898628,2,2,"6105 River Rd, Delta, BC, Canada",1658.0,4,2904.0,783.0,2005,Townhouse,23/06/2024,1299000.0,49.1139709,-123.0627373,"6105, River Road, Delta, Metro Vancouver Regional District, British Columbia, V4K 5E3, Canada"
R2898656,3,2,"4748 54a St, Delta, BC, Canada",1575.0,2,3128.0,631.0,1996,Townhouse,23/06/2024,995000.0,49.0893443,-123.0721125,"4748, 54A Street, Ladner, Delta, Metro Vancouver Regional District, British Columbia, V4K 1W6, Canada"
R2897507,5,2,"11908 Chalmers Pl, Delta, BC, Canada",2285.0,6,4620.0,642.0,1968,SingleFamily,23/06/2024,1469000.0,49.141557500000005,-122.89327049468466,"11908, Chalmers Place, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 0C1, Canada"
R2898100,6,4,"10955 Monroe Dr, Delta, BC, Canada",2951.0,4,4243.0,541.0,1973,SingleFamily,23/06/2024,1599000.0,49.144601,-122.919121,"10955, Monroe Drive, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 4V8, Canada"
R2898253,1,1,"6960 Nicholson Rd, Delta, BC, Canada",605.0,1,1693.0,909.0,2022,Condo,23/06/2024,550000.0,49.1294805,-122.89195865046575,"6960, Nicholson Road, Sunshine Hills, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4E 2A0, Canada"
R2898526,4,2,"11751 Cascade Dr, Delta, BC, Canada",2210.0,6,4666.0,723.0,1982,SingleFamily,23/06/2024,1599000.0,49.129148,-122.8969623019949,"11751, Cascade Drive, Sunshine Hills, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4E 1V4, Canada"
R2898890,5,3,"11560 71 Ave, Delta, BC, Canada",2600.0,8,4540.0,576.0,1988,SingleFamily,24/06/2024,1499888.0,49.1318997,-122.9027834,"71 Avenue, Sunshine Hills, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4E 1V4, Canada"
R2899101,4,3,"11532 85 Ave, Delta, BC, Canada",2164.0,6,4567.0,660.0,1971,SingleFamily,24/06/2024,1429879.0,49.157907,-122.90330449999999,"11532, 85 Avenue, Social Heart, Kennedy, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 2L9, Canada"
R2897474,4,2,"8290 Sheaves Rd, Delta, BC, Canada",1959.0,5,3438.0,663.0,1972,SingleFamily,19/06/2024,1300000.0,49.1537895,-122.93753421866418,"8290, Sheaves Road, Sunbury, North Delta, Delta, Metro Vancouver Regional District, British Columbia, V4C 2R3, Canada"
