mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice,lat,lon,addressDetails
R2855432,4,2,"606 Foster Ave, Coquitlam, BC, Canada",1842.0,2,2562.0,813.0,2023.0,Townhouse,03/03/2024,1499000.0,49.2562437,-122.8661572,"Foster Avenue, Austin Heights, Coquitlam, Metro Vancouver Regional District, British Columbia, V3J 4S1, Canada"
R2857454,2,1,"935 Como Lake Ave, Coquitlam, BC, Canada",2416.0,2,4254.0,1236.0,9999.0,SingleFamily,07/03/2024,2988000.0,49.2632878,-122.8287051,"Como Lake Avenue, Chineside, Coquitlam, Metro Vancouver Regional District, British Columbia, V3J 3C5, Canada"
R2854658,6,4,"3319 Chartwell Green, Coquitlam, BC, Canada",3795.0,4,5575.0,602.0,2002.0,SingleFamily,29/02/2024,2288000.0,49.317034,-122.7880396,"Chartwell Green, Westwood Plateau, Coquitlam, Metro Vancouver Regional District, British Columbia, V3E 3A1, Canada"
R2857437,2,1,"939 Como Lake Ave, Coquitlam, BC, Canada",2537.0,2,4311.0,1106.0,1964.0,SingleFamily,07/03/2024,2806000.0,49.2632878,-122.8287051,"Como Lake Avenue, Chineside, Coquitlam, Metro Vancouver Regional District, British Columbia, V3J 3C5, Canada"
R2852310,4,2,"709 Quadling Ave, Coquitlam, BC, Canada",1523.0,6,6106.0,2068.0,1955.0,SingleFamily,16/02/2024,3150000.0,49.2408098,-122.8675663,"Quadling Avenue, Maillardville, Coquitlam, Metro Vancouver Regional District, British Columbia, V3K 1E0, Canada"
R2844857,3,2,"394 Blue Mountain St, Coquitlam, BC, Canada",2031.0,3,4272.0,929.0,1957.0,SingleFamily,23/01/2024,1888000.0,49.2514112,-122.8690563,"Blue Mountain Street, Maillardville, Coquitlam, Metro Vancouver Regional District, British Columbia, V3J 4P8, Canada"
R2843822,4,3,"720 Ivy Ave, Coquitlam, BC, Canada",3489.0,6,6495.0,799.0,2021.0,SingleFamily,22/01/2024,2788800.0,49.2546727,-122.8829497,"Ivy Avenue, Cariboo, Coquitlam, Metro Vancouver Regional District, British Columbia, V3J 4E7, Canada"
R2841944,2,2,"501 Cochrane Ave, Coquitlam, BC, Canada",1136.0,1,2014.0,659.0,1992.0,Condo,14/01/2024,749000.0,49.2520033,-122.8898433,"Cochrane Avenue, Cariboo, Coquitlam, Metro Vancouver Regional District, British Columbia, V3K 6R4, Canada"
R2840658,5,3,"1621 Como Lake Ave, Coquitlam, BC, Canada",2100.0,2,4014.0,827.0,1964.0,SingleFamily,07/01/2024,1738000.0,49.2632878,-122.8287051,"Como Lake Avenue, Chineside, Coquitlam, Metro Vancouver Regional District, British Columbia, V3J 3C5, Canada"
R2843454,3,2,"609 Madore Ave, Coquitlam, BC, Canada",2188.0,4,5258.0,1119.0,1956.0,SingleFamily,21/01/2024,2450000.0,49.2462427,-122.865124,"Madore Avenue, Austin Heights, Coquitlam, Metro Vancouver Regional District, British Columbia, V3K 3P1, Canada"
R2725069,5,2,"617 Harrison Ave, Coquitlam, BC, Canada",2212.0,4,5359.0,1265.0,1962.0,SingleFamily,18/09/2022,2799000.0,49.2671553,-122.8864064,"Harrison Avenue, Coquitlam, Metro Vancouver Regional District, British Columbia, V3J 3Z8, Canada"
R2726988,6,4,"729 Smith Ave, Coquitlam, BC, Canada",4198.0,10,10689.0,1045.0,1972.0,MultiFamily,25/09/2022,4388000.0,49.2601966,-122.882885,"Smith Avenue, Cariboo, Coquitlam, Metro Vancouver Regional District, British Columbia, V3J 4E7, Canada"
R2794718,5,3,"316 Laval Sq, Coquitlam, BC, Canada",2932.0,3,4726.0,869.0,1940.0,SingleFamily,01/07/2023,2550000.0,49.24114395,-122.85729450982893,"Laval Square, Austin Heights, Coquitlam, Metro Vancouver Regional District, British Columbia, V3K 4W1, Canada"
R2760879,2,1,"717 Dogwood St, Coquitlam, BC, Canada",1040.0,6,4992.0,2067.0,1955.0,SingleFamily,19/03/2023,2150000.0,49.2627673,-122.8834858,"Dogwood Street, Cariboo, Coquitlam, Metro Vancouver Regional District, British Columbia, V3J 0B2, Canada"
R2785001,5,2,"713 Dogwood St, Coquitlam, BC, Canada",2100.0,6,5196.0,942.0,1955.0,SingleFamily,05/06/2023,1980000.0,49.2627673,-122.8834858,"Dogwood Street, Cariboo, Coquitlam, Metro Vancouver Regional District, British Columbia, V3J 0B2, Canada"
R2767698,5,2,"629 Smith Ave, Coquitlam, BC, Canada",2528.0,6,4386.0,1423.0,1955.0,SingleFamily,11/04/2023,3598000.0,49.2601966,-122.882885,"Smith Avenue, Cariboo, Coquitlam, Metro Vancouver Regional District, British Columbia, V3J 4E7, Canada"
R2742491,7,0,"704 Quadling Ave, Coquitlam, BC, Canada",6667.0,6,9405.0,704.0,2015.0,SingleFamily,07/12/2022,4700000.0,49.2408923,-122.8754625,"Quadling Avenue, Maillardville, Coquitlam, Metro Vancouver Regional District, British Columbia, V3K 7C4, Canada"
