mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice,lat,lon,addressDetails
R2891931,2,2,"15080 Prospect Ave, White Rock, BC, Canada",1111.0,1,2353.0,592.0,1985,Condo,06/06/2024,658800.0,49.0245495,-122.8043391,"15080, Prospect Avenue, Five Corners, White Rock, Metro Vancouver Regional District, British Columbia, V4B 0A6, Canada"
R2892713,6,5,"1351 Kerfoot Rd, White Rock, BC, Canada",6026.0,5,15156.0,694.0,2015,SingleFamily,09/06/2024,4188000.0,49.0278723,-122.8260927,"Kerfoot Road, White Rock, Metro Vancouver Regional District, British Columbia, V4B 1B1, Canada"
R2889792,3,2,"1454 Stevens St, White Rock, BC, Canada",1830.0,5,4486.0,655.0,1990,Townhouse,02/06/2024,1199000.0,49.0292298,-122.7806985,"Stevens Street, South Surrey, White Rock, Metro Vancouver Regional District, British Columbia, V4A 1S1, Canada"
R2886312,2,2,"15385 Victoria Ave, White Rock, BC, Canada",1712.0,1,7712.0,1026.0,9999,SingleFamily,02/06/2024,1758000.0,49.0184717,-122.7937364,"Victoria Avenue, East Beach, White Rock, Metro Vancouver Regional District, British Columbia, V4B 1P9, Canada"
R2889882,0,0,"14645 Bellevue Cres, White Rock, BC, Canada",2836.0,2,11605.0,986.0,1957,SingleFamily,02/06/2024,2799000.0,49.0259994,-122.8168811,"Bellevue Crescent, West Beach, White Rock, Metro Vancouver Regional District, British Columbia, V4B 1B7, Canada"
R2890731,3,2,"15111 Russell Ave, White Rock, BC, Canada",2120.0,1,2945.0,330.0,1995,Condo,03/06/2024,699900.0,49.0295855,-122.803389,"15111, Russell Avenue, Uptown, White Rock, Metro Vancouver Regional District, British Columbia, V4B 3X7, Canada"
R2891462,5,6,"14753 Upper Roper Ave, White Rock, BC, Canada",5344.0,5,14571.0,651.0,2014,SingleFamily,02/06/2024,3480000.0,49.026173,-122.8136116,"Upper Roper Avenue, West Beach, White Rock, Metro Vancouver Regional District, British Columbia, V4B 3R2, Canada"
R2891269,2,1,"15427 Victoria Ave, White Rock, BC, Canada",1105.0,0,6831.0,1492.0,1950,SingleFamily,02/06/2024,1649000.0,49.0184717,-122.7937364,"Victoria Avenue, East Beach, White Rock, Metro Vancouver Regional District, British Columbia, V4B 1P9, Canada"
R2889912,5,2,"1235 Lee St, White Rock, BC, Canada",2240.0,4,6661.0,892.0,1961,SingleFamily,02/06/2024,1999999.0,49.0201664,-122.7877433,"Lee Street, East Beach, White Rock, Metro Vancouver Regional District, British Columbia, V4B 4V6, Canada"
R2886362,4,3,"1229 Anderson St, White Rock, BC, Canada",3573.0,5,11133.0,839.0,2006,SingleFamily,22/05/2024,2998000.0,49.0308111,-122.8149432,"Anderson Street, South Surrey, White Rock, Metro Vancouver Regional District, British Columbia, V4B 0A8, Canada"
R2885909,2,2,"1526 Finlay St, White Rock, BC, Canada",908.0,2,3547.0,1145.0,2022,Condo,21/05/2024,1039999.0,49.0188783,-122.7901816,"Finlay Street, East Beach, White Rock, Metro Vancouver Regional District, British Columbia, V4B 1T7, Canada"
R2886331,2,2,"15152 Russell Ave, White Rock, BC, Canada",2379.0,4,13922.0,1439.0,2009,Condo,22/05/2024,3425000.0,49.028973,-122.80230120089641,"15152, Russell Avenue, Uptown, White Rock, Metro Vancouver Regional District, British Columbia, V4B 3Z0, Canada"
R2884403,7,7,"15568 Cliff Ave, White Rock, BC, Canada",5509.0,10,14937.0,687.0,2016,SingleFamily,21/05/2024,3788000.0,49.0220304,-122.787482,"Cliff Avenue, East Beach, White Rock, Metro Vancouver Regional District, British Columbia, V4B 1T7, Canada"
R2885020,1,1,"1444 Martin St, White Rock, BC, Canada",655.0,1,1404.0,653.0,1973,Condo,20/05/2024,428000.0,49.028217,-122.8049718,"1444, Martin Street, Uptown, White Rock, Metro Vancouver Regional District, British Columbia, V4A 6G0, Canada"
R2885803,2,2,"15152 Russell Ave, White Rock, BC, Canada",956.0,2,3042.0,908.0,2009,Condo,21/05/2024,869000.0,49.028973,-122.80230120089641,"15152, Russell Avenue, Uptown, White Rock, Metro Vancouver Regional District, British Columbia, V4B 3Z0, Canada"
R2885619,0,1,"1473 Johnston Rd, White Rock, BC, Canada",502.0,1,1799.0,995.0,2009,Condo,21/05/2024,499900.0,49.0286788,-122.8013862,"1473, Johnston Road, Uptown, White Rock, Metro Vancouver Regional District, British Columbia, V4B 3Z5, Canada"
R2885800,2,2,"1420 Johnston Rd, White Rock, BC, Canada",1071.0,1,3409.0,840.0,2013,Condo,21/05/2024,899900.0,49.02788365,-122.8007523696255,"Saltaire, 1420, Johnston Road, Uptown, White Rock, Metro Vancouver Regional District, British Columbia, V4B 0A6, Canada"
R2880949,2,2,"15941 Marine Dr, White Rock, BC, Canada",1085.0,1,2707.0,645.0,1992,Condo,08/05/2024,699999.0,49.0210467,-122.804725,"Marine Drive, West Beach, White Rock, Metro Vancouver Regional District, British Columbia, V4B 1C5, Canada"
